Unnamed: 0,names,class
0,#240,tumor
1,#299_83257,tumor
2,#371_83502,tumor
3,#396_84597,tumor
4,37892N,normal
5,37892T,tumor
6,37893T,tumor
7,37894N,normal
8,37894T,tumor
9,37895T,tumor
10,37896N,normal
11,37896T,tumor
12,37897T,tumor
13,37898N,normal
14,37898T,tumor
15,37899N,normal
16,37899T,tumor
17,37900T,tumor
18,37901N,normal
19,37901T,tumor
20,GAST1_1B,tumor
21,GAST3_7A,tumor
22,GAST4,tumor
23,GAST6,tumor
24,GAST7B,tumor
25,R160117_09,normal
26,R160118_09,normal
27,R170103_11,normal
28,R170146_11,normal
29,R170276_11,normal
30,R170327_12,normal
31,R170328_11,normal
32,R170382_12,normal
33,R170405_14,normal
34,R170423_11,normal
35,R190137_14,tumor
36,R210233_09,tumor
37,R220126_08,tumor
38,R220126_09,normal
39,R220127_08,tumor
40,R220127_09,normal
41,R220224_08,tumor
42,R220224_09,normal
43,R220256_10,tumor
44,R220256_11,normal
45,UOMA004_1H,tumor
46,UOMA008_B15,tumor
47,UOMA014_2B,tumor
