Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0007697456882543322+0j),[-4.82304699e-16],[1.],[-0.05546698],[1.],"(array([0.00625522]), array([-4.01236926e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00625522]), array([-7.55851733e-18]))"
(0.0025545797576082044+0j),[3.3112744e-15],[1.],[-0.10095154],[1.],"(array([0.0176385]), array([7.97060952e-16]))","(array([-7.46091884e-31]), array([-1.63228072e-32]))","(array([-2.15844073e-27]), array([7.87392878e-29]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([2.6026271e-32]), array([-2.5483692e-32]))","(array([-3.17676808e-24]), array([6.94968918e-26]))","(array([-3.59483673e-33]), array([3.77477849e-33]))","(array([0.00625522]), array([4.33834096e-16]))","(array([0.0176385]), array([1.69629275e-15]))"
(0.005979686302617787+0j),[1.20366938e-14],[1.],[-0.15416896],[1.],"(array([0.02877069]), array([2.88348075e-15]))","(array([-1.89426807e-25]), array([-3.59638395e-24]))","(array([2.28815772e-26]), array([7.19853932e-24]))","(array([-2.81177766e-25]), array([2.38418529e-27]))","(array([1.15535647e-28]), array([2.5421322e-26]))","(array([4.86766944e-26]), array([1.43971116e-23]))","(array([-2.71363841e-24]), array([-1.44124655e-23]))","(array([-1.43142484e-26]), array([2.2102996e-26]))","(array([0.00625522]), array([4.12549753e-16]))","(array([0.0176385]), array([1.70912557e-15]))","(array([0.02877069]), array([2.96338942e-15]))"
(0.01022710374613369+0j),[6.53634682e-15],[1.],[-0.20114197],[1.],"(array([0.04006756]), array([1.49198701e-15]))","(array([8.64175596e-25]), array([7.71370307e-23]))","(array([4.83199955e-25]), array([2.76103051e-24]))","(array([4.38617513e-24]), array([-2.78191432e-23]))","(array([-5.64449956e-23]), array([4.44163906e-22]))","(array([5.32692338e-23]), array([-3.2266903e-23]))","(array([4.07159216e-25]), array([4.10735515e-24]))","(array([0.00625522]), array([4.3600897e-16]))","(array([0.0176385]), array([1.76296678e-15]))","(array([0.02877069]), array([3.19073702e-15]))","(array([0.04006756]), array([2.07404603e-15]))"
(0.020991689382232417+0j),[4.23369065e-15],[1.],[-0.28650261],[1.],"(array([0.05501703]), array([8.98421373e-16]))","(array([6.71783587e-22]), array([1.17330396e-21]))","(array([7.49310048e-22]), array([-9.14283465e-22]))","(array([7.19918253e-23]), array([5.05810483e-24]))","(array([-5.0180987e-22]), array([1.82135196e-21]))","(array([1.93356009e-23]), array([2.50729965e-23]))","(array([0.00625522]), array([1.08362058e-15]))","(array([0.0176385]), array([1.80510063e-15]))","(array([0.02877069]), array([2.98602882e-15]))","(array([0.04006756]), array([2.36681861e-15]))","(array([0.05501703]), array([9.87235436e-16]))"
(0.03464779638268428+0j),[7.49917702e-15],[1.],[-0.36521857],[1.],"(array([0.07352436]), array([1.95768136e-15]))","(array([7.78170252e-22]), array([-9.15535988e-22]))","(array([8.43967293e-23]), array([-1.20804471e-22]))","(array([-4.57818927e-22]), array([1.80185603e-21]))","(array([1.46516257e-22]), array([-6.0888429e-23]))","(array([0.00625522]), array([1.01700898e-15]))","(array([0.0176385]), array([1.95519202e-15]))","(array([0.02877069]), array([3.12556942e-15]))","(array([0.04006756]), array([2.21669073e-15]))","(array([0.05501703]), array([9.26460805e-16]))","(array([0.07352436]), array([1.96820974e-15]))"
(0.038203060057245344+0j),[-4.39154893e-15],[1.],[-0.38222379],[1.],"(array([0.08427255]), array([-2.00507135e-16]))","(array([4.86783661e-22]), array([-5.23117641e-22]))","(array([-1.25815459e-20]), array([4.13490839e-21]))","(array([4.26322436e-20]), array([-7.82337914e-22]))","(array([0.00625522]), array([1.13541043e-15]))","(array([0.0176385]), array([2.55477986e-15]))","(array([0.02877069]), array([3.64426107e-15]))","(array([0.04006756]), array([2.79632379e-15]))","(array([0.05501703]), array([1.22150004e-15]))","(array([0.07352436]), array([4.70003452e-16]))","(array([0.08427254]), array([5.74213297e-16]))"
(0.05458050793145844+0j),[6.66776978e-15],[1.],[-0.4525288],[1.],"(array([0.0941669]), array([1.19250152e-15]))","(array([-1.3858389e-20]), array([7.59238737e-21]))","(array([7.62878278e-20]), array([7.78671433e-21]))","(array([0.00625522]), array([1.32391362e-15]))","(array([0.0176385]), array([3.23893033e-15]))","(array([0.02877069]), array([3.48972465e-15]))","(array([0.04006756]), array([1.37656852e-15]))","(array([0.05501703]), array([1.79824576e-15]))","(array([0.07352436]), array([1.59239066e-15]))","(array([0.08427254]), array([1.71880148e-15]))","(array([0.0941669]), array([1.49502149e-15]))"
(0.061042435892160615+0j),[8.55534755e-15],[1.],[-0.47592462],[1.],"(array([0.10468513]), array([1.9838249e-15]))","(array([6.66647949e-20]), array([-3.23020447e-21]))","(array([0.00625522]), array([1.31295089e-15]))","(array([0.0176385]), array([3.24898074e-15]))","(array([0.02877069]), array([3.47574138e-15]))","(array([0.04006756]), array([1.18839948e-15]))","(array([0.05501703]), array([1.15134e-15]))","(array([0.07352436]), array([1.31129306e-15]))","(array([0.08427254]), array([2.75689977e-16]))","(array([0.0941669]), array([1.87851175e-15]))","(array([0.10468513]), array([2.08828754e-15]))"
(0.05915727687448782+0j),[7.29643658e-15],[1.],[-0.46769706],[1.],"(array([0.10638489]), array([1.75409729e-15]))","(array([0.00625522]), array([1.33064131e-15]))","(array([0.0176385]), array([3.25264469e-15]))","(array([0.02877069]), array([3.24192181e-15]))","(array([0.04006756]), array([1.63403832e-15]))","(array([0.05501703]), array([2.1117124e-15]))","(array([0.07352436]), array([2.301403e-15]))","(array([0.08427254]), array([8.49548079e-16]))","(array([0.0941669]), array([2.24968045e-15]))","(array([0.10468513]), array([2.44616297e-15]))","(array([0.10638489]), array([1.9420527e-15]))"
