Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(6.004060576390566e-05+0j),[-2.99755307e-17],[1.],[-0.0154967],[1.],[-0.0017472],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[-0.0017472]
(0.0001092184085678634+0j),[-6.31833837e-16],[1.],[-0.02090031],[1.],[-0.00410357],[-1.17305488e-32],[1.64905986e-38],[5.75656482e-39],[0.],[0.],[0.],[0.],[0.],[-0.0017472],[-0.00410357]
(0.00024046887944390835+0j),[-1.18017935e-14],[1.],[-0.03101016],[1.],[-0.00585267],[3.93389796e-29],[3.79502322e-29],[-8.79744821e-29],[1.51529371e-29],[-2.41828164e-29],[9.54010305e-29],[-2.08744589e-26],[-0.0017472],[-0.00410357],[-0.00585267]
(0.000647602971629327+0j),[-2.31891469e-14],[1.],[-0.05087878],[1.],[-0.00923285],[-4.78257246e-26],[1.77984147e-27],[-3.06864056e-25],[2.50274748e-30],[3.95058966e-25],[-1.89536986e-26],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285]
(0.0026948162339388714+0j),[-2.19445058e-14],[1.],[-0.10367828],[1.],[-0.01742966],[-1.21742219e-24],[1.77287453e-24],[1.259466e-24],[2.11342788e-24],[-1.40803074e-26],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966]
(0.0053994365248840005+0j),[-1.48900139e-14],[1.],[-0.14654022],[1.],[-0.02821542],[1.78190434e-24],[1.30090023e-24],[1.95157054e-24],[8.73583983e-25],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542]
(0.009815854727509841+0j),[-1.69625342e-14],[1.],[-0.19710312],[1.],[-0.03875301],[6.56038835e-25],[1.1856316e-24],[3.59933576e-25],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301]
(0.014818479465702306+0j),[-1.80333996e-14],[1.],[-0.24147806],[1.],[-0.04945698],[-1.34356001e-23],[2.33257134e-21],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698]
(0.026999631298115407+0j),[-8.68424931e-15],[1.],[-0.32379132],[1.],[-0.06377314],[2.09831022e-21],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314]
(0.041786499630527774+0j),[-1.54930115e-14],[1.],[-0.39936086],[1.],[-0.08158083],[-0.0017472],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314],[-0.08158083]
(0.045181179928635316+0j),[-1.34143502e-14],[1.],[-0.41378699],[1.],[-0.09342692],[-0.00410357],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314],[-0.08158083],[-0.09167971]
(0.0621066995166183+0j),[-1.27021028e-14],[1.],[-0.48028798],[1.],[-0.10495894],[-0.00585267],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314],[-0.08158083],[-0.09167971],[-0.10085537]
(0.06819113039510284+0j),[-1.18882628e-14],[1.],[-0.50042246],[1.],[-0.11642787],[-0.00923285],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314],[-0.08158083],[-0.09167971],[-0.10085537],[-0.11057519]
(0.06531730065715587+0j),[-9.94320909e-15],[1.],[-0.48897714],[1.],[-0.12077849],[-0.01742966],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314],[-0.08158083],[-0.09167971],[-0.10085537],[-0.11057519],[-0.11154565]
(0.06036009048218268+0j),[-9.40087026e-15],[1.],[-0.46981184],[1.],[-0.12552587],[-0.02821542],[-0.03875301],[-0.04945698],[-0.06377314],[-0.08158083],[-0.09167971],[-0.10085537],[-0.1105752],[-0.11154565],[-0.1080962]
(0.061948386070080304+0j),[-8.37113896e-15],[1.],[-0.47480006],[1.],[-0.13471306],[-0.03875302],[-0.04945699],[-0.06377315],[-0.08158085],[-0.09167973],[-0.10085539],[-0.11057521],[-0.11154567],[-0.10809622],[-0.10649764]
(0.07080117966549766+0j),[-7.80591757e-15],[1.],[-0.50507728],[1.],[-0.14924163],[-0.04945706],[-0.06377325],[-0.08158096],[-0.09167985],[-0.10085551],[-0.11057535],[-0.1115458],[-0.10809634],[-0.10649776],[-0.11048856]
(0.07566553691088539+0j),[-6.4824627e-15],[1.],[-0.51999954],[1.],[-0.16503042],[-0.0637736],[-0.08158139],[-0.09168032],[-0.100856],[-0.11057585],[-0.1115463],[-0.10809682],[-0.10649821],[-0.11048899],[-0.11557309]
(0.07449018832602411+0j),[-5.03011472e-15],[1.],[-0.51491376],[1.],[-0.18044901],[-0.08158258],[-0.09168162],[-0.10085738],[-0.1105773],[-0.11154772],[-0.10809819],[-0.10649953],[-0.11049027],[-0.11557429],[-0.11667445]
(0.07948069570542174+0j),[-4.0220612e-15],[1.],[-0.5299205],[1.],[-0.19938607],[-0.09168551],[-0.10086152],[-0.11058166],[-0.11155204],[-0.10810233],[-0.1065035],[-0.11049419],[-0.1155781],[-0.11667803],[-0.11779998]
(0.0695638691960703+0j),[-3.17668783e-15],[1.],[-0.49626748],[1.],[-0.20739659],[-0.10087334],[-0.11059423],[-0.11156448],[-0.10811429],[-0.10651508],[-0.11050558],[-0.11558927],[-0.11668863],[-0.1178098],[-0.11570001]
(0.06681819284902386+0j),[-2.45812466e-15],[1.],[-0.48644493],[1.],[-0.21168608],[-0.11061549],[-0.11158559],[-0.10813462],[-0.10653476],[-0.11052509],[-0.11560847],[-0.11670715],[-0.11782719],[-0.11571591],[-0.11079279]
(0.0625636464503002+0j),[-2.82538457e-15],[1.],[-0.47120863],[1.],[-0.21861974],[-0.11161893],[-0.10816666],[-0.10656588],[-0.1105561],[-0.11563921],[-0.11673684],[-0.11785544],[-0.11574201],[-0.11081636],[-0.10797087]
(0.062043889281752224+0j),[-4.45766823e-15],[1.],[-0.46978769],[1.],[-0.21776767],[-0.10821585],[-0.10661354],[-0.11060378],[-0.11568698],[-0.11678304],[-0.11789999],[-0.11578382],[-0.11085433],[-0.10800515],[-0.10609796]
(0.05678434204376363+0j),[-5.27533382e-15],[1.],[-0.45033249],[1.],[-0.21201583],[-0.10666603],[-0.11065629],[-0.11573973],[-0.11683446],[-0.11794936],[-0.11583043],[-0.11089704],[-0.10804358],[-0.10613222],[-0.10374642]
(0.04598522703628957+0j),[-7.23006812e-16],[1.],[-0.40621785],[1.],[-0.20330609],[-0.11070666],[-0.11578977],[-0.1168838],[-0.11799649],[-0.11587499],[-0.11093786],[-0.10808038],[-0.10616498],[-0.10377503],[-0.09659047]
(0.04245907759958426+0j),[7.42138316e-15],[1.],[-0.39159258],[1.],[-0.20071266],[-0.11584212],[-0.11693477],[-0.11804601],[-0.11592133],[-0.11098062],[-0.10811917],[-0.1061994],[-0.10380588],[-0.09661733],[-0.08995404]
(0.03765304441373581+0j),[1.73238226e-14],[1.],[-0.37003638],[1.],[-0.20178693],[-0.11700008],[-0.11810925],[-0.11598146],[-0.11103611],[-0.10817005],[-0.10624549],[-0.10384676],[-0.09665313],[-0.08998516],[-0.08587848]
(0.03605300780520884+0j),[9.18970441e-15],[1.],[-0.36365153],[1.],[-0.19981602],[-0.11819326],[-0.11606102],[-0.11111041],[-0.10823912],[-0.10630839],[-0.10390336],[-0.09670354],[-0.09002952],[-0.08591683],[-0.0827293]
(0.0318124873184798+0j),[7.23566553e-15],[1.],[-0.34291245],[1.],[-0.19796972],[-0.1161579],[-0.1112008],[-0.10832317],[-0.10638561],[-0.10397379],[-0.09676643],[-0.09008497],[-0.08596505],[-0.08276963],[-0.07967502]
(0.03167675966600448+0j),[3.14563012e-15],[1.],[-0.34365534],[1.],[-0.193703],[-0.11131591],[-0.10843044],[-0.10648515],[-0.10406493],[-0.09684762],[-0.09015679],[-0.0860284],[-0.08282333],[-0.07972006],[-0.07742158]
(0.02886948977975776+0j),[8.26848914e-15],[1.],[-0.32919995],[1.],[-0.18731561],[-0.10854676],[-0.10659368],[-0.10416481],[-0.09693695],[-0.090236],[-0.08609857],[-0.08288383],[-0.07977073],[-0.07746376],[-0.07587452]
(0.023665052012409357+0j),[1.978564e-14],[1.],[-0.29895428],[1.],[-0.17950283],[-0.10670485],[-0.10426713],[-0.09702926],[-0.09031852],[-0.08617083],[-0.08294652],[-0.07982399],[-0.0775073],[-0.07591006],[-0.07083571]
(0.018508586969675816+0j),[1.13142898e-14],[1.],[-0.26511647],[1.],[-0.170437],[-0.10437962],[-0.09713013],[-0.09040853],[-0.08625083],[-0.08301643],[-0.07988372],[-0.07755709],[-0.07595074],[-0.07086735],[-0.06361074]
(0.015491919185148742+0j),[2.45202665e-15],[1.],[-0.24333607],[1.],[-0.16182434],[-0.09722925],[-0.09049747],[-0.08633037],[-0.08308663],[-0.07994456],[-0.07760872],[-0.07599377],[-0.07090218],[-0.06363737],[-0.05733531]
(0.011829191925204308+0j),[8.75524559e-15],[1.],[-0.2131499],[1.],[-0.14879458],[-0.09057745],[-0.08640284],[-0.08315117],[-0.08000116],[-0.07765752],[-0.07603491],[-0.0709361],[-0.06366481],[-0.05735583],[-0.05147578]
(0.010602945406188552+0j),[2.05503197e-14],[1.],[-0.20247117],[1.],[-0.13750771],[-0.08646356],[-0.08320552],[-0.08004907],[-0.07769901],[-0.07607002],[-0.07096526],[-0.06368815],[-0.05737386],[-0.05148907],[-0.04686292]
(0.009422860618409282+0j),[1.47566224e-14],[1.],[-0.19140214],[1.],[-0.13093077],[-0.08325725],[-0.08009504],[-0.0777389],[-0.07610413],[-0.07099368],[-0.06371106],[-0.0573917],[-0.05150216],[-0.04687251],[-0.04440974]
(0.008241649117082863+0j),[1.37743634e-14],[1.],[-0.17942509],[1.],[-0.1251211],[-0.08014372],[-0.07778034],[-0.07614093],[-0.07102438],[-0.06373597],[-0.05741144],[-0.05151748],[-0.04688369],[-0.04441685],[-0.04181082]
(0.007457305899726799+0j),[1.18777292e-14],[1.],[-0.17103463],[1.],[-0.11970384],[-0.07782181],[-0.07617712],[-0.07105532],[-0.06376174],[-0.05743237],[-0.0515339],[-0.04689634],[-0.04442582],[-0.04181667],[-0.03951384]
(0.005851217802942827+0j),[1.08185845e-14],[1.],[-0.15173507],[1.],[-0.11425501],[-0.0762134],[-0.07108678],[-0.06378819],[-0.05745425],[-0.05155162],[-0.04691039],[-0.04443635],[-0.04182418],[-0.0395187],[-0.03639204]
(0.0058497800677495305+0j),[1.88099144e-14],[1.],[-0.15197233],[1.],[-0.11048909],[-0.07111636],[-0.06381336],[-0.05747528],[-0.05156895],[-0.04692444],[-0.04444748],[-0.04183246],[-0.03952463],[-0.03639573],[-0.03424195]
(0.004499784528759016+0j),[1.33604011e-14],[1.],[-0.13342838],[1.],[-0.10332083],[-0.06383577],[-0.05749433],[-0.05158491],[-0.04693762],[-0.04445819],[-0.04184095],[-0.03953097],[-0.0364002],[-0.0342446],[-0.03217824]
(0.003696021367455297+0j),[9.10191654e-15],[1.],[-0.12103244],[1.],[-0.09254469],[-0.05751084],[-0.05159889],[-0.04694942],[-0.0444679],[-0.04184873],[-0.03953702],[-0.03640445],[-0.03424758],[-0.03217972],[-0.02868911]
(0.004555757715089069+0j),[8.36455615e-15],[1.],[-0.13445983],[1.],[-0.0863307],[-0.05161089],[-0.04695952],[-0.04447633],[-0.04185553],[-0.03954232],[-0.03640841],[-0.03425023],[-0.03218129],[-0.02868965],[-0.02880572]
(0.0061276092662717035+0j),[1.04184441e-14],[1.],[-0.15590716],[1.],[-0.08435952],[-0.04696793],[-0.0444836],[-0.04186145],[-0.03954702],[-0.03641196],[-0.03425279],[-0.03218287],[-0.02869036],[-0.02880567],[-0.03273828]
(0.0063300653031589495+0j),[7.08075716e-15],[1.],[-0.15845168],[1.],[-0.08241571],[-0.04448875],[-0.04186561],[-0.03955037],[-0.03641458],[-0.03425476],[-0.03218412],[-0.02869081],[-0.02880584],[-0.03273795],[-0.03544172]
(0.007997039287535302+0j),[4.83458685e-15],[1.],[-0.1779683],[1.],[-0.08242308],[-0.04186874],[-0.03955293],[-0.03641659],[-0.03425626],[-0.03218516],[-0.02869136],[-0.02880609],[-0.0327379],[-0.03544145],[-0.03793053]
(0.006839281593743803+0j),[4.69569521e-15],[1.],[-0.16462563],[1.],[-0.08049704],[-0.03955524],[-0.03641848],[-0.03425773],[-0.03218623],[-0.02869203],[-0.0288065],[-0.03273807],[-0.03544145],[-0.03793025],[-0.03862549]
(0.007559997844962776+0j),[3.30314826e-15],[1.],[-0.17301794],[1.],[-0.07762486],[-0.03642027],[-0.03425916],[-0.03218734],[-0.02869281],[-0.02880702],[-0.03273838],[-0.03544159],[-0.03793022],[-0.03862527],[-0.03806738]
(0.008737544712113325+0j),[3.22654142e-15],[1.],[-0.18589041],[1.],[-0.07688734],[-0.03426057],[-0.03218844],[-0.02869361],[-0.02880764],[-0.0327388],[-0.03544184],[-0.03793035],[-0.03862525],[-0.03806723],[-0.04046533]
(0.009917582582258626+0j),[2.10392493e-15],[1.],[-0.19790529],[1.],[-0.0775332],[-0.03218947],[-0.02869448],[-0.02880831],[-0.03273929],[-0.03544217],[-0.03793058],[-0.03862533],[-0.03806721],[-0.04046521],[-0.04327116]
(0.010488405518387287+0j),[7.57888135e-16],[1.],[-0.2034144],[1.],[-0.07743698],[-0.02869532],[-0.02880902],[-0.03273983],[-0.03544259],[-0.03793091],[-0.03862549],[-0.03806732],[-0.04046519],[-0.04327106],[-0.04524639]
(0.0113486043162233+0j),[-1.68799972e-16],[1.],[-0.21145779],[1.],[-0.07547066],[-0.02880954],[-0.03274031],[-0.03544295],[-0.03793119],[-0.0386257],[-0.03806742],[-0.04046527],[-0.04327106],[-0.04524633],[-0.04677457]
(0.010091484684940939+0j),[-1.09121518e-15],[1.],[-0.19942356],[1.],[-0.07513447],[-0.03274057],[-0.03544321],[-0.03793137],[-0.03862583],[-0.03806752],[-0.04046532],[-0.04327106],[-0.0452463],[-0.04677453],[-0.04632449]
(0.01091139403070114+0j),[-1.14204554e-15],[1.],[-0.20726834],[1.],[-0.07859313],[-0.0354434],[-0.03793156],[-0.03862596],[-0.0380676],[-0.0404654],[-0.0432711],[-0.04524633],[-0.0467745],[-0.04632449],[-0.0458523]
(0.0115112316877531+0j),[-1.36835952e-15],[1.],[-0.21279455],[1.],[-0.08280322],[-0.03793181],[-0.03862612],[-0.03806775],[-0.04046553],[-0.0432712],[-0.04524641],[-0.04677457],[-0.04632453],[-0.04585234],[-0.04735953]
(0.015149931570875028+0j),[-1.42472299e-15],[1.],[-0.24373274],[1.],[-0.08940778],[-0.03862636],[-0.03806794],[-0.04046571],[-0.04327137],[-0.04524654],[-0.04677471],[-0.04632463],[-0.04585243],[-0.04735963],[-0.0514757]
(0.015500071328926526+0j),[-1.50674411e-15],[1.],[-0.24638028],[1.],[-0.09388372],[-0.03806823],[-0.04046596],[-0.04327162],[-0.04524677],[-0.04677491],[-0.04632482],[-0.04585258],[-0.04735978],[-0.05147585],[-0.05525703]
