Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.011590012286809384+0j),[-1.33277636e-15],[1.],[-0.21404837],[1.],"(array([-0.01960081]), array([-0.01424082]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-0.02213331]), array([0.00985439]))"
(2.724451634580619e-06+0j),[-1.42094753e-14],[1.],[-2.60851206e-06],[1.],"(array([-0.01959843]), array([-0.01423909]))","(array([-7.56292373e-27]), array([7.21771759e-27]))","(array([2.63020826e-28]), array([3.22951344e-28]))","(array([4.40534292e-27]), array([2.70990592e-27]))","(array([-8.9407659e-27]), array([-5.21277906e-27]))","(array([4.9826958e-26]), array([6.79247795e-26]))","(array([-2.95906721e-26]), array([-2.12182918e-26]))","(array([-7.24018881e-25]), array([-4.09483449e-25]))","(array([2.79937804e-25]), array([1.84810055e-25]))","(array([-7.81709032e-27]), array([1.1591247e-26]))","(array([6.86944722e-27]), array([5.11929628e-27]))","(array([1.7841394e-26]), array([1.3921657e-26]))","(array([3.2790042e-28]), array([-4.60967148e-28]))","(array([-3.10085791e-26]), array([-7.24417632e-26]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))"
(0.006045657651895796+0j),[-5.56993434e-15],[1.],[0.15499983],[1.],"(array([0.01416658]), array([0.01029263]))","(array([1.82251841e-22]), array([4.02210803e-23]))","(array([1.6114319e-22]), array([6.75997525e-23]))","(array([1.6351163e-22]), array([-9.38417841e-23]))","(array([-2.80263758e-22]), array([6.63553998e-22]))","(array([1.87928372e-22]), array([-4.85813197e-22]))","(array([9.25028451e-22]), array([-4.17927239e-22]))","(array([3.43533865e-23]), array([-3.45988059e-22]))","(array([5.61484259e-23]), array([6.39826326e-23]))","(array([3.65834954e-22]), array([-9.58194923e-22]))","(array([1.80818052e-23]), array([-1.0678338e-23]))","(array([6.83985006e-22]), array([-1.16353201e-21]))","(array([-2.2596739e-24]), array([-4.7854683e-24]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))"
(5.843052052188525e-06+0j),[-2.93051147e-14],[1.],[0.00338319],[1.],"(array([0.0144738]), array([0.01051583]))","(array([2.77878718e-22]), array([1.04969844e-22]))","(array([1.59107596e-22]), array([-8.21615669e-23]))","(array([-2.90517667e-22]), array([6.26954603e-22]))","(array([1.80254802e-22]), array([-4.70967285e-22]))","(array([8.70869752e-22]), array([-4.08012328e-22]))","(array([2.83189376e-23]), array([-3.23202373e-22]))","(array([4.09874045e-23]), array([5.1766902e-23]))","(array([3.46096939e-22]), array([-9.17716347e-22]))","(array([3.7692873e-23]), array([5.75964739e-24]))","(array([6.55411519e-22]), array([-1.11998022e-21]))","(array([-3.91492661e-22]), array([4.16090067e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))"
(2.7612849118830655e-06+0j),[-3.80044875e-14],[1.],[0.00052193],[1.],"(array([0.0003562]), array([0.00025879]))","(array([-2.80187453e-22]), array([3.2606653e-22]))","(array([-2.79344074e-22]), array([6.05572874e-22]))","(array([1.70293903e-22]), array([-4.48211264e-22]))","(array([8.24108191e-22]), array([-3.85210825e-22]))","(array([2.97590165e-23]), array([-3.23575744e-22]))","(array([4.87508848e-23]), array([3.57263184e-23]))","(array([3.29181718e-22]), array([-8.77897781e-22]))","(array([3.23272719e-23]), array([1.05199633e-23]))","(array([6.22383215e-22]), array([-1.07029721e-21]))","(array([-3.6597305e-22]), array([3.95963345e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))"
(0.0002171370244899794+0j),[-3.41020489e-14],[1.],[-0.02930233],[1.],"(array([-0.00262532]), array([-0.00190741]))","(array([1.09866102e-22]), array([7.07104839e-22]))","(array([8.69704218e-22]), array([-1.04668182e-21]))","(array([1.70927576e-21]), array([-3.67094801e-22]))","(array([8.41929909e-23]), array([4.64247601e-25]))","(array([-4.56657815e-23]), array([4.71368439e-23]))","(array([3.21966109e-22]), array([-8.34571269e-22]))","(array([2.59880182e-23]), array([3.20788558e-23]))","(array([6.06789391e-22]), array([-1.04802509e-21]))","(array([-3.61708465e-22]), array([3.73972022e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))"
(0.0009503401413067783+0j),[-3.70387475e-14],[1.],[0.06155431],[1.],"(array([0.00294382]), array([0.00213881]))","(array([2.98034899e-22]), array([-1.06387008e-21]))","(array([1.71503463e-21]), array([-1.29470737e-22]))","(array([1.588527e-22]), array([9.09214571e-24]))","(array([-2.73085961e-23]), array([1.59419013e-22]))","(array([5.74856209e-22]), array([-5.48222852e-22]))","(array([-3.91351191e-22]), array([-4.28038114e-22]))","(array([1.03421996e-21]), array([-7.91635663e-22]))","(array([-3.19421029e-22]), array([3.75877026e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))"
(0.013041041705363951+0j),[-3.73031711e-14],[1.],[0.22685306],[1.],"(array([0.02636897]), array([0.01915818]))","(array([2.80512477e-21]), array([8.17196965e-23]))","(array([8.16893045e-22]), array([4.89435975e-22]))","(array([-3.9802169e-22]), array([-9.57981244e-23]))","(array([6.21063136e-22]), array([-6.4898943e-22]))","(array([-3.62555904e-22]), array([-4.14284143e-22]))","(array([9.92662623e-22]), array([-7.42513438e-22]))","(array([-2.73607955e-22]), array([5.36239696e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))"
(0.00012899318315153242+0j),[-2.94280308e-14],[1.],[-0.02215177],[1.],"(array([0.01876786]), array([0.01363565]))","(array([1.44211676e-21]), array([-5.00902028e-22]))","(array([5.89063895e-22]), array([2.56055148e-22]))","(array([-1.08402502e-22]), array([-1.64862352e-21]))","(array([-1.26282203e-21]), array([-1.08617056e-21]))","(array([1.91599362e-21]), array([2.16701217e-22]))","(array([1.11481994e-21]), array([1.07255904e-21]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119274]), array([-0.00943562]))"
(0.022236558980497773+0j),[-3.2562762e-14],[1.],[-0.29482147],[1.],"(array([-0.02910084]), array([-0.021143]))","(array([4.97816442e-22]), array([1.52381024e-22]))","(array([-3.3144888e-24]), array([-1.36482508e-21]))","(array([-1.25142458e-21]), array([-9.57909249e-22]))","(array([2.01838774e-21]), array([2.61189872e-22]))","(array([1.06458005e-21]), array([1.10658916e-21]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))"
