Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0003927954828405235+0j),[-2.40002982e-16],[1.],[0.03963026],[1.],"(array([0.00361524]), array([0.00262663]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00408235]), array([-0.00181758]))"
(0.0014936410198115853+0j),[5.18129452e-15],[1.],[0.07723552],[1.],"(array([0.01066089]), array([0.00774559]))","(array([-8.26262701e-32]), array([5.57086035e-32]))","(array([-4.64079984e-33]), array([7.20911788e-33]))","(array([4.29847577e-33]), array([3.22721525e-33]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-2.49555916e-33]), array([3.561531e-33]))","(array([8.67430978e-25]), array([7.02284089e-25]))","(array([-1.73998999e-33]), array([2.64276378e-33]))","(array([-5.59524531e-26]), array([-4.15525223e-26]))","(array([-9.32423066e-34]), array([1.48892617e-33]))","(array([0.]), array([0.]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))"
(0.0031953867769365023+0j),[5.79347137e-15],[1.],[0.11286437],[1.],"(array([0.01734139]), array([0.01259926]))","(array([5.79772929e-24]), array([-6.91992005e-24]))","(array([1.60140224e-23]), array([8.41486039e-24]))","(array([1.7495858e-23]), array([6.02170652e-23]))","(array([2.57749834e-23]), array([-9.46000355e-24]))","(array([3.87970613e-23]), array([2.31215209e-23]))","(array([-2.78822892e-24]), array([3.54958386e-24]))","(array([-6.2441987e-24]), array([6.63547475e-24]))","(array([1.36027271e-23]), array([4.35421574e-24]))","(array([-3.21384352e-23]), array([4.36005851e-23]))","(array([3.53379678e-24]), array([1.82717183e-23]))","(array([-1.72875759e-23]), array([-6.89197696e-24]))","(array([-2.07521138e-25]), array([2.90038044e-25]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))"
(0.0054022421104930225+0j),[-7.69006816e-16],[1.],[0.14657103],[1.],"(array([0.02366614]), array([0.01719445]))","(array([1.58174034e-23]), array([6.93042186e-24]))","(array([2.49780245e-23]), array([2.39186039e-23]))","(array([-2.06397842e-23]), array([6.61667213e-23]))","(array([3.66267062e-23]), array([2.2165324e-23]))","(array([1.13687353e-22]), array([-1.73606793e-22]))","(array([2.04368525e-23]), array([-6.72070395e-23]))","(array([8.03016579e-24]), array([3.05168739e-22]))","(array([-6.04574126e-23]), array([-3.60376279e-23]))","(array([2.37161184e-22]), array([-1.59765258e-22]))","(array([-1.51116675e-22]), array([-2.22527714e-23]))","(array([4.76164871e-23]), array([-5.23397346e-24]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))","(array([0.0267239]), array([-0.01189825]))"
(0.008028774372793103+0j),[7.98973253e-15],[1.],[0.17841423],[1.],"(array([0.02964545]), array([0.02153868]))","(array([1.31762348e-22]), array([1.05448781e-21]))","(array([2.30119478e-22]), array([2.57029276e-22]))","(array([4.77596009e-23]), array([3.31745302e-24]))","(array([1.12985157e-22]), array([-1.73396405e-22]))","(array([3.92542471e-24]), array([-4.35770561e-23]))","(array([-7.39671132e-25]), array([3.13718781e-22]))","(array([-5.97221976e-23]), array([-3.09701937e-23]))","(array([2.3454499e-22]), array([-1.35492524e-22]))","(array([-1.41458522e-22]), array([-1.89357277e-23]))","(array([4.64973258e-23]), array([-3.09226298e-24]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))","(array([0.0267239]), array([-0.01189825]))","(array([0.03347577]), array([-0.01490437]))"
(0.04352225712300117+0j),[7.73069573e-15],[1.],[0.40776336],[1.],"(array([0.05373395]), array([0.03904]))","(array([1.35591239e-21]), array([3.86062411e-22]))","(array([-3.41369817e-21]), array([-3.1401622e-21]))","(array([6.40099438e-22]), array([4.34698257e-22]))","(array([3.16597936e-23]), array([-6.28360963e-23]))","(array([5.49536515e-24]), array([2.94566104e-22]))","(array([-1.00484794e-22]), array([1.02352259e-23]))","(array([2.5495316e-22]), array([-1.55965102e-22]))","(array([-1.35734721e-22]), array([-1.24299137e-23]))","(array([6.61602554e-23]), array([-1.94297614e-23]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))","(array([0.0267239]), array([-0.01189825]))","(array([0.03347577]), array([-0.01490437]))","(array([0.06067661]), array([-0.02701497]))"
(0.10147036183780053+0j),[1.89570855e-14],[1.],[0.60209733],[1.],"(array([0.09253496]), array([0.06723058]))","(array([-5.32858977e-21]), array([-2.30220078e-21]))","(array([7.38470545e-22]), array([4.84703886e-22]))","(array([5.73837597e-22]), array([-3.5898665e-22]))","(array([1.5517083e-22]), array([2.5742051e-22]))","(array([-1.83812588e-22]), array([2.48245332e-22]))","(array([6.04503391e-22]), array([-4.37962049e-22]))","(array([-3.04442923e-22]), array([6.84690149e-23]))","(array([1.25723775e-21]), array([-9.7505562e-22]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))","(array([0.0267239]), array([-0.01189825]))","(array([0.03347577]), array([-0.01490437]))","(array([0.06067661]), array([-0.02701497]))","(array([0.10449087]), array([-0.04652233]))"
(0.1749114918002516+0j),[1.87391814e-14],[1.],[0.75365306],[1.],"(array([0.12417883]), array([0.0902212]))","(array([-6.01433193e-21]), array([8.66512287e-21]))","(array([-2.1076808e-21]), array([6.46742581e-21]))","(array([4.71857632e-22]), array([8.25012144e-22]))","(array([1.82501779e-21]), array([-2.71595907e-21]))","(array([3.90583243e-21]), array([-3.1831856e-21]))","(array([-6.64647468e-22]), array([1.16786107e-22]))","(array([1.06859704e-20]), array([-9.19204801e-21]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))","(array([0.0267239]), array([-0.01189825]))","(array([0.03347577]), array([-0.01490437]))","(array([0.06067661]), array([-0.02701497]))","(array([0.10449087]), array([-0.04652233]))","(array([0.14022326]), array([-0.06243142]))"
(0.25685419616234834+0j),[1.8050103e-14],[1.],[0.85856169],[1.],"(array([0.14760709]), array([0.10724283]))","(array([-4.33279865e-19]), array([-2.60818563e-20]))","(array([-2.93548169e-19]), array([-4.69027308e-19]))","(array([-3.80608304e-20]), array([5.23853775e-20]))","(array([1.26275767e-20]), array([-1.26124894e-20]))","(array([-7.72041224e-20]), array([1.34291846e-19]))","(array([-5.86956056e-20]), array([-1.54073271e-19]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871845]))","(array([0.0267239]), array([-0.01189825]))","(array([0.03347577]), array([-0.01490437]))","(array([0.06067661]), array([-0.02701497]))","(array([0.10449087]), array([-0.04652233]))","(array([0.14022326]), array([-0.06243142]))","(array([0.16667856]), array([-0.07421008]))"
(0.34073862219437656+0j),[1.5750449e-14],[1.],[0.91655154],[1.],"(array([0.16244807]), array([0.11802543]))","(array([-1.8589276e-19]), array([-4.97472748e-19]))","(array([-4.12169537e-19]), array([6.19379113e-19]))","(array([1.83071275e-20]), array([-7.83099885e-21]))","(array([-2.65745465e-19]), array([3.12431889e-19]))","(array([-1.93761132e-19]), array([9.72156013e-21]))","(array([0.00408235]), array([-0.00181758]))","(array([0.01203832]), array([-0.00535981]))","(array([0.01958197]), array([-0.00871846]))","(array([0.0267239]), array([-0.01189825]))","(array([0.03347577]), array([-0.01490437]))","(array([0.06067661]), array([-0.02701497]))","(array([0.10449087]), array([-0.04652233]))","(array([0.14022327]), array([-0.06243142]))","(array([0.16667856]), array([-0.07421008]))","(array([0.18343706]), array([-0.08167144]))"
