Es,Sx,Sxx,Sy,Syy,PQ-50,PQ-49,PQ-48,PQ-47,PQ-46,PQ-45,PQ-44,PQ-43,PQ-42,PQ-41,PQ-40,PQ-39,PQ-38,PQ-37,PQ-36,PQ-35,PQ-34,PQ-33,PQ-32,PQ-31,PQ-30,PQ-29,PQ-28,PQ-27,PQ-26,PQ-25,PQ-24,PQ-23,PQ-22,PQ-21,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.005429857831468763+0j),[-6.54608155e-18],[1.],[0.14696999],[1.],"(array([0.00830026]), array([0.01437648]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00830026]), array([0.01437648]))"
(0.020541168042684927+0j),[-3.03885454e-14],[1.],[0.28357913],[1.],"(array([0.02431217]), array([0.04210991]))","(array([3.66897188e-29]), array([5.87378362e-29]))","(array([-6.65164572e-30]), array([6.17844267e-30]))","(array([-5.44868611e-23]), array([2.59362494e-23]))","(array([-2.17285161e-26]), array([1.43971878e-26]))","(array([2.0379413e-27]), array([4.04981614e-27]))","(array([-2.48657689e-27]), array([-4.45247424e-27]))","(array([1.03941627e-27]), array([1.34697225e-27]))","(array([3.38049257e-27]), array([5.90053756e-27]))","(array([7.88383808e-26]), array([1.21983316e-25]))","(array([3.50793646e-27]), array([8.38110184e-27]))","(array([4.65580715e-27]), array([7.78074408e-27]))","(array([-5.38987118e-26]), array([-1.36209916e-25]))","(array([-5.11378023e-28]), array([-1.0188801e-27]))","(array([7.03029006e-26]), array([1.26885295e-25]))","(array([-1.30499505e-26]), array([-2.66658251e-26]))","(array([-7.13130864e-24]), array([1.77609088e-23]))","(array([-1.73825415e-24]), array([-4.59042235e-24]))","(array([-5.12599713e-26]), array([-1.3571171e-25]))","(array([-4.56170532e-25]), array([-5.10000967e-25]))","(array([1.6935408e-24]), array([5.22570401e-24]))","(array([4.46521667e-28]), array([7.23238853e-28]))","(array([-5.05473114e-33]), array([6.83177223e-33]))","(array([7.76011545e-25]), array([1.55824333e-24]))","(array([-2.66365996e-27]), array([-4.34943223e-27]))","(array([1.05357794e-26]), array([1.74768362e-26]))","(array([8.5200504e-27]), array([1.60413427e-26]))","(array([-3.87747254e-26]), array([-6.13116522e-26]))","(array([4.96249557e-27]), array([7.6036895e-27]))","(array([-4.04508423e-27]), array([-8.19254976e-27]))","(array([-6.32241473e-26]), array([6.01453689e-26]))","(array([-4.89134261e-27]), array([-1.27680929e-26]))","(array([1.55892063e-27]), array([3.02219838e-27]))","(array([-2.57019535e-27]), array([-8.98488633e-27]))","(array([-1.83389229e-23]), array([5.4762535e-24]))","(array([1.37448832e-26]), array([3.38546596e-26]))","(array([-3.80800086e-27]), array([-5.64048688e-27]))","(array([-2.21377657e-27]), array([-3.95580187e-27]))","(array([-2.50019146e-26]), array([-3.78140541e-26]))","(array([-7.05298695e-25]), array([-5.12872108e-25]))","(array([7.26926062e-27]), array([-5.41370679e-26]))","(array([-5.68748976e-27]), array([-7.15077894e-27]))","(array([6.02278532e-28]), array([-3.7275398e-28]))","(array([-3.92580594e-27]), array([2.26656249e-27]))","(array([-9.20706001e-26]), array([-1.97385698e-25]))","(array([-9.61222122e-28]), array([-2.06026449e-27]))","(array([8.21924151e-27]), array([1.35717148e-26]))","(array([9.87163346e-27]), array([2.04383239e-26]))","(array([-1.67480707e-26]), array([-2.19443739e-26]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))"
(0.04357243052718356+0j),[3.83419729e-14],[1.],[0.40774529],[1.],"(array([0.03903235]), array([0.06760601]))","(array([4.46354976e-21]), array([3.08400698e-21]))","(array([7.92033563e-22]), array([-1.74651789e-21]))","(array([-7.94018773e-23]), array([-3.11723002e-22]))","(array([-4.23095017e-24]), array([4.32220252e-22]))","(array([1.04079266e-26]), array([-8.06611462e-27]))","(array([1.06317955e-21]), array([1.39206859e-22]))","(array([-1.06351636e-21]), array([-1.3655879e-22]))","(array([-8.22946824e-23]), array([-7.42666887e-23]))","(array([6.92638715e-22]), array([-5.33082083e-22]))","(array([-1.54017764e-21]), array([-7.5576191e-22]))","(array([-1.70850264e-21]), array([-1.56022572e-22]))","(array([-1.88682229e-22]), array([-2.60530534e-22]))","(array([3.18971824e-21]), array([-1.26905538e-21]))","(array([8.37815294e-22]), array([-2.82691265e-22]))","(array([-5.62915735e-21]), array([4.01789885e-21]))","(array([6.22492143e-22]), array([-6.27980779e-22]))","(array([4.46719392e-21]), array([-2.5567601e-21]))","(array([-1.91237629e-27]), array([-1.97516562e-27]))","(array([-3.61164328e-22]), array([2.31365668e-22]))","(array([6.72875727e-21]), array([-1.59779417e-21]))","(array([-4.34736242e-21]), array([2.02365221e-21]))","(array([-5.44707123e-23]), array([-9.23500952e-23]))","(array([-5.70967268e-23]), array([-9.07624608e-23]))","(array([-1.30971733e-21]), array([7.34069919e-22]))","(array([1.4353628e-22]), array([2.57578581e-22]))","(array([-6.50840377e-22]), array([1.58736507e-21]))","(array([9.01935046e-23]), array([-6.64037101e-22]))","(array([-2.08431148e-21]), array([5.04522144e-22]))","(array([-3.52601922e-22]), array([4.03863412e-22]))","(array([-1.5181521e-21]), array([7.99103511e-22]))","(array([-6.66872367e-24]), array([-5.8970547e-23]))","(array([-5.0586344e-21]), array([1.59871368e-21]))","(array([1.64862671e-21]), array([-5.44665986e-22]))","(array([3.01059084e-23]), array([-4.08675035e-23]))","(array([-5.25379092e-23]), array([-9.34758607e-23]))","(array([-1.11753034e-22]), array([-1.83040701e-22]))","(array([-7.56003862e-22]), array([4.05551176e-22]))","(array([-6.892857e-22]), array([5.21764478e-22]))","(array([-1.50402992e-21]), array([8.25505959e-22]))","(array([-4.23527706e-21]), array([2.92886241e-21]))","(array([-1.20321821e-23]), array([6.12101792e-24]))","(array([6.89270223e-22]), array([-5.2175862e-22]))","(array([9.67725485e-22]), array([-8.74666588e-22]))","(array([5.1415472e-22]), array([8.09060286e-23]))","(array([-1.90562177e-21]), array([2.18580651e-22]))","(array([-2.19391745e-21]), array([4.46718034e-22]))","(array([-3.0669625e-23]), array([-5.42471287e-23]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))"
(0.07280559062762869+0j),[7.14340579e-14],[1.],[0.51800386],[1.],"(array([0.05226122]), array([0.09051909]))","(array([1.20183448e-21]), array([-1.85340581e-21]))","(array([3.03382851e-21]), array([9.88078356e-21]))","(array([1.36245815e-20]), array([2.55741134e-20]))","(array([1.13944572e-21]), array([2.57825005e-22]))","(array([1.18682676e-20]), array([-5.05696047e-21]))","(array([-2.22416329e-20]), array([3.20096571e-20]))","(array([1.26032481e-20]), array([2.32691798e-21]))","(array([4.80280105e-22]), array([6.36724887e-22]))","(array([-2.43077312e-20]), array([8.63429183e-21]))","(array([-4.00356895e-22]), array([-7.11356705e-22]))","(array([-4.61411522e-20]), array([2.7496367e-20]))","(array([1.1281584e-20]), array([-6.9194775e-21]))","(array([-3.89816077e-22]), array([-7.01979904e-22]))","(array([-5.7380676e-21]), array([5.02251761e-21]))","(array([3.0638342e-20]), array([-2.34630668e-20]))","(array([-2.31632209e-20]), array([1.13404912e-20]))","(array([4.96009822e-21]), array([-4.13126468e-21]))","(array([3.75661562e-21]), array([-2.73525293e-21]))","(array([2.41008411e-20]), array([-1.01155963e-20]))","(array([-2.91866339e-22]), array([-9.69794417e-22]))","(array([6.47057726e-21]), array([-2.21543955e-21]))","(array([-2.46531428e-21]), array([1.58261596e-20]))","(array([-1.36629372e-21]), array([6.29182285e-22]))","(array([2.09462144e-20]), array([-1.48406262e-20]))","(array([1.08396402e-20]), array([-6.88842713e-21]))","(array([-6.65751865e-21]), array([7.2054008e-21]))","(array([-1.17453879e-20]), array([5.21575681e-21]))","(array([5.95923632e-21]), array([-2.51259995e-21]))","(array([-3.12452083e-20]), array([2.30279736e-20]))","(array([1.11256605e-20]), array([-6.3712726e-21]))","(array([-3.75341094e-21]), array([-1.16544568e-21]))","(array([4.27395897e-20]), array([4.71129707e-21]))","(array([-2.16659069e-20]), array([2.9062459e-20]))","(array([3.85271512e-20]), array([-5.91743625e-21]))","(array([-1.36560333e-20]), array([1.0881787e-21]))","(array([-7.15553648e-22]), array([1.33047979e-21]))","(array([4.29331306e-20]), array([-3.0801028e-20]))","(array([-8.96110933e-22]), array([3.78381067e-22]))","(array([3.29268906e-20]), array([-6.70410271e-20]))","(array([-5.47517353e-20]), array([-6.98853035e-23]))","(array([-7.75966642e-21]), array([-3.80798878e-20]))","(array([-1.02058688e-20]), array([-5.40022607e-21]))","(array([3.03798272e-20]), array([-2.68242349e-20]))","(array([6.03457062e-21]), array([-1.29949278e-20]))","(array([-2.63352604e-21]), array([-3.04037838e-21]))","(array([-1.9902558e-22]), array([1.05787595e-21]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))"
(0.10660450802597822+0j),[6.94927006e-14],[1.],[0.61345851],[1.],"(array([0.06386618]), array([0.11061947]))","(array([5.36494615e-21]), array([7.4228177e-21]))","(array([8.34649057e-20]), array([3.02807291e-21]))","(array([5.8950667e-21]), array([-2.45523342e-21]))","(array([1.15365161e-20]), array([-6.11871299e-21]))","(array([-3.02309322e-20]), array([3.60551376e-20]))","(array([5.0285828e-21]), array([6.11541653e-21]))","(array([9.8183945e-21]), array([-4.28216438e-21]))","(array([-1.05891317e-20]), array([2.6921183e-21]))","(array([1.30524973e-20]), array([-8.30160279e-21]))","(array([-4.98958945e-20]), array([2.91376886e-20]))","(array([-1.27952227e-21]), array([4.15426349e-22]))","(array([1.10408493e-20]), array([-7.24034226e-21]))","(array([3.99060208e-21]), array([-6.41131476e-22]))","(array([3.49771709e-20]), array([-2.57525506e-20]))","(array([-2.61825717e-20]), array([1.32870732e-20]))","(array([6.91497097e-22]), array([-1.80653491e-21]))","(array([2.83728175e-20]), array([-1.63348398e-20]))","(array([3.65423697e-20]), array([-1.71810477e-20]))","(array([-2.41577571e-21]), array([-7.83249682e-22]))","(array([2.20083096e-21]), array([2.12498057e-22]))","(array([1.64794385e-20]), array([4.06570915e-21]))","(array([1.25570137e-20]), array([-7.11174445e-21]))","(array([4.38341402e-20]), array([-2.71583412e-20]))","(array([1.04777953e-20]), array([-6.91632323e-21]))","(array([-1.90503515e-20]), array([1.3784301e-20]))","(array([-3.30574552e-20]), array([1.58364847e-20]))","(array([1.79370326e-20]), array([-8.43902722e-21]))","(array([-1.93434455e-20]), array([1.65593337e-20]))","(array([6.73010615e-21]), array([-3.89142665e-21]))","(array([-9.25113779e-21]), array([2.26001421e-21]))","(array([3.9693958e-20]), array([5.35991875e-21]))","(array([-1.81881551e-20]), array([2.65960846e-20]))","(array([2.51619188e-20]), array([7.90202414e-22]))","(array([-3.03662922e-20]), array([1.0860889e-20]))","(array([-1.51408395e-20]), array([9.39991423e-21]))","(array([6.64574488e-20]), array([-4.39480673e-20]))","(array([1.6937258e-20]), array([-9.75272173e-21]))","(array([3.2688262e-20]), array([-6.51378314e-20]))","(array([-4.34970541e-20]), array([-5.1752665e-21]))","(array([-1.00186421e-21]), array([-3.97778409e-20]))","(array([-9.28897235e-21]), array([-5.23262395e-21]))","(array([3.96578337e-20]), array([-3.14294448e-20]))","(array([1.60834694e-20]), array([-1.81153457e-20]))","(array([-1.02882478e-20]), array([1.68825061e-21]))","(array([-1.22973253e-20]), array([7.88191876e-21]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))"
(0.14344585847714839+0j),[1.34272385e-13],[1.],[0.69372405],[1.],"(array([0.07377552]), array([0.12778294]))","(array([1.19248105e-19]), array([-1.26800412e-20]))","(array([1.26090879e-19]), array([-3.1291549e-20]))","(array([1.66972166e-20]), array([-1.36696385e-20]))","(array([-5.76479049e-20]), array([5.27245801e-20]))","(array([6.34850649e-21]), array([6.11229933e-21]))","(array([-2.34829419e-20]), array([-2.79677196e-20]))","(array([4.76544914e-20]), array([-2.26465891e-19]))","(array([4.0782465e-19]), array([1.00513423e-19]))","(array([5.6181124e-19]), array([-2.04291819e-19]))","(array([-7.46894032e-20]), array([3.43606284e-20]))","(array([3.00341259e-20]), array([-8.49942996e-21]))","(array([1.66290157e-19]), array([1.17908098e-19]))","(array([-4.90478424e-20]), array([-5.25223813e-20]))","(array([-2.52849342e-20]), array([2.6558914e-20]))","(array([-1.56210984e-19]), array([5.73433265e-20]))","(array([-8.41543941e-21]), array([-1.51250901e-20]))","(array([1.40783964e-20]), array([-2.49275269e-21]))","(array([-3.64835707e-20]), array([6.43729877e-20]))","(array([-3.25645932e-21]), array([4.88009171e-21]))","(array([2.50317487e-20]), array([-1.49318249e-19]))","(array([1.01673377e-20]), array([-1.04620662e-20]))","(array([8.64680447e-20]), array([-1.04716888e-19]))","(array([2.18215004e-20]), array([4.09804915e-20]))","(array([-9.46874626e-20]), array([9.47184542e-21]))","(array([-1.78180907e-19]), array([2.25401774e-19]))","(array([2.00310611e-19]), array([3.52867742e-20]))","(array([-1.57695785e-20]), array([-3.23656549e-20]))","(array([1.63306885e-19]), array([1.03291501e-19]))","(array([5.89008313e-21]), array([-1.86974286e-20]))","(array([-1.13009404e-19]), array([2.51973838e-20]))","(array([1.50526733e-20]), array([1.04541881e-20]))","(array([-7.90869167e-20]), array([-5.73778917e-20]))","(array([-6.24093193e-20]), array([4.30138015e-20]))","(array([-5.11106428e-20]), array([-3.88056716e-20]))","(array([2.93503894e-19]), array([-2.77480999e-21]))","(array([1.10342744e-19]), array([-4.45501687e-20]))","(array([-5.31137695e-21]), array([2.47820852e-20]))","(array([7.61336093e-20]), array([1.18362994e-19]))","(array([7.91876269e-20]), array([-2.83210787e-19]))","(array([1.04219051e-19]), array([-8.96105673e-21]))","(array([7.13592902e-20]), array([-4.3163778e-20]))","(array([-3.63957476e-20]), array([-2.30938018e-19]))","(array([-8.24008108e-20]), array([1.75876294e-20]))","(array([-2.47343845e-19]), array([-1.58004176e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))"
(0.18194273607095204+0j),[7.6338184e-14],[1.],[0.75886422],[1.],"(array([0.08197171]), array([0.14197916]))","(array([2.58641899e-19]), array([-2.4313173e-19]))","(array([8.26119392e-20]), array([-8.82220086e-21]))","(array([-8.30215751e-20]), array([1.52578619e-19]))","(array([-1.24351005e-19]), array([1.27487736e-19]))","(array([-8.75521438e-19]), array([-4.49113334e-19]))","(array([1.50361135e-20]), array([-3.06852681e-19]))","(array([5.23260373e-19]), array([8.95596454e-20]))","(array([4.04660007e-19]), array([7.87606592e-20]))","(array([-3.01095572e-19]), array([3.60640283e-19]))","(array([6.29577243e-20]), array([-5.05256473e-20]))","(array([2.69604062e-19]), array([1.65710268e-20]))","(array([1.19949488e-19]), array([3.3588092e-20]))","(array([-2.38994172e-20]), array([2.71310736e-20]))","(array([-8.00488071e-19]), array([2.02022874e-19]))","(array([-9.59463296e-21]), array([-1.63568724e-20]))","(array([-1.5059063e-19]), array([9.0708004e-20]))","(array([1.11157293e-19]), array([-9.63070896e-21]))","(array([-3.21485647e-20]), array([9.52982606e-20]))","(array([1.54376955e-19]), array([-1.57093462e-19]))","(array([5.81913087e-20]), array([-3.35597009e-20]))","(array([4.51763159e-19]), array([-1.08563302e-19]))","(array([-8.46434751e-20]), array([8.96827639e-20]))","(array([-5.83818556e-19]), array([-1.26745191e-19]))","(array([-4.11072744e-19]), array([3.57159623e-19]))","(array([5.08724645e-19]), array([-5.72977867e-19]))","(array([-1.26055183e-19]), array([-4.76675328e-20]))","(array([1.67396913e-19]), array([9.48499452e-20]))","(array([1.11850442e-19]), array([-2.08825256e-20]))","(array([-2.71201698e-19]), array([3.77094951e-19]))","(array([2.9000278e-19]), array([-4.63002066e-19]))","(array([-6.83674181e-20]), array([-9.01182075e-20]))","(array([-2.63077911e-19]), array([2.16702549e-19]))","(array([3.3652488e-20]), array([1.15286384e-19]))","(array([7.25226748e-19]), array([-2.06385587e-20]))","(array([2.2471527e-19]), array([-1.02219207e-19]))","(array([-2.47056129e-19]), array([7.9728203e-20]))","(array([4.78149034e-19]), array([2.80276957e-19]))","(array([1.24717925e-19]), array([-2.24331984e-19]))","(array([5.19587071e-20]), array([-4.49506997e-19]))","(array([2.29963651e-19]), array([-6.99440343e-20]))","(array([4.31473227e-20]), array([-3.46016635e-19]))","(array([-7.4320469e-20]), array([2.16867391e-20]))","(array([-1.97325127e-19]), array([-1.81643403e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))","(array([0.08197171]), array([0.14197916]))"
(0.22086137539576242+0j),[1.62114801e-13],[1.],[0.80932646],[1.],"(array([0.08848418]), array([0.15325909]))","(array([-5.47513619e-19]), array([2.4623057e-19]))","(array([1.05785463e-19]), array([4.27679761e-20]))","(array([-5.13812745e-19]), array([4.32042055e-19]))","(array([-1.88160194e-18]), array([1.95883751e-19]))","(array([4.73038896e-19]), array([-1.66741887e-18]))","(array([2.12595309e-18]), array([1.06679166e-19]))","(array([9.65957068e-19]), array([-1.14417418e-19]))","(array([-7.19611309e-19]), array([-2.44206605e-19]))","(array([1.52695934e-18]), array([9.90150549e-20]))","(array([1.25583975e-19]), array([2.28490286e-19]))","(array([1.63739651e-19]), array([-2.47293801e-21]))","(array([-6.02062071e-20]), array([5.3650131e-20]))","(array([-1.98503175e-18]), array([4.08111758e-19]))","(array([-2.9624255e-19]), array([7.32027962e-20]))","(array([-9.8747752e-19]), array([-1.39131749e-19]))","(array([2.49274214e-19]), array([-4.70366637e-19]))","(array([-3.27196845e-19]), array([2.53323423e-19]))","(array([2.05207629e-21]), array([-1.01718948e-19]))","(array([5.8615791e-19]), array([-2.99587476e-19]))","(array([8.10799335e-19]), array([-3.22423959e-19]))","(array([-2.72771724e-19]), array([2.2671745e-20]))","(array([-6.87599372e-19]), array([-7.19039913e-21]))","(array([-6.8213162e-19]), array([5.86820044e-19]))","(array([5.99290717e-19]), array([-1.54328243e-18]))","(array([-1.69037037e-19]), array([4.67457344e-20]))","(array([8.49285956e-20]), array([3.95362529e-19]))","(array([1.61876405e-19]), array([-3.16446164e-20]))","(array([-3.97303133e-19]), array([4.10256879e-19]))","(array([5.80702135e-19]), array([-8.36101821e-19]))","(array([9.88834214e-19]), array([-2.42476818e-19]))","(array([-8.38122835e-19]), array([-2.00668415e-20]))","(array([-6.91314879e-20]), array([4.30215841e-19]))","(array([9.07605881e-19]), array([-4.89975707e-19]))","(array([4.59190627e-19]), array([-6.93458662e-19]))","(array([-1.09706019e-18]), array([8.02419098e-19]))","(array([2.34235149e-19]), array([3.74349064e-19]))","(array([1.31793687e-18]), array([-2.33027837e-18]))","(array([4.94570535e-19]), array([-7.97044881e-19]))","(array([7.27638782e-19]), array([9.74108138e-19]))","(array([-3.24652079e-19]), array([3.4910731e-19]))","(array([2.04870147e-19]), array([-3.85871315e-19]))","(array([-4.17609663e-20]), array([-7.72105816e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))","(array([0.08197171]), array([0.14197916]))","(array([0.08848418]), array([0.15325909]))"
(0.2591315322078048+0j),[9.20028693e-14],[1.],[0.84587611],[1.],"(array([0.09338193]), array([0.16174225]))","(array([1.38625797e-18]), array([-8.33764231e-19]))","(array([-7.92318525e-21]), array([1.71349099e-18]))","(array([-2.74104735e-18]), array([9.91580463e-19]))","(array([1.18969065e-18]), array([-2.6082661e-18]))","(array([4.34212675e-18]), array([-1.11739007e-18]))","(array([1.79988063e-18]), array([-5.50247267e-19]))","(array([-6.94419339e-19]), array([-2.63535966e-19]))","(array([2.30075574e-18]), array([-1.57891247e-19]))","(array([1.03812095e-19]), array([2.30269541e-19]))","(array([4.43067395e-19]), array([-8.05681172e-19]))","(array([-3.53506091e-19]), array([1.31254894e-19]))","(array([-2.14006214e-18]), array([6.84079378e-19]))","(array([3.5826168e-19]), array([3.21246559e-18]))","(array([-3.08133147e-18]), array([-1.0049355e-18]))","(array([2.28405013e-18]), array([-1.37985354e-18]))","(array([-2.13200148e-19]), array([-1.36640668e-19]))","(array([6.51306385e-19]), array([-4.31271652e-19]))","(array([9.17028548e-19]), array([-7.14038815e-19]))","(array([1.87127469e-18]), array([-6.13348103e-19]))","(array([-1.26834553e-18]), array([-5.41283794e-20]))","(array([-1.16786271e-18]), array([6.69612217e-19]))","(array([-1.81895521e-18]), array([1.78759062e-18]))","(array([-9.53377392e-19]), array([-6.52559237e-20]))","(array([3.29809027e-19]), array([-1.54571782e-19]))","(array([-1.54724228e-18]), array([2.74743108e-18]))","(array([7.13383801e-19]), array([-5.85639297e-19]))","(array([8.66730229e-20]), array([1.2780845e-19]))","(array([4.05371415e-19]), array([-4.3682202e-19]))","(array([2.18812398e-18]), array([-5.01167097e-19]))","(array([-1.3368027e-18]), array([3.89464513e-19]))","(array([-4.65522879e-19]), array([6.9148187e-19]))","(array([1.13689666e-18]), array([-9.32827785e-19]))","(array([1.96670944e-18]), array([-2.33506028e-18]))","(array([-2.15728739e-18]), array([5.35534006e-19]))","(array([-2.24309876e-19]), array([7.04226985e-19]))","(array([1.11605179e-18]), array([-2.17433672e-18]))","(array([2.09304805e-19]), array([-6.79497337e-19]))","(array([-5.47489262e-20]), array([1.19937784e-18]))","(array([4.36762647e-19]), array([8.2607829e-20]))","(array([1.01545543e-18]), array([-7.26165508e-19]))","(array([1.36023755e-19]), array([-3.29337096e-18]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))","(array([0.08197171]), array([0.14197916]))","(array([0.08848418]), array([0.15325909]))","(array([0.09338193]), array([0.16174225]))"
(0.29585115032458803+0j),[1.05041445e-13],[1.],[0.86953154],[1.],"(array([0.09676613]), array([0.16760386]))","(array([-1.82966916e-18]), array([3.84397131e-18]))","(array([-5.04462233e-18]), array([4.19205104e-18]))","(array([2.96487559e-19]), array([-5.49709889e-18]))","(array([6.85962497e-18]), array([-2.92907688e-18]))","(array([2.48165994e-18]), array([-2.67451785e-18]))","(array([-1.04459922e-18]), array([1.14785338e-21]))","(array([3.04004692e-18]), array([-5.92095182e-19]))","(array([1.09477354e-18]), array([-4.0743954e-19]))","(array([1.41572896e-18]), array([-1.38040681e-18]))","(array([-7.02441766e-18]), array([-1.99182849e-18]))","(array([-2.36590691e-18]), array([7.16596925e-19]))","(array([-3.82814814e-18]), array([-9.14652615e-19]))","(array([-6.00429141e-18]), array([-3.27594553e-19]))","(array([6.59454645e-18]), array([1.94048699e-18]))","(array([2.43708211e-18]), array([-1.76589278e-18]))","(array([1.01506428e-18]), array([-6.15816353e-19]))","(array([1.79377562e-18]), array([-2.09984899e-18]))","(array([4.33100249e-18]), array([-2.85069038e-18]))","(array([-1.27968422e-18]), array([1.40131881e-19]))","(array([-3.0942393e-18]), array([5.56314722e-18]))","(array([-3.8741182e-18]), array([3.07011027e-18]))","(array([3.67545954e-19]), array([-5.44608758e-19]))","(array([2.00268713e-18]), array([-2.25812417e-18]))","(array([-2.77687597e-18]), array([6.39980192e-18]))","(array([4.37584858e-19]), array([-3.86771341e-19]))","(array([1.19706386e-18]), array([-5.77921693e-19]))","(array([1.56793057e-18]), array([-1.16472612e-18]))","(array([1.53525235e-18]), array([-1.43540878e-19]))","(array([-3.46446331e-18]), array([1.4978388e-18]))","(array([-2.30645877e-18]), array([5.74252514e-20]))","(array([1.32888459e-18]), array([-3.02849285e-18]))","(array([1.40125409e-18]), array([-3.6084383e-18]))","(array([-5.8027377e-18]), array([-2.41999217e-18]))","(array([-2.43125436e-18]), array([-2.79053026e-18]))","(array([4.49488717e-19]), array([-2.00709489e-18]))","(array([-4.12142434e-18]), array([9.44932233e-19]))","(array([-6.629123e-19]), array([1.5646857e-18]))","(array([2.31727608e-18]), array([1.16896302e-18]))","(array([1.4631793e-18]), array([-9.65356393e-19]))","(array([-4.22452336e-20]), array([-2.85831072e-18]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))","(array([0.08197171]), array([0.14197916]))","(array([0.08848418]), array([0.1532591]))","(array([0.09338193]), array([0.16174225]))","(array([0.09676613]), array([0.16760386]))"
