Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.005429857831468763+0j),[-6.54608155e-18],[1.],[0.14696999],[1.],"(array([0.00830026]), array([0.01437648]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00830026]), array([0.01437648]))"
(0.020541168042684972+0j),[-1.82927208e-15],[1.],[0.28357913],[1.],"(array([0.02431217]), array([0.04210991]))","(array([1.31321347e-27]), array([-5.65027812e-28]))","(array([-2.66914239e-30]), array([-2.26864878e-30]))","(array([5.1285696e-30]), array([7.29934311e-30]))","(array([4.79674127e-27]), array([3.98012301e-27]))","(array([2.97722696e-25]), array([1.12460679e-24]))","(array([-8.94897868e-29]), array([-1.92708016e-28]))","(array([2.28876929e-26]), array([2.83506125e-26]))","(array([-1.86250336e-25]), array([9.6017314e-26]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))"
(0.04357243052718393+0j),[-9.87172386e-15],[1.],[0.40774529],[1.],"(array([0.03903235]), array([0.06760601]))","(array([-2.71477322e-22]), array([-8.29520936e-22]))","(array([-2.06355558e-24]), array([-6.5861913e-24]))","(array([-8.81391099e-21]), array([5.33466764e-21]))","(array([-1.11253637e-22]), array([-1.83323371e-22]))","(array([1.54809841e-21]), array([-7.51451842e-22]))","(array([3.81394227e-21]), array([-3.68774447e-21]))","(array([-9.13817066e-23]), array([-5.61854777e-23]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))"
(0.07280559062762078+0j),[-1.19456364e-14],[1.],[0.51800386],[1.],"(array([0.05226122]), array([0.09051909]))","(array([5.1020181e-22]), array([-2.6307481e-22]))","(array([-8.46389506e-21]), array([5.01968253e-21]))","(array([2.9856161e-22]), array([-1.14606702e-21]))","(array([2.32653083e-21]), array([-9.77141524e-22]))","(array([2.52058431e-21]), array([-4.70233118e-21]))","(array([3.44564406e-22]), array([-2.03544494e-22]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))"
(0.10660450802527689+0j),[-6.5923099e-15],[1.],[0.61345851],[1.],"(array([0.06386618]), array([0.11061947]))","(array([-1.22169257e-20]), array([-7.5336794e-20]))","(array([1.04599103e-20]), array([3.31289804e-21]))","(array([1.86528275e-20]), array([-9.93485017e-21]))","(array([-1.4138428e-20]), array([4.86064218e-21]))","(array([1.18336515e-20]), array([-6.52366543e-21]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))"
(0.1434458584931172+0j),[-3.16078769e-15],[1.],[0.69372405],[1.],"(array([0.07377552]), array([0.12778294]))","(array([7.20560608e-20]), array([-1.6145669e-19]))","(array([6.92750005e-20]), array([-3.72058816e-20]))","(array([2.3580613e-20]), array([2.68074067e-20]))","(array([7.30852038e-20]), array([-3.90661696e-20]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))"
(0.18194273785925763+0j),[-5.31990135e-15],[1.],[0.75886422],[1.],"(array([0.08197171]), array([0.14197916]))","(array([2.41100061e-19]), array([2.31495482e-19]))","(array([8.12078576e-20]), array([-7.23552371e-21]))","(array([3.24338139e-19]), array([-1.75086815e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778295]))","(array([0.08197171]), array([0.14197916]))"
(0.22086138642771966+0j),[-7.81135996e-15],[1.],[0.80932648],[1.],"(array([0.08848418]), array([0.1532591]))","(array([-4.27442621e-19]), array([-3.47444662e-19]))","(array([9.513791e-20]), array([1.98059614e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226123]), array([0.0905191]))","(array([0.06386618]), array([0.11061948]))","(array([0.07377552]), array([0.12778295]))","(array([0.08197171]), array([0.14197916]))","(array([0.08848418]), array([0.1532591]))"
(0.2591315721103041+0j),[-1.19567327e-14],[1.],[0.84587618],[1.],"(array([0.09338194]), array([0.16174227]))","(array([5.57513292e-19]), array([-4.17122064e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210992]))","(array([0.03903235]), array([0.06760602]))","(array([0.05226124]), array([0.09051912]))","(array([0.06386619]), array([0.11061949]))","(array([0.07377553]), array([0.12778297]))","(array([0.08197172]), array([0.14197918]))","(array([0.08848419]), array([0.15325911]))","(array([0.09338194]), array([0.16174227]))"
(0.295851259246683+0j),[-1.10664937e-14],[1.],[0.86953171],[1.],"(array([0.09676615]), array([0.16760389]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431218]), array([0.04210993]))","(array([0.03903237]), array([0.06760604]))","(array([0.05226125]), array([0.09051915]))","(array([0.06386621]), array([0.11061953]))","(array([0.07377555]), array([0.127783]))","(array([0.08197174]), array([0.14197922]))","(array([0.08848421]), array([0.15325915]))","(array([0.09338196]), array([0.1617423]))","(array([0.09676615]), array([0.16760389]))"
