Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.000392795482840522+0j),[-2.48254109e-16],[1.],[0.03963026],[1.],"(array([0.00223434]), array([0.00387]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00223434]), array([0.00387]))"
(0.02054383733004166+0j),[2.21407579e-15],[1.],[0.28365796],[1.],"(array([0.01831988]), array([0.03173097]))","(array([0.]), array([0.]))","(array([3.75867692e-34]), array([-3.36801763e-34]))","(array([-1.29464781e-25]), array([-8.32567729e-25]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-4.38428001e-32]), array([4.25643012e-32]))","(array([-2.19737323e-32]), array([7.20470149e-33]))","(array([-1.04714333e-23]), array([-5.90535235e-24]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))"
(0.06080063206170979+0j),[8.90133848e-15],[1.],[0.47727912],[1.],"(array([0.04306177]), array([0.07458518]))","(array([-1.26495933e-22]), array([-1.33825965e-22]))","(array([-3.97496559e-22]), array([3.97052231e-23]))","(array([6.29008069e-22]), array([-3.39120113e-22]))","(array([1.3063956e-21]), array([-6.0651529e-22]))","(array([-2.96874276e-21]), array([3.93599189e-22]))","(array([-5.99536166e-22]), array([3.88857332e-22]))","(array([-1.18322005e-22]), array([-1.55789452e-22]))","(array([2.19810569e-21]), array([-2.11843329e-21]))","(array([2.01532286e-21]), array([-9.06420891e-22]))","(array([-2.47197164e-22]), array([-6.72159981e-22]))","(array([-6.2863115e-22]), array([3.40551233e-22]))","(array([-5.18580119e-24]), array([-7.83703424e-24]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306177]), array([0.07458518]))"
(0.0732200283888507+0j),[2.41237366e-15],[1.],[0.51878403],[1.],"(array([0.05616343]), array([0.09727791]))","(array([-1.59051534e-21]), array([-2.68258433e-22]))","(array([2.27696133e-22]), array([-5.41315522e-22]))","(array([-6.74019072e-22]), array([-1.40562903e-21]))","(array([-1.85335673e-21]), array([4.01076207e-22]))","(array([-6.51472239e-22]), array([4.79897631e-22]))","(array([7.50682852e-23]), array([-2.2881981e-22]))","(array([2.55164e-21]), array([-2.1102508e-21]))","(array([3.13274907e-21]), array([-1.42848821e-21]))","(array([7.45916396e-22]), array([-1.12766596e-21]))","(array([-1.56830098e-21]), array([6.36608982e-22]))","(array([7.35697942e-22]), array([-3.54999229e-22]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306177]), array([0.07458518]))","(array([0.05616343]), array([0.09727791]))"
(0.1066161330323496+0j),[-1.76460176e-16],[1.],[0.61302893],[1.],"(array([0.06388402]), array([0.11065037]))","(array([1.10074428e-21]), array([3.96229246e-21]))","(array([-7.2136618e-21]), array([-2.71221398e-21]))","(array([1.51097477e-20]), array([6.73565144e-21]))","(array([2.00516123e-20]), array([5.71798552e-21]))","(array([1.02416983e-20]), array([2.18536438e-21]))","(array([-8.68384076e-21]), array([-1.3481137e-20]))","(array([1.14881691e-20]), array([-2.385828e-21]))","(array([-1.15020679e-20]), array([-6.58140939e-21]))","(array([-1.3743316e-20]), array([-1.43848432e-21]))","(array([-2.03904673e-22]), array([-5.29963596e-22]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306177]), array([0.07458518]))","(array([0.05616343]), array([0.09727791]))","(array([0.06388402]), array([0.11065037]))"
(0.1383039015041487+0j),[7.23911211e-15],[1.],[0.68279743],[1.],"(array([0.07311377]), array([0.12663677]))","(array([-1.04595915e-19]), array([-3.22072804e-19]))","(array([-2.12370667e-19]), array([-6.00562887e-19]))","(array([2.36082372e-19]), array([4.24873942e-19]))","(array([2.18804508e-19]), array([-9.38126302e-20]))","(array([-1.11441022e-19]), array([9.55957201e-21]))","(array([8.78784708e-20]), array([-4.10642935e-20]))","(array([-8.05366705e-20]), array([1.31168105e-20]))","(array([-4.05241593e-21]), array([-1.86431801e-20]))","(array([7.76070091e-20]), array([-2.5773388e-20]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306177]), array([0.07458518]))","(array([0.05616343]), array([0.09727791]))","(array([0.06388402]), array([0.11065037]))","(array([0.07311377]), array([0.12663677]))"
(0.1936506299860588+0j),[9.95901109e-15],[1.],[0.77748156],[1.],"(array([0.08249303]), array([0.14288212]))","(array([2.94058157e-19]), array([-3.56918457e-19]))","(array([1.23934276e-18]), array([4.3824242e-19]))","(array([2.44852667e-19]), array([2.17656583e-19]))","(array([-2.62172823e-19]), array([2.65732778e-19]))","(array([2.25877272e-19]), array([-9.5191637e-20]))","(array([-2.55289331e-19]), array([7.01364161e-20]))","(array([3.25354641e-20]), array([-6.53491212e-20]))","(array([1.90308715e-19]), array([-8.28999477e-20]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306178]), array([0.07458518]))","(array([0.05616343]), array([0.09727791]))","(array([0.06388402]), array([0.11065037]))","(array([0.07311377]), array([0.12663677]))","(array([0.08249303]), array([0.14288212]))"
(0.26851738079277726+0j),[1.2267234e-14],[1.],[0.86418519],[1.],"(array([0.09282764]), array([0.16078218]))","(array([1.322249e-18]), array([1.60004025e-18]))","(array([1.15166634e-18]), array([9.61946095e-19]))","(array([-2.05437061e-19]), array([1.50387812e-19]))","(array([4.40092587e-19]), array([-2.17049029e-19]))","(array([-5.37178597e-19]), array([2.26522765e-19]))","(array([3.18236432e-19]), array([-3.96812917e-19]))","(array([8.57110741e-19]), array([-3.39789964e-19]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306178]), array([0.07458519]))","(array([0.05616343]), array([0.09727792]))","(array([0.06388402]), array([0.11065038]))","(array([0.07311378]), array([0.12663677]))","(array([0.08249303]), array([0.14288213]))","(array([0.09282764]), array([0.16078218]))"
(0.25401127379138927+0j),[1.34402538e-14],[1.],[0.83456134],[1.],"(array([0.09574756]), array([0.16583964]))","(array([2.84218755e-18]), array([1.5004783e-19]))","(array([1.92921422e-19]), array([2.4616267e-19]))","(array([6.087958e-19]), array([-6.30142731e-19]))","(array([-1.04109579e-18]), array([-1.63836947e-20]))","(array([7.84817205e-19]), array([-1.07092173e-18]))","(array([1.73324018e-18]), array([-7.57065975e-19]))","(array([0.00223434]), array([0.00387]))","(array([0.01831988]), array([0.03173097]))","(array([0.04306178]), array([0.0745852]))","(array([0.05616344]), array([0.09727794]))","(array([0.06388403]), array([0.11065039]))","(array([0.07311378]), array([0.12663679]))","(array([0.08249304]), array([0.14288214]))","(array([0.09282764]), array([0.16078219]))","(array([0.09574755]), array([0.16583962]))"
(0.2327713088528278+0j),[5.1486786e-15],[1.],[0.7974749],[1.],"(array([0.09199622]), array([0.15934212]))","(array([9.45677858e-19]), array([2.17528544e-19]))","(array([6.3374247e-19]), array([-1.00331003e-18]))","(array([-1.85270129e-18]), array([-1.19939439e-19]))","(array([2.36509277e-18]), array([-2.38009304e-18]))","(array([4.38886031e-18]), array([-2.20789263e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.01831989]), array([0.03173098]))","(array([0.04306179]), array([0.07458521]))","(array([0.05616346]), array([0.09727796]))","(array([0.06388405]), array([0.11065042]))","(array([0.0731138]), array([0.12663682]))","(array([0.08249306]), array([0.14288217]))","(array([0.09282766]), array([0.16078223]))","(array([0.09574756]), array([0.16583965]))","(array([0.09199621]), array([0.15934212]))"
