Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.000392795482840522+0j),[-2.48254109e-16],[1.],[0.03963026],[1.],"(array([0.00223434]), array([0.00387]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00223434]), array([0.00387]))"
(0.0014936410198116024+0j),[6.88973758e-16],[1.],[0.07723552],[1.],"(array([0.00658879]), array([0.01141212]))","(array([1.23070831e-30]), array([-1.95566148e-30]))","(array([-6.56074923e-33]), array([4.5024973e-33]))","(array([-2.66945203e-39]), array([-4.82764935e-39]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-5.64992428e-33]), array([4.75086324e-33]))","(array([-2.69590883e-33]), array([2.99982271e-33]))","(array([-1.32461178e-23]), array([-1.3026635e-23]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))"
(0.0031953867769365283+0j),[2.03739228e-14],[1.],[0.11286437],[1.],"(array([0.01071757]), array([0.01856337]))","(array([1.37428413e-24]), array([6.86647102e-24]))","(array([-3.9020732e-24]), array([2.26890015e-24]))","(array([-3.9246343e-24]), array([2.22966555e-24]))","(array([3.80383891e-24]), array([-2.44532118e-24]))","(array([-7.72602354e-24]), array([4.66983743e-24]))","(array([2.78171071e-24]), array([1.40000987e-23]))","(array([-8.3043561e-25]), array([-1.93043744e-23]))","(array([-1.10527303e-24]), array([-1.96838572e-24]))","(array([-7.85272219e-24]), array([4.45326271e-24]))","(array([-5.03415971e-24]), array([3.53624375e-25]))","(array([3.93975513e-23]), array([-2.20337287e-23]))","(array([2.12305795e-25]), array([-1.10319534e-25]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))"
(0.005402242110493089+0j),[3.61379215e-14],[1.],[0.14657103],[1.],"(array([0.01462648]), array([0.0253338]))","(array([-4.54274851e-24]), array([2.6846799e-24]))","(array([-2.97008287e-23]), array([1.68929743e-23]))","(array([4.10475403e-24]), array([-2.57910805e-24]))","(array([-5.1990419e-25]), array([-8.51300415e-25]))","(array([7.14246031e-24]), array([1.12466251e-23]))","(array([8.06561414e-23]), array([-6.52200023e-23]))","(array([-5.12845413e-23]), array([4.81342133e-23]))","(array([4.68075474e-23]), array([-1.8721677e-22]))","(array([-9.01948034e-23]), array([4.85522654e-23]))","(array([1.51169673e-23]), array([-8.61732589e-24]))","(array([8.83712108e-23]), array([-5.11735003e-23]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))"
(0.037486344915567855+0j),[1.49392154e-14],[1.],[0.37969935],[1.],"(array([0.029817]), array([0.05164457]))","(array([-3.77595248e-23]), array([1.83771762e-23]))","(array([7.11935763e-24]), array([-4.28594761e-24]))","(array([-1.80560137e-23]), array([7.80434902e-24]))","(array([4.29213733e-24]), array([1.25346731e-23]))","(array([6.84759193e-23]), array([-5.41179209e-23]))","(array([-3.2028871e-23]), array([3.84379432e-23]))","(array([4.73911352e-23]), array([-1.75030456e-22]))","(array([-7.69318219e-23]), array([3.81101165e-23]))","(array([2.24866607e-23]), array([-1.46246168e-23]))","(array([9.11001442e-23]), array([-4.39739755e-23]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))","(array([0.029817]), array([0.05164457]))"
(0.09290140805671566+0j),[1.34244593e-14],[1.],[0.57911403],[1.],"(array([0.05430172]), array([0.09405333]))","(array([-1.21238039e-21]), array([2.28060136e-23]))","(array([-9.14647405e-23]), array([1.38980867e-22]))","(array([4.0606058e-23]), array([2.33149358e-24]))","(array([-2.6235372e-22]), array([1.06953656e-22]))","(array([5.2380882e-22]), array([-1.42578186e-22]))","(array([5.25238464e-22]), array([2.59678282e-22]))","(array([-2.62541654e-22]), array([2.14837794e-23]))","(array([2.90884971e-22]), array([-1.31000819e-22]))","(array([-2.23523959e-22]), array([1.49446369e-23]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))","(array([0.029817]), array([0.05164457]))","(array([0.05430172]), array([0.09405333]))"
(0.16472770415902274+0j),[1.29858651e-14],[1.],[0.73653587],[1.],"(array([0.0744807]), array([0.12900436]))","(array([-5.42083748e-21]), array([-2.17805921e-21]))","(array([6.31818638e-21]), array([-4.39064349e-21]))","(array([2.90171919e-21]), array([-2.99791734e-21]))","(array([-4.54198929e-22]), array([1.56805483e-21]))","(array([1.4972367e-21]), array([-6.32248484e-23]))","(array([-2.66995046e-21]), array([1.18304048e-21]))","(array([1.53471396e-20]), array([-8.19252722e-21]))","(array([-5.08689111e-21]), array([2.23090013e-22]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))","(array([0.029817]), array([0.05164457]))","(array([0.05430172]), array([0.09405333]))","(array([0.0744807]), array([0.12900436]))"
(0.24594968762744124+0j),[1.12099481e-14],[1.],[0.84760142],[1.],"(array([0.0896425]), array([0.15526537]))","(array([-7.33477072e-20]), array([5.35597619e-20]))","(array([2.60901734e-19]), array([-1.62289426e-19]))","(array([4.59812464e-20]), array([-3.39581503e-20]))","(array([1.03386747e-20]), array([-7.4890427e-21]))","(array([-9.24269074e-20]), array([6.99357106e-20]))","(array([8.07595452e-20]), array([-3.66965757e-20]))","(array([-6.46631929e-20]), array([3.04506892e-20]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))","(array([0.029817]), array([0.05164457]))","(array([0.05430172]), array([0.09405333]))","(array([0.0744807]), array([0.12900436]))","(array([0.0896425]), array([0.15526537]))"
(0.31875480639989+0j),[1.27336423e-14],[1.],[0.90362439],[1.],"(array([0.09897466]), array([0.17142913]))","(array([1.00031782e-18]), array([-7.59572274e-19]))","(array([4.75140149e-19]), array([-1.20633753e-19]))","(array([3.06759063e-19]), array([-1.58059888e-19]))","(array([-2.97182531e-19]), array([1.9456601e-19]))","(array([2.7488448e-19]), array([-1.67816887e-19]))","(array([-4.13391202e-19]), array([2.19974514e-19]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141212]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))","(array([0.029817]), array([0.05164457]))","(array([0.05430172]), array([0.09405333]))","(array([0.0744807]), array([0.12900436]))","(array([0.0896425]), array([0.15526537]))","(array([0.09897466]), array([0.17142913]))"
(0.3886858249038838+0j),[8.10400629e-15],[1.],[0.92456578],[1.],"(array([0.10328538]), array([0.17889553]))","(array([1.53130805e-18]), array([-5.46026933e-19]))","(array([2.82292689e-18]), array([-1.71359927e-18]))","(array([-3.31262233e-19]), array([2.44400185e-19]))","(array([6.21706779e-19]), array([-3.80617218e-19]))","(array([-1.51019267e-18]), array([8.72271209e-19]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141213]))","(array([0.01071757]), array([0.01856337]))","(array([0.01462648]), array([0.0253338]))","(array([0.02981701]), array([0.05164457]))","(array([0.05430172]), array([0.09405334]))","(array([0.07448071]), array([0.12900437]))","(array([0.0896425]), array([0.15526537]))","(array([0.09897466]), array([0.17142914]))","(array([0.10328538]), array([0.17889553]))"
