Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0002472717422194626+0j),[-3.16156844e-16],[1.],[0.03144582],[1.],"(array([0.00354564]), array([-6.6840321e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00177282]), array([-0.00307061]))"
(0.0009404135303747295+0j),[3.04407315e-15],[1.],[0.06130246],[1.],"(array([0.01045766]), array([7.00691779e-16]))","(array([-1.18275817e-32]), array([-7.3594867e-32]))","(array([-8.24147733e-30]), array([1.11477237e-31]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-1.65379739e-34]), array([2.71552987e-34]))","(array([-9.61463404e-26]), array([-2.5020747e-42]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))"
(0.002012344241404444+0j),[1.25732444e-15],[1.],[0.08962283],[1.],"(array([0.01701721]), array([3.39478305e-16]))","(array([1.78763301e-23]), array([-7.12325082e-25]))","(array([-7.27176936e-24]), array([3.33704482e-24]))","(array([1.06777082e-23]), array([1.13613846e-24]))","(array([1.04243648e-23]), array([-3.12400922e-24]))","(array([-1.7862319e-24]), array([1.00576555e-25]))","(array([9.94756131e-31]), array([-1.23430708e-30]))","(array([-5.92774228e-27]), array([-8.18030903e-26]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))"
(0.004128640472402256+0j),[6.01715575e-16],[1.],[0.12822637],[1.],"(array([0.02456457]), array([1.61439444e-16]))","(array([3.04106581e-23]), array([-3.79832458e-23]))","(array([2.06751957e-23]), array([-6.72502429e-24]))","(array([5.75647959e-23]), array([9.24545367e-23]))","(array([1.43166186e-24]), array([-4.05666609e-23]))","(array([-9.14546607e-24]), array([-5.34487394e-23]))","(array([1.00102552e-25]), array([-1.13664676e-24]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))"
(0.006832577688298024+0j),[-1.50605833e-15],[1.],[0.16470623],[1.],"(array([0.03303059]), array([-4.37590158e-16]))","(array([2.01204319e-23]), array([-7.34399112e-24]))","(array([5.53473694e-23]), array([8.16373075e-23]))","(array([-5.92107378e-25]), array([-5.29689237e-23]))","(array([-9.38733793e-24]), array([-6.57881068e-23]))","(array([-4.21610752e-25]), array([-2.97529062e-24]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))"
(0.010023099503258496+0j),[-5.1863512e-15],[1.],[0.19912129],[1.],"(array([0.04102416]), array([-1.123692e-15]))","(array([6.56998468e-23]), array([1.3267151e-22]))","(array([3.26831213e-25]), array([-6.91360072e-22]))","(array([1.92697784e-22]), array([2.60741506e-22]))","(array([-2.64065434e-22]), array([-7.79467715e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))"
(0.009553278939483123+0j),[-8.05897815e-15],[1.],[0.19435472],[1.],"(array([0.04436207]), array([-1.88518356e-15]))","(array([-3.30119178e-23]), array([-6.73728986e-22]))","(array([-4.89516709e-21]), array([1.19694417e-21]))","(array([-6.59380957e-22]), array([-7.40391871e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))"
(0.009117102940839329+0j),[-7.84679865e-15],[1.],[0.18982923],[1.],"(array([0.04331445]), array([-1.64832117e-15]))","(array([-4.7871786e-21]), array([1.03846866e-21]))","(array([-4.67455451e-22]), array([-4.06758019e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))","(array([0.02165722]), array([-0.03751141]))"
(0.008711913964559143+0j),[-1.63798157e-14],[1.],[0.18553251],[1.],"(array([0.0423198]), array([-3.81929895e-15]))","(array([-3.35168393e-22]), array([2.69327894e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))","(array([0.02165722]), array([-0.03751141]))","(array([0.0211599]), array([-0.03665002]))"
(0.008601452032914162+0j),[-2.29754004e-14],[1.],[0.18431198],[1.],"(array([0.04169776]), array([-5.25336408e-15]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))","(array([0.02165722]), array([-0.03751141]))","(array([0.0211599]), array([-0.03665002]))","(array([0.02084888]), array([-0.03611132]))"
(0.008461380150117432+0j),[0.00066448],[1.],[0.18277035],[1.],"(array([0.04315917]), array([-0.00299571]))","(array([0.00522883]), array([-0.0090566]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))","(array([0.02165722]), array([-0.03751141]))","(array([0.0211599]), array([-0.03665002]))","(array([0.02084888]), array([-0.03611132]))","(array([0.02075804]), array([-0.03580418]))"
(0.00826172410874337+0j),[0.00259481],[1.],[0.18055788],[1.],"(array([0.04619192]), array([-0.00868916]))","(array([0.0085086]), array([-0.01473733]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))","(array([0.02165722]), array([-0.03751141]))","(array([0.0211599]), array([-0.03665002]))","(array([0.02084888]), array([-0.03611132]))","(array([0.02075804]), array([-0.03580418]))","(array([0.02079976]), array([-0.03529136]))"
(0.007528886616564746+0j),[0.0056682],[1.],[0.17228626],[1.],"(array([0.04828979]), array([-0.01380581]))","(array([0.01228228]), array([-0.02127354]))","(array([0.01651529]), array([-0.02860533]))","(array([0.02051208]), array([-0.03552797]))","(array([0.02218103]), array([-0.03841868]))","(array([0.02165722]), array([-0.03751141]))","(array([0.0211599]), array([-0.03665002]))","(array([0.02084888]), array([-0.03611132]))","(array([0.02075804]), array([-0.03580418]))","(array([0.02079976]), array([-0.03529136]))","(array([0.02069732]), array([-0.03398576]))"
