Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0002472717422194625+0j),[0.00055911],[1.],[0.03144085],[1.],"(array([0.00354564]), array([-6.6840321e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00177282]), array([-0.00307061]))"
(0.000940339249787248+0j),[-0.00061383],[1.],[0.06129697],[1.],"(array([0.01045657]), array([0.00012295]))","(array([-5.89904629e-37]), array([-1.96643113e-37]))","(array([-1.0218242e-48]), array([-7.88134632e-51]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-1.69380479e-34]), array([1.23891127e-35]))","(array([8.70338463e-39]), array([9.30129428e-40]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))"
(0.0020121951096396455+0j),[0.00752452],[1.],[0.08930307],[1.],"(array([0.017016]), array([-0.00013498]))","(array([1.82322024e-24]), array([-3.56021385e-24]))","(array([-3.57588443e-24]), array([-1.09769397e-25]))","(array([-1.92067583e-24]), array([-3.50853585e-24]))","(array([-8.87407511e-25]), array([-1.79226073e-24]))","(array([1.13017228e-25]), array([1.43103619e-23]))","(array([-2.0966983e-26]), array([3.57774891e-24]))","(array([1.54685175e-27]), array([6.83152619e-27]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))"
(0.00412192727713449+0j),[0.00904837],[1.],[0.12780261],[1.],"(array([0.02449428]), array([0.00165463]))","(array([-3.27923204e-24]), array([1.95517346e-25]))","(array([2.82076675e-24]), array([3.0093737e-23]))","(array([4.75749958e-23]), array([-2.77056509e-23]))","(array([-5.35303399e-23]), array([4.14677491e-23]))","(array([6.13847156e-24]), array([6.77374649e-23]))","(array([-1.11088395e-26]), array([1.7560714e-25]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))"
(0.006817801379359879+0j),[-0.00385988],[1.],[0.16448405],[1.],"(array([0.0329375]), array([0.00198973]))","(array([-4.5163994e-23]), array([1.94896246e-23]))","(array([4.3635604e-23]), array([-3.47994836e-25]))","(array([-5.4103674e-23]), array([2.18321652e-24]))","(array([8.71349952e-24]), array([-3.11695955e-23]))","(array([-1.73742538e-25]), array([6.01631053e-25]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))"
(0.01000519435656379+0j),[0.00650364],[1.],[0.19883903],[1.],"(array([0.04097546]), array([-0.00084878]))","(array([5.04909136e-23]), array([-3.42926082e-23]))","(array([-4.45458838e-23]), array([-2.2420703e-22]))","(array([2.92080213e-23]), array([-2.29770887e-22]))","(array([9.30388029e-23]), array([-2.29268759e-21]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))"
(0.009536407001949831+0j),[0.04166601],[1.],[0.18966227],[1.],"(array([0.04430002]), array([0.00143014]))","(array([-4.52539991e-23]), array([-2.00703062e-22]))","(array([9.30428184e-22]), array([-3.62679106e-22]))","(array([7.19230498e-23]), array([-2.22906608e-21]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))"
(0.009090248037864622+0j),[0.06399913],[1.],[0.17842138],[1.],"(array([0.04228261]), array([0.0091623]))","(array([8.77887131e-22]), array([-3.49639755e-22]))","(array([-1.4887158e-20]), array([8.24872764e-21]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))"
(0.008659419580671138+0j),[0.04316768],[1.],[0.17986989],[1.],"(array([0.03981128]), array([0.01407332]))","(array([-1.41401818e-20]), array([7.26024935e-21]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))","(array([0.03209349]), array([-0.02744092]))"
(0.008532187098761556+0j),[0.00852157],[1.],[0.18337657],[1.],"(array([0.04045267]), array([0.00949251]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))","(array([0.03209349]), array([-0.02744092]))","(array([0.02844709]), array([-0.03028678]))"
(0.008398113697684787+0j),[-0.00728159],[1.],[0.18194765],[1.],"(array([0.04295358]), array([-0.00112182]))","(array([0.00533476]), array([-0.00899418]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))","(array([0.03209349]), array([-0.02744092]))","(array([0.02844709]), array([-0.03028678]))","(array([0.02227809]), array([-0.03468919]))"
(0.008192230174437858+0j),[-0.00392015],[1.],[0.17977958],[1.],"(array([0.04611442]), array([-0.0103756]))","(array([0.0083911]), array([-0.01480378]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))","(array([0.03209349]), array([-0.02744092]))","(array([0.02844709]), array([-0.03028678]))","(array([0.02227809]), array([-0.03468919]))","(array([0.01919349]), array([-0.03600693]))"
(0.007457949110993533+0j),[-0.05588526],[1.],[0.16221538],[1.],"(array([0.04800394]), array([-0.01530328]))","(array([0.01368009]), array([-0.02038535]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))","(array([0.03209349]), array([-0.02744092]))","(array([0.02844709]), array([-0.03028678]))","(array([0.02227809]), array([-0.03468919]))","(array([0.01919349]), array([-0.03600693]))","(array([0.01937384]), array([-0.03455547]))"
(0.006586807750267592+0j),[-0.05340451],[1.],[0.15214424],[1.],"(array([0.04930043]), array([-0.03217372]))","(array([0.0181919]), array([-0.02752984]))","(array([0.01975266]), array([-0.03591018]))","(array([0.02338855]), array([-0.03764987]))","(array([0.02907609]), array([-0.03203667]))","(array([0.03209349]), array([-0.02744092]))","(array([0.02844709]), array([-0.03028678]))","(array([0.02227809]), array([-0.03468919]))","(array([0.01919349]), array([-0.03600693]))","(array([0.01937384]), array([-0.03455547]))","(array([0.00760114]), array([-0.0367423]))"
