Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0002472717422194627+0j),[-0.00226006],[1.],[0.0313645],[1.],"(array([0.00354564]), array([-6.6840321e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00177282]), array([-0.00307061]))"
(0.0009391983105890335+0j),[0.01251104],[1.],[0.05997178],[1.],"(array([0.01043978]), array([-0.00049699]))","(array([1.63343673e-31]), array([-1.39790034e-31]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([6.71923706e-34]), array([4.33122402e-34]))","(array([-8.47363291e-38]), array([-6.56053512e-39]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))"
(0.001991362443107703+0j),[0.03579498],[1.],[0.08165411],[1.],"(array([0.01672465]), array([0.00275116]))","(array([-4.73439646e-24]), array([-6.42481105e-24]))","(array([4.25100589e-25]), array([-1.07062126e-23]))","(array([3.52804892e-24]), array([1.02659154e-23]))","(array([-3.51289307e-24]), array([-6.69603651e-25]))","(array([-8.04988407e-26]), array([1.78311934e-24]))","(array([4.79985539e-24]), array([-7.52199224e-24]))","(array([1.43480481e-26]), array([-7.30049842e-26]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))"
(0.003945758672243689+0j),[0.04160244],[1.],[0.11826196],[1.],"(array([0.02281302]), array([0.00787128]))","(array([2.46665618e-24]), array([-1.20219459e-23]))","(array([2.81149368e-24]), array([4.08231064e-23]))","(array([5.37021081e-23]), array([2.57559572e-23]))","(array([-4.99712819e-24]), array([1.52381771e-26]))","(array([5.24771659e-23]), array([-3.47229866e-23]))","(array([2.49399275e-25]), array([-3.63932312e-25]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))"
(0.006462540780540187+0j),[0.05224937],[1.],[0.15145659],[1.],"(array([0.03084186]), array([0.00914833]))","(array([2.09709985e-23]), array([1.3751202e-22]))","(array([3.92513855e-23]), array([-1.51917944e-22]))","(array([-1.16750468e-22]), array([2.44192419e-22]))","(array([3.97950064e-23]), array([-5.9869179e-23]))","(array([1.58593594e-24]), array([-6.71284545e-24]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))","(array([0.02334362]), array([-0.02213567]))"
(0.009416586730837536+0j),[0.03118318],[1.],[0.19053199],[1.],"(array([0.03811503]), array([0.01148958]))","(array([5.59411801e-22]), array([-8.278378e-23]))","(array([-1.02611e-22]), array([1.835756e-22]))","(array([-3.43219221e-22]), array([3.15703507e-22]))","(array([2.52601735e-22]), array([5.74450309e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))","(array([0.02334362]), array([-0.02213567]))","(array([0.02900779]), array([-0.02726379]))"
(0.008984170012933638+0j),[-0.00470902],[1.],[0.18848253],[1.],"(array([0.042474]), array([0.00685714]))","(array([-1.15340244e-22]), array([-3.14279567e-24]))","(array([-8.74297868e-23]), array([8.35176796e-22]))","(array([2.30700608e-22]), array([9.64627365e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))","(array([0.02334362]), array([-0.02213567]))","(array([0.02900779]), array([-0.02726379]))","(array([0.02717545]), array([-0.03335499]))"
(0.00858850545530089+0j),[-0.03740314],[1.],[0.18047311],[1.],"(array([0.04202382]), array([-0.00103551]))","(array([-4.21630029e-22]), array([8.66360195e-22]))","(array([-5.44174909e-23]), array([1.03501771e-21]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))","(array([0.02334362]), array([-0.02213567]))","(array([0.02900779]), array([-0.02726379]))","(array([0.02717545]), array([-0.03335499]))","(array([0.02011513]), array([-0.03691145]))"
(0.008211285991953261+0j),[-0.06988189],[1.],[0.16608405],[1.],"(array([0.04026302]), array([-0.0082249]))","(array([-1.51448259e-21]), array([4.69052176e-22]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))","(array([0.02334362]), array([-0.02213567]))","(array([0.02900779]), array([-0.02726379]))","(array([0.02717545]), array([-0.03335499]))","(array([0.02011513]), array([-0.03691145]))","(array([0.01300854]), array([-0.03898125]))"
(0.008074215031156044+0j),[-0.03463114],[1.],[0.17525276],[1.],"(array([0.03742202]), array([-0.01536693]))","(array([0.00177282]), array([-0.00307061]))","(array([0.00478949]), array([-0.00928961]))","(array([0.0107449]), array([-0.01310839]))","(array([0.01822324]), array([-0.01582101]))","(array([0.02334362]), array([-0.02213567]))","(array([0.02900779]), array([-0.02726379]))","(array([0.02717545]), array([-0.03335499]))","(array([0.02011513]), array([-0.03691145]))","(array([0.01300854]), array([-0.03898125]))","(array([0.00540286]), array([-0.04009188]))"
