Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00024727174221946327+0j),[1.27768185e-16],[1.],[0.03144582],[1.],"(array([0.00354564]), array([-1.0399997e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00026089]), array([-0.00353603]))"
(0.0009404135303747293+0j),[3.01171522e-15],[1.],[0.06130246],[1.],"(array([0.01045766]), array([7.28343302e-16]))","(array([4.3318353e-33]), array([3.67661949e-32]))","(array([-5.57713376e-30]), array([1.9008231e-31]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([2.8408061e-35]), array([-1.22253934e-34]))","(array([1.67947863e-31]), array([2.28694962e-33]))","(array([-1.14898971e-34]), array([-3.51673537e-34]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))"
(0.002012344241404444+0j),[5.08661393e-15],[1.],[0.08962283],[1.],"(array([0.01701721]), array([1.21030403e-15]))","(array([1.07926261e-23]), array([-1.39420308e-24]))","(array([-3.57910379e-24]), array([7.3975595e-26]))","(array([-4.44021526e-26]), array([-2.21393375e-25]))","(array([7.71700945e-28]), array([-4.19512464e-26]))","(array([-1.34761137e-25]), array([3.57601731e-24]))","(array([-1.09485785e-23]), array([-1.05157396e-23]))","(array([9.928843e-27]), array([2.64503242e-26]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))"
(0.004128640472402256+0j),[9.20974596e-15],[1.],[0.12822637],[1.],"(array([0.02456457]), array([2.26361277e-15]))","(array([-3.44691021e-24]), array([-1.61794627e-26]))","(array([-9.20781432e-26]), array([-4.31727934e-25]))","(array([-1.15753067e-24]), array([2.7036454e-23]))","(array([-1.89236824e-25]), array([-5.42942893e-23]))","(array([-2.31840084e-23]), array([1.40249038e-23]))","(array([-4.48703998e-25]), array([-9.11406729e-27]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))"
(0.006832577688298025+0j),[3.43626149e-15],[1.],[0.16470623],[1.],"(array([0.03303059]), array([5.90921866e-16]))","(array([4.20968333e-23]), array([2.09271224e-25]))","(array([9.7789412e-23]), array([-6.27054772e-23]))","(array([-2.76592117e-24]), array([-1.29625269e-22]))","(array([-3.86091976e-23]), array([-2.55486293e-22]))","(array([-4.090386e-25]), array([-1.74303219e-24]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))","(array([0.00243041]), array([-0.03294105]))"
(0.010023099503258588+0j),[7.1390005e-15],[1.],[0.19912129],[1.],"(array([0.04102416]), array([1.70856578e-15]))","(array([2.06362147e-22]), array([-2.24469836e-22]))","(array([-4.74835387e-22]), array([-1.52411818e-23]))","(array([-3.15275158e-22]), array([3.20255564e-21]))","(array([1.56639618e-21]), array([9.65119231e-22]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))","(array([0.00243041]), array([-0.03294105]))","(array([0.00301859]), array([-0.04091296]))"
(0.009553278939483208+0j),[4.00663851e-15],[1.],[0.19435472],[1.],"(array([0.04436207]), array([8.01011761e-16]))","(array([-3.09542212e-22]), array([-1.72327688e-22]))","(array([9.46710487e-23]), array([2.66482169e-21]))","(array([1.49640044e-21]), array([8.72682959e-22]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))","(array([0.00243041]), array([-0.03294105]))","(array([0.00301859]), array([-0.04091296]))","(array([0.00326419]), array([-0.04424181]))"
(0.009117102940839327+0j),[6.93764311e-15],[1.],[0.18982923],[1.],"(array([0.04331445]), array([1.53262973e-15]))","(array([8.55857924e-23]), array([2.5718146e-21]))","(array([-4.58153839e-21]), array([7.65929744e-22]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))","(array([0.00243041]), array([-0.03294105]))","(array([0.00301859]), array([-0.04091296]))","(array([0.00326419]), array([-0.04424181]))","(array([0.00318711]), array([-0.04319704]))"
(0.008711913964559139+0j),[1.22245231e-14],[1.],[0.18553251],[1.],"(array([0.0423198]), array([2.77955927e-15]))","(array([-4.46340236e-21]), array([4.48832409e-22]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))","(array([0.00243041]), array([-0.03294105]))","(array([0.00301859]), array([-0.04091296]))","(array([0.00326419]), array([-0.04424181]))","(array([0.00318711]), array([-0.04319704]))","(array([0.00311392]), array([-0.04220509]))"
(0.008601452032914198+0j),[1.8033577e-14],[1.],[0.18431198],[1.],"(array([0.04169776]), array([4.08458096e-15]))","(array([0.00026089]), array([-0.00353603]))","(array([0.00076948]), array([-0.01042932]))","(array([0.00125214]), array([-0.01697108]))","(array([0.00180748]), array([-0.02449798]))","(array([0.00243041]), array([-0.03294105]))","(array([0.00301859]), array([-0.04091296]))","(array([0.00326419]), array([-0.04424181]))","(array([0.00318711]), array([-0.04319704]))","(array([0.00311392]), array([-0.04220509]))","(array([0.00306815]), array([-0.04158473]))"
