Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.4516527901467925+0j),[-0.95041944],[1.],[0.00154638],[1.],"(array([8.74732371e-05]), array([-0.2198988]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([8.74221057e-05]), array([-0.21989879]))"
(0.4080275034638435+0j),[-0.90329712],[1.],[0.00590645],[1.],"(array([0.00076185]), array([-0.20899609]))","(array([2.5627797e-25]), array([3.94378054e-23]))","(array([-1.54035107e-25]), array([-5.18223262e-28]))","(array([-3.18024504e-19]), array([-6.96204443e-20]))","(array([1.86066852e-18]), array([-5.53141268e-19]))","(array([-8.09028587e-20]), array([3.03714289e-21]))","(array([-3.13871928e-22]), array([-3.49963796e-23]))","(array([1.1831681e-22]), array([1.00845944e-24]))","(array([-1.13658388e-23]), array([6.09333988e-26]))","(array([8.74221057e-05]), array([-0.21989879]))","(array([0.0007618]), array([-0.20899609]))"
(0.3687072666927148+0j),[-0.85851114],[1.],[0.01265697],[1.],"(array([0.00202219]), array([-0.19863395]))","(array([2.91754819e-18]), array([9.14009335e-18]))","(array([-2.54871327e-18]), array([2.35776436e-17]))","(array([8.48385693e-19]), array([-2.84315384e-17]))","(array([1.92967096e-18]), array([1.41651078e-17]))","(array([-1.98108724e-19]), array([7.10682808e-18]))","(array([-2.25882469e-18]), array([-1.89722202e-17]))","(array([8.74521954e-23]), array([4.74083872e-18]))","(array([8.7422113e-05]), array([-0.21989879]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))"
(0.3334442562692076+0j),[-0.81594889],[1.],[0.0249566],[1.],"(array([0.00415309]), array([-0.18878571]))","(array([2.51394742e-18]), array([4.56809988e-17]))","(array([1.42851899e-18]), array([-3.18465802e-20]))","(array([2.1059183e-18]), array([1.30533299e-17]))","(array([-4.08414529e-19]), array([6.56502123e-21]))","(array([-5.61614281e-18]), array([-1.78694915e-17]))","(array([1.60384289e-19]), array([6.12380899e-18]))","(array([8.74221165e-05]), array([-0.21989879]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878571]))"
(0.3018765823465029+0j),[-0.77549673],[1.],[0.03953838],[1.],"(array([0.00719272]), array([-0.17942631]))","(array([-3.6031065e-18]), array([-3.24346367e-17]))","(array([-1.91617249e-18]), array([5.92303625e-19]))","(array([1.46831831e-17]), array([4.43855866e-17]))","(array([-1.03999828e-17]), array([-7.52563776e-18]))","(array([2.94157487e-18]), array([8.17560575e-18]))","(array([8.74221165e-05]), array([-0.21989879]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878571]))","(array([0.00719272]), array([-0.17942631]))"
(0.27369046849045553+0j),[-0.73705006],[1.],[0.05598281],[1.],"(array([0.01069885]), array([-0.17053093]))","(array([-3.2860094e-17]), array([-5.62541437e-18]))","(array([1.38714543e-17]), array([3.43784819e-17]))","(array([-9.85394423e-18]), array([-6.44545614e-18]))","(array([2.75297289e-18]), array([1.2206354e-17]))","(array([8.74221165e-05]), array([-0.21989879]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878571]))","(array([0.00719272]), array([-0.17942631]))","(array([0.01069885]), array([-0.17053093]))"
(0.24736340866359802+0j),[-0.70050373],[1.],[0.05570394],[1.],"(array([0.01258422]), array([-0.16207629]))","(array([1.94121556e-17]), array([3.00233688e-17]))","(array([-9.71862688e-18]), array([-7.16885571e-18]))","(array([3.25263855e-18]), array([1.69589996e-17]))","(array([8.74221181e-05]), array([-0.21989879]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878571]))","(array([0.00719272]), array([-0.17942631]))","(array([0.01069885]), array([-0.17053093]))","(array([0.01258421]), array([-0.16207629]))"
(0.22358211713251358+0j),[-0.66576953],[1.],[0.05569968],[1.],"(array([0.01255306]), array([-0.1540398]))","(array([-1.04290606e-17]), array([-1.04343956e-17]))","(array([-6.25354164e-19]), array([2.03034161e-17]))","(array([8.74217665e-05]), array([-0.2198988]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878571]))","(array([0.00719272]), array([-0.17942632]))","(array([0.01069885]), array([-0.17053093]))","(array([0.01258421]), array([-0.16207629]))","(array([0.01255305]), array([-0.1540398]))"
(0.2021010332814812+0j),[-0.63275762],[1.],[0.05593119],[1.],"(array([0.01257936]), array([-0.1464018]))","(array([2.5365215e-17]), array([1.02725849e-16]))","(array([8.74215164e-05]), array([-0.2198988]))","(array([0.0007618]), array([-0.20899609]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878571]))","(array([0.00719272]), array([-0.17942632]))","(array([0.01069885]), array([-0.17053093]))","(array([0.01258421]), array([-0.16207629]))","(array([0.01255305]), array([-0.1540398]))","(array([0.01257936]), array([-0.1464018]))"
(0.18278153204011519+0j),[-0.60138269],[1.],[0.05815504],[1.],"(array([0.0128536]), array([-0.13914253]))","(array([8.74211433e-05]), array([-0.2198988]))","(array([0.0007618]), array([-0.2089961]))","(array([0.00202215]), array([-0.19863395]))","(array([0.00415309]), array([-0.18878572]))","(array([0.00719272]), array([-0.17942632]))","(array([0.01069885]), array([-0.17053093]))","(array([0.01258421]), array([-0.16207629]))","(array([0.01255305]), array([-0.1540398]))","(array([0.01257936]), array([-0.1464018]))","(array([0.01285359]), array([-0.13914253]))"
