Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.4516527901467905+0j),[-0.95041944],[1.],[0.00154638],[1.],"(array([8.74732371e-05]), array([-0.2198988]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-8.74221057e-05]), array([0.21989879]))"
(0.4080275034638394+0j),[-0.90329712],[1.],[0.00590645],[1.],"(array([0.00076185]), array([-0.20899609]))","(array([-2.34262969e-24]), array([-4.98835961e-24]))","(array([-2.45123451e-28]), array([-1.92530339e-26]))","(array([2.58371558e-28]), array([1.92315689e-26]))","(array([2.19243935e-28]), array([-1.54047595e-25]))","(array([-8.83363676e-21]), array([6.0049452e-23]))","(array([9.85764074e-24]), array([1.26233134e-25]))","(array([-3.15326602e-22]), array([-9.70651954e-24]))","(array([-5.6830773e-24]), array([2.91066097e-26]))","(array([-8.74221057e-05]), array([0.21989879]))","(array([-0.0007618]), array([0.20899609]))"
(0.36870726669270903+0j),[-0.85851114],[1.],[0.01265697],[1.],"(array([0.00202219]), array([-0.19863395]))","(array([-3.18226415e-18]), array([6.78473611e-18]))","(array([-3.39418847e-18]), array([3.30816307e-18]))","(array([1.89254355e-17]), array([-1.13187663e-18]))","(array([-5.48817073e-20]), array([-1.1374087e-18]))","(array([6.64659664e-19]), array([-4.73007691e-18]))","(array([1.36703463e-21]), array([-3.70285341e-19]))","(array([2.5018541e-20]), array([5.97756301e-19]))","(array([-8.7422113e-05]), array([0.21989879]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))"
(0.3334442562691997+0j),[-0.81594889],[1.],[0.0249566],[1.],"(array([0.00415309]), array([-0.18878571]))","(array([-1.28087994e-17]), array([5.25689058e-18]))","(array([2.01858987e-17]), array([8.49529908e-19]))","(array([-3.04180761e-19]), array([-2.02001832e-18]))","(array([-7.30030635e-18]), array([1.08327403e-17]))","(array([2.75689422e-19]), array([6.52564946e-18]))","(array([2.93486042e-19]), array([-4.89615603e-18]))","(array([-8.74221165e-05]), array([0.21989879]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878571]))"
(0.3018765823464986+0j),[-0.77549673],[1.],[0.03953838],[1.],"(array([0.00719272]), array([-0.17942631]))","(array([1.8722059e-17]), array([-8.74225133e-18]))","(array([-1.07732579e-18]), array([8.00605954e-18]))","(array([-9.70063934e-18]), array([-7.80417338e-18]))","(array([2.70239278e-19]), array([1.60329386e-17]))","(array([5.62132519e-19]), array([-1.00799896e-17]))","(array([-8.74221165e-05]), array([0.21989879]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878571]))","(array([-0.00719272]), array([0.17942631]))"
(0.2736904684904522+0j),[-0.73705006],[1.],[0.05598281],[1.],"(array([0.01069885]), array([-0.17053093]))","(array([1.14199776e-17]), array([3.39508147e-18]))","(array([-2.77387639e-17]), array([3.69927365e-17]))","(array([-2.61866649e-18]), array([5.99566596e-18]))","(array([-8.79338355e-19]), array([-1.11102789e-17]))","(array([-8.74221165e-05]), array([0.21989879]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878571]))","(array([-0.00719272]), array([0.17942631]))","(array([-0.01069885]), array([0.17053093]))"
(0.24736340866359355+0j),[-0.70050373],[1.],[0.05570394],[1.],"(array([0.01258422]), array([-0.16207629]))","(array([-7.61836402e-18]), array([8.36857893e-17]))","(array([-7.20014105e-18]), array([-3.60451666e-17]))","(array([-2.49340756e-18]), array([6.12405699e-19]))","(array([-8.74221181e-05]), array([0.21989879]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878571]))","(array([-0.00719272]), array([0.17942631]))","(array([-0.01069885]), array([0.17053093]))","(array([-0.01258421]), array([0.16207629]))"
(0.22358211713251025+0j),[-0.66576953],[1.],[0.05569968],[1.],"(array([0.01255306]), array([-0.1540398]))","(array([1.518063e-17]), array([9.2433921e-18]))","(array([-1.62033973e-18]), array([-2.2258277e-17]))","(array([-8.74217665e-05]), array([0.2198988]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878571]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053093]))","(array([-0.01258421]), array([0.16207629]))","(array([-0.01255305]), array([0.1540398]))"
(0.2021010332814799+0j),[-0.63275762],[1.],[0.05593119],[1.],"(array([0.01257936]), array([-0.1464018]))","(array([6.36442203e-18]), array([3.47632095e-17]))","(array([-8.74215164e-05]), array([0.2198988]))","(array([-0.0007618]), array([0.20899609]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878571]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053093]))","(array([-0.01258421]), array([0.16207629]))","(array([-0.01255305]), array([0.1540398]))","(array([-0.01257936]), array([0.1464018]))"
(0.1827815320401137+0j),[-0.60138269],[1.],[0.05815504],[1.],"(array([0.0128536]), array([-0.13914253]))","(array([-8.74211433e-05]), array([0.2198988]))","(array([-0.0007618]), array([0.2089961]))","(array([-0.00202215]), array([0.19863395]))","(array([-0.00415309]), array([0.18878572]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053093]))","(array([-0.01258421]), array([0.16207629]))","(array([-0.01255305]), array([0.1540398]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))"
(0.19376058105795563+0j),[-0.61917234],[1.],[0.05520484],[1.],"(array([0.01269171]), array([0.0822887]))","(array([-0.0007618]), array([0.2089961]))","(array([-0.00202215]), array([0.19863396]))","(array([-0.00415309]), array([0.18878572]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053093]))","(array([-0.01258421]), array([0.16207629]))","(array([-0.01255305]), array([0.1540398]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))"
(0.20307560940958486+0j),[-0.63386669],[1.],[0.05300756],[1.],"(array([0.01143654]), array([0.06772328]))","(array([-0.00202215]), array([0.19863396]))","(array([-0.00415309]), array([0.18878572]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053094]))","(array([-0.01258421]), array([0.16207629]))","(array([-0.01255305]), array([0.15403981]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))"
(0.210613859882126+0j),[-0.64571401],[1.],[0.0484359],[1.],"(array([0.00941031]), array([0.05436909]))","(array([-0.00415309]), array([0.18878572]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053094]))","(array([-0.01258421]), array([0.1620763]))","(array([-0.01255305]), array([0.15403981]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426486]))"
(0.21660103804254002+0j),[-0.65495419],[1.],[0.04521542],[1.],"(array([0.00640154]), array([0.04214299]))","(array([-0.00719272]), array([0.17942632]))","(array([-0.01069885]), array([0.17053094]))","(array([-0.01258421]), array([0.1620763]))","(array([-0.01255305]), array([0.15403981]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426486]))","(array([-0.01055461]), array([0.14664273]))"
(0.221109957790042+0j),[-0.6617826],[1.],[0.04344391],[1.],"(array([0.00279974]), array([0.03097171]))","(array([-0.01069885]), array([0.17053094]))","(array([-0.01258421]), array([0.1620763]))","(array([-0.01255305]), array([0.15403981]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426487]))","(array([-0.01055461]), array([0.14664273]))","(array([-0.00999246]), array([0.14845462]))"
(0.22535640463673895+0j),[-0.6663213],[1.],[0.06583162],[1.],"(array([0.00162762]), array([0.02079283]))","(array([-0.01258421]), array([0.1620763]))","(array([-0.01255305]), array([0.15403981]))","(array([-0.01257936]), array([0.1464018]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426487]))","(array([-0.01055461]), array([0.14664273]))","(array([-0.00999246]), array([0.14845462]))","(array([-0.01232647]), array([0.1497381]))"
(0.22861484896876688+0j),[-0.66868819],[1.],[0.08652514],[1.],"(array([0.00459473]), array([0.01155917]))","(array([-0.01255305]), array([0.15403981]))","(array([-0.01257936]), array([0.14640181]))","(array([-0.01285359]), array([0.13914253]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426487]))","(array([-0.01055461]), array([0.14664273]))","(array([-0.00999246]), array([0.14845462]))","(array([-0.01232647]), array([0.1497381]))","(array([-0.01717896]), array([0.15051712]))"
(0.23086622670421791+0j),[-0.66903456],[1.],[0.10525304],[1.],"(array([0.00906593]), array([0.00321624]))","(array([-0.01257936]), array([0.14640181]))","(array([-0.01285359]), array([0.13914254]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426487]))","(array([-0.01055461]), array([0.14664273]))","(array([-0.00999246]), array([0.14845462]))","(array([-0.01232647]), array([0.14973811]))","(array([-0.01717896]), array([0.15051713]))","(array([-0.021619]), array([0.15082357]))"
(0.23096742583915997+0j),[-0.66758191],[1.],[0.11169472],[1.],"(array([0.01187176]), array([-0.00429543]))","(array([-0.01285359]), array([0.13914254]))","(array([-0.01277911]), array([0.13761011]))","(array([-0.01219833]), array([0.14127282]))","(array([-0.01143244]), array([0.14426487]))","(array([-0.01055461]), array([0.14664273]))","(array([-0.00999246]), array([0.14845462]))","(array([-0.01232647]), array([0.14973811]))","(array([-0.01717896]), array([0.15051713]))","(array([-0.021619]), array([0.15082357]))","(array([-0.02445114]), array([0.15069724]))"
(0.23002477405477684+0j),[-0.66456287],[1.],[0.1178352],[1.],"(array([0.01301429]), array([-0.01105048]))","(array([-0.01277911]), array([0.13761012]))","(array([-0.01219833]), array([0.14127283]))","(array([-0.01143245]), array([0.14426487]))","(array([-0.01055461]), array([0.14664274]))","(array([-0.00999246]), array([0.14845462]))","(array([-0.01232647]), array([0.14973811]))","(array([-0.01717896]), array([0.15051713]))","(array([-0.021619]), array([0.15082357]))","(array([-0.02445114]), array([0.15069724]))","(array([-0.0258679]), array([0.15019302]))"
(0.22893475769804958+0j),[-0.66129689],[1.],[0.12357403],[1.],"(array([0.01442764]), array([-0.0118743]))","(array([-0.01219833]), array([0.14127283]))","(array([-0.01143245]), array([0.14426488]))","(array([-0.01055461]), array([0.14664274]))","(array([-0.00999246]), array([0.14845463]))","(array([-0.01232647]), array([0.14973812]))","(array([-0.01717896]), array([0.15051714]))","(array([-0.021619]), array([0.15082358]))","(array([-0.02445114]), array([0.15069725]))","(array([-0.0258679]), array([0.15019302]))","(array([-0.02720677]), array([0.14948442]))"
(0.22786682405903133+0j),[-0.6589373],[1.],[0.12383834],[1.],"(array([0.01568598]), array([-0.00757633]))","(array([-0.01143244]), array([0.14426488]))","(array([-0.01055461]), array([0.14664275]))","(array([-0.00999246]), array([0.14845463]))","(array([-0.01232647]), array([0.14973812]))","(array([-0.01717896]), array([0.15051714]))","(array([-0.02161901]), array([0.15082358]))","(array([-0.02445114]), array([0.15069725]))","(array([-0.0258679]), array([0.15019303]))","(array([-0.02720677]), array([0.14948443]))","(array([-0.02788431]), array([0.14884917]))"
(0.22725611449282881+0j),[-0.65731665],[1.],[0.12389484],[1.],"(array([0.01648837]), array([-0.0041355]))","(array([-0.01055461]), array([0.14664275]))","(array([-0.00999246]), array([0.14845464]))","(array([-0.01232647]), array([0.14973812]))","(array([-0.01717896]), array([0.15051714]))","(array([-0.02161901]), array([0.15082359]))","(array([-0.02445114]), array([0.15069726]))","(array([-0.0258679]), array([0.15019303]))","(array([-0.02720677]), array([0.14948443]))","(array([-0.02788431]), array([0.14884917]))","(array([-0.02792082]), array([0.14840038]))"
(0.2269776272968512+0j),[-0.65625828],[1.],[0.12369715],[1.],"(array([0.01735049]), array([-0.00145554]))","(array([-0.00999246]), array([0.14845464]))","(array([-0.01232647]), array([0.14973813]))","(array([-0.01717896]), array([0.15051715]))","(array([-0.02161901]), array([0.15082359]))","(array([-0.02445114]), array([0.15069726]))","(array([-0.0258679]), array([0.15019304]))","(array([-0.02720677]), array([0.14948443]))","(array([-0.02788431]), array([0.14884917]))","(array([-0.02792082]), array([0.14840038]))","(array([-0.02790511]), array([0.14809829]))"
(0.22651022456604974+0j),[-0.6556422],[1.],[0.11954981],[1.],"(array([0.01742298]), array([0.00054605]))","(array([-0.01232647]), array([0.14973813]))","(array([-0.01717896]), array([0.15051715]))","(array([-0.02161901]), array([0.15082359]))","(array([-0.02445114]), array([0.15069727]))","(array([-0.0258679]), array([0.15019304]))","(array([-0.02720677]), array([0.14948444]))","(array([-0.02788431]), array([0.14884918]))","(array([-0.02792082]), array([0.14840039]))","(array([-0.02790511]), array([0.1480983]))","(array([-0.02741544]), array([0.14790859]))"
(0.22635442573546166+0j),[-0.65543714],[1.],[0.11630454],[1.],"(array([0.01425635]), array([0.00192187]))","(array([-0.01717896]), array([0.15051716]))","(array([-0.02161901]), array([0.1508236]))","(array([-0.02445114]), array([0.15069727]))","(array([-0.0258679]), array([0.15019304]))","(array([-0.02720677]), array([0.14948444]))","(array([-0.02788431]), array([0.14884918]))","(array([-0.02792082]), array([0.14840039]))","(array([-0.02790511]), array([0.1480983]))","(array([-0.02741544]), array([0.1479086]))","(array([-0.02658281]), array([0.14781627]))"
(0.22652903355697532+0j),[-0.65556328],[1.],[0.11458148],[1.],"(array([0.0088445]), array([0.00270949]))","(array([-0.02161901]), array([0.1508236]))","(array([-0.02445114]), array([0.15069727]))","(array([-0.0258679]), array([0.15019305]))","(array([-0.02720677]), array([0.14948444]))","(array([-0.02788431]), array([0.14884918]))","(array([-0.02792082]), array([0.14840039]))","(array([-0.02790511]), array([0.1480983]))","(array([-0.02741545]), array([0.1479086]))","(array([-0.02658281]), array([0.14781627]))","(array([-0.02602344]), array([0.14780767]))"
