Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00024810262807477084+0j),[1.29407205e-16],[1.],[0.0314986],[1.],"(array([0.00317396]), array([1.99800989e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0017743]), array([-0.00307318]))"
(0.0009483408229406077+0j),[-2.96124281e-15],[1.],[0.06156015],[1.],"(array([0.00937703]), array([-5.92290988e-16]))","(array([8.50000037e-38]), array([-2.545923e-38]))","(array([6.86568946e-37]), array([9.72133021e-39]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))"
(0.002039389309035943+0j),[-1.32387906e-14],[1.],[0.09022231],[1.],"(array([0.01529422]), array([-2.72257441e-15]))","(array([1.07729845e-25]), array([3.82938741e-28]))","(array([-6.30822174e-27]), array([1.54747666e-24]))","(array([-2.25884115e-29]), array([8.11501642e-28]))","(array([1.21260764e-26]), array([3.59115952e-24]))","(array([-2.17962676e-27]), array([-1.14146008e-24]))","(array([3.63565469e-24]), array([-4.90660711e-25]))","(array([3.63531665e-27]), array([-2.6459708e-26]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))"
(0.0041988127879877555+0j),[-1.66830673e-14],[1.],[0.12930837],[1.],"(array([0.02212222]), array([-3.48534162e-15]))","(array([2.17702154e-23]), array([-1.99614497e-23]))","(array([3.20816662e-23]), array([-1.78896298e-23]))","(array([-1.04503892e-24]), array([-6.21614586e-23]))","(array([-2.77269091e-24]), array([-7.0610685e-26]))","(array([3.19560493e-24]), array([-2.54945311e-23]))","(array([7.62184332e-26]), array([2.30134719e-26]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))"
(0.006977354951536454+0j),[-4.43424191e-15],[1.],[0.16643378],[1.],"(array([0.02980179]), array([-8.22498635e-16]))","(array([3.18612156e-23]), array([-2.1214231e-23]))","(array([-8.03031177e-25]), array([-8.50738195e-23]))","(array([-2.54510471e-24]), array([-2.17140235e-22]))","(array([1.23493489e-23]), array([1.15337781e-22]))","(array([4.80948848e-25]), array([1.78030829e-24]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))","(array([0.01665971]), array([-0.02885546]))"
(0.010279766213013936+0j),[-7.27295109e-15],[1.],[0.20163659],[1.],"(array([0.03708993]), array([-1.49934899e-15]))","(array([3.84870836e-24]), array([-8.00746134e-23]))","(array([-1.30419559e-24]), array([-1.99243845e-22]))","(array([9.54619479e-24]), array([1.41358086e-22]))","(array([-7.66537953e-22]), array([5.72849536e-22]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))","(array([0.01665971]), array([-0.02885546]))","(array([0.0207339]), array([-0.03591217]))"
(0.009891203979369571+0j),[-8.75305912e-15],[1.],[0.19774306],[1.],"(array([0.04024007]), array([-1.84034752e-15]))","(array([-6.5337251e-23]), array([-1.80351273e-23]))","(array([-1.08313883e-21]), array([-2.62700606e-22]))","(array([9.0205681e-22]), array([1.01421754e-21]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))","(array([0.01665971]), array([-0.02885546]))","(array([0.0207339]), array([-0.03591217]))","(array([0.02249488]), array([-0.03896228]))"
(0.009526877351284083+0j),[-6.85841046e-15],[1.],[0.19402736],[1.],"(array([0.0394734]), array([-1.51508923e-15]))","(array([-1.01881605e-21]), array([-2.31221975e-22]))","(array([-5.00769978e-21]), array([2.19075081e-22]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))","(array([0.01665971]), array([-0.02885546]))","(array([0.0207339]), array([-0.03591217]))","(array([0.02249488]), array([-0.03896228]))","(array([0.0220663]), array([-0.03821995]))"
(0.009185112639452583+0j),[-9.28655838e-15],[1.],[0.1904813],[1.],"(array([0.03874173]), array([-1.92749957e-15]))","(array([-4.05863076e-21]), array([4.03651783e-22]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))","(array([0.01665971]), array([-0.02885546]))","(array([0.0207339]), array([-0.03591217]))","(array([0.02249488]), array([-0.03896228]))","(array([0.0220663]), array([-0.03821995]))","(array([0.02165729]), array([-0.03751152]))"
(0.009139209672973027+0j),[-7.63276406e-15],[1.],[0.18995795],[1.],"(array([0.03833172]), array([-1.51491986e-15]))","(array([0.0017743]), array([-0.00307318]))","(array([0.00524192]), array([-0.00907927]))","(array([0.00854973]), array([-0.01480857]))","(array([0.01236669]), array([-0.02141974]))","(array([0.01665971]), array([-0.02885546]))","(array([0.0207339]), array([-0.03591217]))","(array([0.02249488]), array([-0.03896228]))","(array([0.0220663]), array([-0.03821995]))","(array([0.02165729]), array([-0.03751152]))","(array([0.02142808]), array([-0.03711453]))"
