Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0002514485110031338+0j),[7.746172e-17],[1.],[0.03171025],[1.],"(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))"
(0.0009806602433189452+0j),[-8.66062095e-17],[1.],[0.06259974],[1.],"(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))"
(0.0021512170486306576+0j),[-1.65266144e-16],[1.],[0.09265976],[1.],"(array([-1.76637149e-30]), array([4.67004359e-30]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))"
(0.004492530920976188+0j),[3.45690415e-16],[1.],[0.13374155],[1.],"(array([-3.0896113e-30]), array([-1.09037732e-28]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))"
(0.007590987957188556+0j),[4.39649983e-16],[1.],[0.17356251],[1.],"(array([3.02796639e-28]), array([1.07257907e-27]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))"
(0.01138180994007234+0j),[-4.76715107e-18],[1.],[0.21209075],[1.],"(array([-1.69162383e-26]), array([4.75545673e-27]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))"
(0.011372023677641396+0j),[-3.32412665e-17],[1.],[0.21194358],[1.],"(array([1.10697219e-27]), array([1.00454693e-27]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))"
(0.011362341870210945+0j),[2.98150408e-16],[1.],[0.21180017],[1.],"(array([-1.166529e-28]), array([-1.95036927e-28]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))"
(0.011352769025012668+0j),[3.85674356e-16],[1.],[0.21166044],[1.],"(array([-4.34489506e-26]), array([-2.46086764e-27]))","(array([0.]), array([0.]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))"
(0.011655859972767368+0j),[3.76497368e-16],[1.],[0.21439045],[1.],"(array([-3.82822748e-29]), array([2.35703956e-28]))","(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))"
(0.011954935446111916+0j),[7.23287777e-16],[1.],[0.21704756],[1.],"(array([0.00178023]), array([-0.00308345]))","(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))"
(0.012249902023354447+0j),[3.30485006e-15],[1.],[0.21963366],[1.],"(array([0.00529459]), array([-0.00917051]))","(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))"
(0.011926836738392179+0j),[1.33010504e-15],[1.],[0.21669583],[1.],"(array([0.00871629]), array([-0.01509706]))","(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))"
(0.011615944499120073+0j),[-3.43986481e-16],[1.],[0.21383278],[1.],"(array([0.01271108]), array([-0.02201624]))","(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))"
(0.011316721227628642+0j),[-5.546491e-16],[1.],[0.21104259],[1.],"(array([0.01725319]), array([-0.02988341]))","(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))"
(0.015893728620263205+0j),[-1.23612917e-15],[1.],[0.24964629],[1.],"(array([0.02165189]), array([-0.03750217]))","(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))"
(0.02108926559092147+0j),[-6.25991249e-16],[1.],[0.2868479],[1.],"(array([0.02380347]), array([-0.04122883]))","(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))","(array([0.03012056]), array([-0.05217035]))"
(0.026841494277699274+0j),[4.9197767e-16],[1.],[0.32262936],[1.],"(array([0.02378716]), array([-0.04120057]))","(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))","(array([0.03012056]), array([-0.05217035]))","(array([0.03421788]), array([-0.05926711]))"
(0.02953976121778616+0j),[4.26574319e-16],[1.],[0.33784215],[1.],"(array([0.02377127]), array([-0.04117304]))","(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))","(array([0.03012056]), array([-0.05217035]))","(array([0.03421788]), array([-0.05926711]))","(array([0.03707702]), array([-0.06421928]))"
(0.032287232735312865+0j),[4.68379726e-16],[1.],[0.35254201],[1.],"(array([0.02391671]), array([-0.04142495]))","(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))","(array([0.03012056]), array([-0.05217035]))","(array([0.03421788]), array([-0.05926711]))","(array([0.03707702]), array([-0.06421928]))","(array([0.03875618]), array([-0.06712768]))"
(0.03507531500325246+0j),[1.35860255e-16],[1.],[0.36673951],[1.],"(array([0.02421912]), array([-0.04194874]))","(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))","(array([0.03012056]), array([-0.05217035]))","(array([0.03421788]), array([-0.05926711]))","(array([0.03707702]), array([-0.06421928]))","(array([0.03875618]), array([-0.06712768]))","(array([0.04037835]), array([-0.06993735]))"
(0.03615824341484328+0j),[7.55968212e-16],[1.],[0.37190704],[1.],"(array([0.02451345]), array([-0.04245853]))","(array([0.02449367]), array([-0.04242428]))","(array([0.02416804]), array([-0.04186027]))","(array([0.02385069]), array([-0.0413106]))","(array([0.02586475]), array([-0.04479906]))","(array([0.03012056]), array([-0.05217035]))","(array([0.03421788]), array([-0.05926711]))","(array([0.03707702]), array([-0.06421928]))","(array([0.03875618]), array([-0.06712768]))","(array([0.04037835]), array([-0.06993735]))","(array([0.04146457]), array([-0.07181874]))"
