Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.0007628964192019212+0j),[-2.90939258e-16],[1.],[0.05521985],[1.],[0.00311367],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.00622734]
(0.002899885859983915+0j),[-2.8950777e-16],[1.],[0.10753939],[1.],[0.00917728],[0.],[-1.22923782e-32],[7.52986278e-32],[1.61877222e-35],[3.01587567e-46],[1.40124459e-51],[0.],[0.],[0.00622734],[0.01835457]
(0.006199945862691732+0j),[-5.3117287e-15],[1.],[0.15696245],[1.],[0.01491383],[5.29333102e-23],[-8.14856124e-23],[6.59305448e-23],[2.93921777e-23],[4.4800412e-23],[8.5081653e-23],[-2.34845305e-26],[0.00622734],[0.01835457],[0.02982766]
(0.01010918835572911+0j),[6.17969878e-15],[1.],[0.19998644],[1.],[0.02012549],[-9.29971383e-23],[5.58317352e-23],[2.57269691e-23],[3.99060796e-23],[7.81434766e-23],[-7.99060308e-25],[0.00622734],[0.01835457],[0.02982766],[0.04025098]
(0.014690691521064553+0j),[1.47757256e-14],[1.],[0.24043744],[1.],[0.02483162],[1.33534401e-24],[3.68179446e-23],[3.23286315e-23],[6.66217031e-23],[-1.99384755e-23],[0.00622734],[0.01835457],[0.02982766],[0.04025098],[0.04966323]
(0.01981545929262972+0j),[9.3228411e-15],[1.],[0.27838038],[1.],[0.02925116],[6.17380976e-21],[6.45171016e-21],[5.53986143e-22],[1.99810983e-23],[0.00622734],[0.01835457],[0.02982766],[0.04025098],[0.04966323],[0.05850231]
(0.025118415464327724+0j),[4.3753877e-15],[1.],[0.31237492],[1.],[0.03330622],[1.99134217e-21],[-1.82605751e-22],[5.02294603e-22],[0.00622734],[0.01835457],[0.02982766],[0.04025098],[0.04966323],[0.05850231],[0.06661245]
(0.030710179757388375+0j),[7.41140877e-15],[1.],[0.34413792],[1.],[0.03701314],[4.66292117e-21],[2.34107219e-21],[0.00622734],[0.01835457],[0.02982766],[0.04025098],[0.04966323],[0.05850231],[0.06661245],[0.07402628]
(0.03650942601413116+0j),[4.76185237e-15],[1.],[0.37375527],[1.],[0.04047321],[5.46690657e-20],[0.00622734],[0.01835457],[0.02982766],[0.04025098],[0.04966323],[0.05850231],[0.06661245],[0.07402628],[0.08094643]
(0.04362707003446406+0j),[1.36983508e-15],[1.],[0.4066431],[1.],[0.0439983],[0.00622734],[0.01835457],[0.02982766],[0.04025098],[0.04966323],[0.05850231],[0.06661245],[0.07402628],[0.08094643],[0.08799661]
(0.05076902068759384+0j),[0.00107921],[1.],[0.43647891],[1.],[0.05365552],[0.01835457],[0.02982766],[0.04025098],[0.04966323],[0.05850232],[0.06661245],[0.07402628],[0.08094643],[0.08799661],[0.09506752]
