Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(4.559311001801478e-07+0j),[4.73549188e-17],[1.],[0.00135045],[1.],"(array([7.61280952e-05]), array([0.00013186]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00015226]), array([-4.7433845e-19]))"
(1.3530245294426814e-06+0j),[5.83578738e-16],[1.],[0.00232639],[1.],"(array([0.00020727]), array([0.00035901]))","(array([-4.11477666e-39]), array([6.36609421e-40]))","(array([4.0957538e-32]), array([7.03344459e-32]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-1.85539634e-33]), array([-6.8996827e-33]))","(array([1.70876435e-45]), array([2.94698313e-45]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00015226]), array([6.36901014e-17]))","(array([0.00041454]), array([1.35904742e-16]))"
(2.7699023387147223e-06+0j),[-8.53113251e-15],[1.],[0.0033286],[1.],"(array([0.00031878]), array([0.00055215]))","(array([-3.83275587e-32]), array([1.12659573e-31]))","(array([1.52336938e-29]), array([-8.78546536e-30]))","(array([1.31131676e-29]), array([2.25992111e-29]))","(array([2.89492715e-30]), array([1.84274472e-29]))","(array([2.28302059e-29]), array([-1.32306184e-29]))","(array([-1.49924785e-31]), array([9.09307699e-32]))","(array([6.41405626e-30]), array([-6.20861873e-30]))","(array([-3.90766439e-30]), array([2.21702505e-30]))","(array([9.06043374e-30]), array([2.31348855e-30]))","(array([-7.51249705e-30]), array([4.33973715e-30]))","(array([-5.46118455e-30]), array([8.17958721e-30]))","(array([-7.67388252e-30]), array([4.12694524e-30]))","(array([0.00015226]), array([6.29521663e-16]))","(array([0.00041454]), array([-8.88964466e-16]))","(array([0.00063757]), array([-1.7450505e-15]))"
(4.3736601946525275e-06+0j),[-2.19962969e-14],[1.],[0.00418265],[1.],"(array([0.00042343]), array([0.0007334]))","(array([1.44850178e-29]), array([-8.26790965e-30]))","(array([1.06324094e-28]), array([-3.25933244e-29]))","(array([-3.91014213e-29]), array([4.17679779e-29]))","(array([2.35075945e-29]), array([-1.35742561e-29]))","(array([4.73740622e-29]), array([-2.73417593e-29]))","(array([4.42010162e-29]), array([-2.7886638e-29]))","(array([-2.32138492e-29]), array([1.32844373e-29]))","(array([2.73427246e-29]), array([-8.59473256e-30]))","(array([-2.3983107e-29]), array([1.37985589e-29]))","(array([-3.37040489e-29]), array([2.4264701e-29]))","(array([1.4183789e-28]), array([-8.25141361e-29]))","(array([0.00015226]), array([1.17100611e-16]))","(array([0.00041454]), array([4.41134759e-17]))","(array([0.00063757]), array([-4.152928e-15]))","(array([0.00084685]), array([-5.46633051e-15]))"
(6.453988337136647e-06+0j),[-5.77609804e-15],[1.],[0.00508092],[1.],"(array([0.00052221]), array([0.00090449]))","(array([-1.59270813e-29]), array([7.65776754e-29]))","(array([-3.06032044e-29]), array([3.60262823e-29]))","(array([4.83288912e-29]), array([-2.79415207e-29]))","(array([7.65509594e-28]), array([-4.42043724e-28]))","(array([-4.12527068e-30]), array([6.44326938e-32]))","(array([-6.4673623e-29]), array([-7.59179596e-29]))","(array([2.14992929e-28]), array([-1.1723249e-28]))","(array([1.66365685e-28]), array([-9.60083934e-29]))","(array([-9.14803368e-29]), array([-6.01521653e-29]))","(array([3.41241279e-28]), array([-1.94753871e-28]))","(array([0.00015226]), array([3.69577416e-17]))","(array([0.00041454]), array([1.90955108e-16]))","(array([0.00063757]), array([-4.75013366e-15]))","(array([0.00084685]), array([-3.46131544e-15]))","(array([0.00104442]), array([-9.93779711e-16]))"
(8.29153192725496e-06+0j),[-4.43145709e-15],[1.],[0.00575898],[1.],"(array([0.00061107]), array([0.0010584]))","(array([-1.76898842e-28]), array([-2.01767239e-28]))","(array([-4.29034471e-28]), array([2.92108032e-28]))","(array([2.61340816e-28]), array([4.50465044e-28]))","(array([-5.93510096e-28]), array([2.85825542e-29]))","(array([7.28121196e-28]), array([1.64151699e-28]))","(array([-9.17611193e-28]), array([5.35425372e-28]))","(array([2.28497031e-27]), array([-1.2413906e-27]))","(array([-7.08468709e-29]), array([-1.16609675e-27]))","(array([2.76115877e-28]), array([-1.36317035e-27]))","(array([0.00015226]), array([1.02389343e-17]))","(array([0.00041454]), array([2.10728245e-16]))","(array([0.00063757]), array([-4.56039828e-15]))","(array([0.00084685]), array([-3.81197352e-15]))","(array([0.00104442]), array([-7.17904469e-16]))","(array([0.00122214]), array([-1.14264067e-15]))"
(9.96293078552793e-06+0j),[-7.3341816e-15],[1.],[0.00631279],[1.],"(array([0.00068051]), array([0.00117868]))","(array([-5.38398747e-28]), array([6.60549745e-28]))","(array([-5.31755015e-27]), array([-4.88323146e-27]))","(array([-1.23883314e-27]), array([-3.19537394e-27]))","(array([1.16126012e-27]), array([-3.46792349e-28]))","(array([-5.58448409e-27]), array([-6.85012481e-28]))","(array([3.37855573e-27]), array([1.96099485e-27]))","(array([3.49354495e-27]), array([-7.27529936e-28]))","(array([-2.65486539e-27]), array([-2.3839303e-27]))","(array([0.00015226]), array([5.81674466e-17]))","(array([0.00041454]), array([3.15977171e-16]))","(array([0.00063757]), array([-4.90769534e-15]))","(array([0.00084685]), array([-4.45710092e-15]))","(array([0.00104442]), array([-1.02085766e-15]))","(array([0.00122214]), array([-2.03759535e-15]))","(array([0.00136102]), array([-1.36392633e-15]))"
(1.1936338504351806e-05+0j),[-1.02359238e-14],[1.],[0.00690975],[1.],"(array([0.00074538]), array([0.00129104]))","(array([-5.07907277e-27]), array([-4.68713318e-27]))","(array([-1.24154818e-27]), array([-3.05601536e-27]))","(array([5.15033507e-27]), array([6.53376587e-27]))","(array([-5.01229481e-27]), array([-8.12074062e-29]))","(array([1.6197133e-27]), array([-9.06895091e-28]))","(array([8.02616662e-27]), array([7.25165284e-27]))","(array([-2.93989637e-27]), array([-3.08427374e-27]))","(array([0.00015226]), array([7.82861731e-17]))","(array([0.00041454]), array([3.61459452e-16]))","(array([0.00063757]), array([-4.85150657e-15]))","(array([0.00084685]), array([-4.33336635e-15]))","(array([0.00104442]), array([-6.54478641e-16]))","(array([0.00122214]), array([-1.837289e-15]))","(array([0.00136102]), array([-1.91757417e-15]))","(array([0.00149077]), array([-2.79382637e-15]))"
(1.5004059345709398e-05+0j),[-2.56874147e-15],[1.],[0.00774695],[1.],"(array([0.00082623]), array([0.00143107]))","(array([-6.58618845e-27]), array([2.13356188e-27]))","(array([4.56202021e-27]), array([6.20850196e-27]))","(array([-4.81804657e-27]), array([-2.96979241e-29]))","(array([1.59009012e-27]), array([-8.92222722e-28]))","(array([7.7050382e-27]), array([6.96724129e-27]))","(array([-2.78374752e-27]), array([-2.92912531e-27]))","(array([0.00015226]), array([4.21483595e-17]))","(array([0.00041454]), array([1.87458556e-16]))","(array([0.00063757]), array([-4.94805477e-15]))","(array([0.00084685]), array([-4.21678751e-15]))","(array([0.00104442]), array([-5.66929316e-16]))","(array([0.00122214]), array([-2.1343604e-15]))","(array([0.00136102]), array([-1.92424202e-15]))","(array([0.00149077]), array([-1.49712057e-15]))","(array([0.00165246]), array([-1.358939e-15]))"
(1.9449852796631668e-05+0j),[-8.21830413e-15],[1.],[0.0088203],[1.],"(array([0.00093393]), array([0.00161762]))","(array([4.40390259e-27]), array([5.98810097e-27]))","(array([-4.68659522e-27]), array([-6.6717076e-29]))","(array([1.52790992e-27]), array([-8.08849559e-28]))","(array([7.67784132e-27]), array([6.516066e-27]))","(array([-2.65265328e-27]), array([-2.81705895e-27]))","(array([0.00015226]), array([7.92416263e-17]))","(array([0.00041454]), array([3.3442216e-16]))","(array([0.00063757]), array([-4.78686101e-15]))","(array([0.00084685]), array([-4.28227332e-15]))","(array([0.00104442]), array([-8.28737036e-16]))","(array([0.00122214]), array([-2.19583466e-15]))","(array([0.00136102]), array([-1.66338297e-15]))","(array([0.00149077]), array([-1.31649249e-15]))","(array([0.00165246]), array([-2.45799475e-15]))","(array([0.00186787]), array([-1.57838152e-15]))"
