Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(9.340073745186372e-08+0j),[-7.49370768e-17],[1.],[0.00061123],[1.],"(array([3.44564503e-05]), array([5.96803225e-05]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([6.89129005e-05]), array([5.08219768e-20]))"
(3.136836342129018e-07+0j),[-5.42222904e-16],[1.],[0.00112015],[1.],"(array([9.76017829e-05]), array([0.00016905]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([6.89129005e-05]), array([-3.82520079e-17]))","(array([0.0001952]), array([5.58208265e-16]))"
(5.920865713058623e-07+0j),[-2.30042728e-15],[1.],[0.00153894],[1.],"(array([0.0001499]), array([0.00025963]))","(array([-2.25885432e-33]), array([1.20244769e-33]))","(array([1.59200505e-33]), array([-7.25882822e-34]))","(array([-1.99848009e-33]), array([-5.31792697e-36]))","(array([-1.45765622e-33]), array([6.97258898e-34]))","(array([-3.08978101e-32]), array([-4.46974403e-32]))","(array([7.48600065e-31]), array([-4.34135978e-31]))","(array([-3.74623513e-31]), array([2.14913036e-31]))","(array([-3.77002829e-31]), array([2.10430624e-31]))","(array([-7.46758757e-31]), array([4.34808595e-31]))","(array([-2.65854247e-32]), array([-4.67586329e-32]))","(array([-9.02411188e-34]), array([-1.46045371e-33]))","(array([-8.50431992e-34]), array([4.39463029e-34]))","(array([6.89129005e-05]), array([6.09355502e-18]))","(array([0.0001952]), array([4.81819445e-16]))","(array([0.0002998]), array([2.18060162e-17]))"
(9.681117231384841e-07+0j),[-1.30874441e-15],[1.],[0.00196785],[1.],"(array([0.00019769]), array([0.0003424]))","(array([6.61640755e-31]), array([1.15875738e-30]))","(array([-1.80576716e-30]), array([-8.25424971e-30]))","(array([6.15707885e-30]), array([2.62414617e-30]))","(array([-4.58077279e-30]), array([2.75379071e-30]))","(array([2.34742781e-30]), array([-1.32007033e-30]))","(array([-7.15102703e-30]), array([-1.12901487e-29]))","(array([-4.66770472e-30]), array([2.57338494e-30]))","(array([6.96508676e-30]), array([-4.00329715e-30]))","(array([-2.61248804e-30]), array([8.4730051e-31]))","(array([-1.16531159e-30]), array([6.20994288e-31]))","(array([6.76624652e-30]), array([-9.84981998e-30]))","(array([6.89129005e-05]), array([3.48977574e-18]))","(array([0.0001952]), array([4.86739013e-16]))","(array([0.0002998]), array([-1.01915004e-17]))","(array([0.00039537]), array([1.52940269e-16]))"
(1.3846518339117329e-06+0j),[-5.04839447e-15],[1.],[0.00235342],[1.],"(array([0.0002436]), array([0.00042193]))","(array([-1.68914986e-30]), array([-7.74709931e-30]))","(array([-2.15984237e-29]), array([1.83677243e-29]))","(array([9.96222279e-30]), array([2.67655585e-29]))","(array([6.51921658e-30]), array([-7.32604366e-30]))","(array([1.39766722e-29]), array([-1.35770167e-29]))","(array([-2.15875625e-29]), array([-9.21327608e-30]))","(array([-2.56112876e-29]), array([-6.90823335e-30]))","(array([-2.2321738e-30]), array([3.38031581e-29]))","(array([-2.2471782e-30]), array([-4.12255616e-30]))","(array([8.14975881e-30]), array([-1.0506689e-29]))","(array([6.89129005e-05]), array([2.5426235e-17]))","(array([0.0001952]), array([3.8928279e-16]))","(array([0.0002998]), array([9.99634403e-17]))","(array([0.00039537]), array([-5.24821614e-16]))","(array([0.0004872]), array([-8.25362456e-16]))"
(1.8593623100066935e-06+0j),[-3.59873235e-15],[1.],[0.00272717],[1.],"(array([0.0002864]), array([0.00049607]))","(array([-1.65254015e-29]), array([3.27408056e-29]))","(array([1.24986746e-29]), array([7.21379464e-31]))","(array([3.01168269e-29]), array([-2.16591657e-29]))","(array([4.45956397e-29]), array([-6.07319624e-29]))","(array([-5.00125696e-29]), array([1.16900522e-29]))","(array([-4.59959489e-30]), array([1.6857503e-29]))","(array([-3.06393636e-29]), array([4.64468718e-29]))","(array([-1.68880337e-28]), array([-4.56366757e-29]))","(array([-8.27861352e-29]), array([4.76181275e-30]))","(array([6.89129005e-05]), array([5.15233201e-17]))","(array([0.0001952]), array([4.50533437e-16]))","(array([0.0002998]), array([1.64175314e-16]))","(array([0.00039537]), array([-1.38235777e-17]))","(array([0.0004872]), array([-3.75784473e-16]))","(array([0.00057281]), array([-7.1882604e-16]))"
(2.490108612823268e-06+0j),[1.97590035e-15],[1.],[0.00315601],[1.],"(array([0.00033165]), array([0.00057443]))","(array([-7.23312578e-30]), array([4.0665642e-29]))","(array([-2.49320392e-29]), array([1.02673979e-29]))","(array([5.73913851e-29]), array([-6.65465194e-29]))","(array([1.74867734e-29]), array([-2.65445446e-29]))","(array([5.16825199e-29]), array([-1.64990362e-29]))","(array([-1.20778393e-28]), array([7.86957534e-30]))","(array([-1.06115712e-28]), array([-7.56058931e-29]))","(array([-6.46443923e-29]), array([-4.08036825e-30]))","(array([6.89129005e-05]), array([3.83197705e-18]))","(array([0.0001952]), array([2.99815782e-16]))","(array([0.0002998]), array([2.45517582e-16]))","(array([0.00039537]), array([4.81250239e-17]))","(array([0.0004872]), array([-2.42807077e-16]))","(array([0.00057281]), array([7.39832457e-16]))","(array([0.0006633]), array([6.84673672e-16]))"
(3.125908103439871e-06+0j),[7.89884307e-15],[1.],[0.00353604],[1.],"(array([0.00037725]), array([0.00065341]))","(array([1.02985026e-30]), array([-8.32077726e-31]))","(array([3.1208644e-28]), array([3.93844235e-30]))","(array([1.12558681e-28]), array([-1.27426024e-28]))","(array([1.25126481e-28]), array([1.73563729e-28]))","(array([-1.31871313e-28]), array([-1.55437382e-29]))","(array([-1.50701825e-28]), array([-4.44150026e-29]))","(array([-5.17670684e-29]), array([-9.41319907e-29]))","(array([6.89129005e-05]), array([-3.33273583e-17]))","(array([0.0001952]), array([1.36094478e-16]))","(array([0.0002998]), array([2.36274758e-16]))","(array([0.00039537]), array([3.89404763e-16]))","(array([0.0004872]), array([1.32001615e-17]))","(array([0.00057281]), array([8.04152751e-16]))","(array([0.0006633]), array([2.07372639e-15]))","(array([0.00075449]), array([2.05632495e-15]))"
(3.7476616359877903e-06+0j),[2.91567857e-15],[1.],[0.00387177],[1.],"(array([0.00041759]), array([0.0007233]))","(array([7.18331383e-28]), array([6.84250721e-28]))","(array([1.88322622e-28]), array([-4.90705557e-29]))","(array([2.8902647e-28]), array([-2.41714389e-28]))","(array([7.45822363e-28]), array([-3.64760552e-28]))","(array([-2.95547596e-28]), array([-9.35810506e-29]))","(array([-2.1303388e-28]), array([8.87576664e-30]))","(array([6.89129005e-05]), array([-1.32713122e-17]))","(array([0.0001952]), array([2.27851863e-16]))","(array([0.0002998]), array([2.8449465e-16]))","(array([0.00039537]), array([2.2941718e-16]))","(array([0.0004872]), array([-3.94527618e-16]))","(array([0.00057281]), array([5.28358824e-16]))","(array([0.0006633]), array([2.0646462e-15]))","(array([0.00075449]), array([1.33083106e-15]))","(array([0.00083519]), array([1.24805223e-15]))"
(4.358089409618511e-06+0j),[6.87819236e-15],[1.],[0.0041752],[1.],"(array([0.00045363]), array([0.0007857]))","(array([1.39039879e-28]), array([4.32522701e-29]))","(array([6.64108181e-28]), array([-4.39280504e-28]))","(array([4.56778728e-28]), array([-7.89496571e-28]))","(array([-1.17317701e-27]), array([-7.65592352e-29]))","(array([-1.59143491e-28]), array([-3.79159315e-29]))","(array([6.89129005e-05]), array([-2.89651387e-17]))","(array([0.0001952]), array([1.65395041e-16]))","(array([0.0002998]), array([1.84910681e-16]))","(array([0.00039537]), array([2.26991277e-16]))","(array([0.0004872]), array([-3.4573852e-16]))","(array([0.00057281]), array([4.890836e-16]))","(array([0.0006633]), array([1.81731258e-15]))","(array([0.00075449]), array([1.36262529e-15]))","(array([0.00083519]), array([1.8597862e-15]))","(array([0.00090725]), array([1.3621645e-15]))"
