Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(2.641592469755142e-06+0j),[-1.40326579e-21],[1.],[0.00325059],[1.],"(array([0.00018324]), array([0.00031739]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00018324]), array([0.00031739]))"
(9.081033376993487e-06+0j),[4.3773238e-15],[1.],[0.00602692],[1.],"(array([0.00052299]), array([0.00090585]))","(array([-6.65739098e-31]), array([4.02929392e-31]))","(array([-6.47487836e-34]), array([-1.12334502e-33]))","(array([0.]), array([0.]))","(array([1.42641497e-28]), array([-8.27389313e-29]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([1.2679127e-28]), array([-7.2614962e-29]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([1.44976651e-28]), array([-8.43351554e-29]))","(array([0.]), array([0.]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))"
(2.1112522096673986e-05+0j),[2.28166776e-14],[1.],[0.00918957],[1.],"(array([0.00085779]), array([0.00148573]))","(array([-8.95014071e-30]), array([5.09551237e-30]))","(array([1.6502735e-29]), array([-9.41338372e-30]))","(array([2.54226103e-28]), array([-1.47673988e-28]))","(array([-3.21609221e-28]), array([1.85822622e-28]))","(array([1.24178744e-29]), array([-7.17754376e-30]))","(array([3.80243069e-28]), array([-2.19498016e-28]))","(array([-9.63577311e-30]), array([5.77082746e-30]))","(array([-4.66013087e-28]), array([2.69143271e-28]))","(array([1.53995883e-28]), array([-8.88155997e-29]))","(array([-2.80365331e-30]), array([1.71790167e-30]))","(array([1.69781066e-28]), array([-9.90371097e-29]))","(array([-2.9970764e-30]), array([1.72675816e-30]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))"
(3.776990375570533e-05+0j),[3.4226936e-14],[1.],[0.0122912],[1.],"(array([0.00121092]), array([0.00209738]))","(array([1.69782612e-28]), array([1.22765352e-28]))","(array([1.87090195e-30]), array([-8.23852419e-30]))","(array([-2.94425673e-28]), array([1.69529828e-28]))","(array([-2.41190173e-27]), array([1.39479766e-27]))","(array([3.66737589e-28]), array([-2.10030442e-28]))","(array([4.81956315e-27]), array([-2.79655795e-27]))","(array([-3.12662791e-30]), array([4.17146693e-30]))","(array([-1.20128536e-27]), array([6.9981464e-28]))","(array([1.20859915e-27]), array([-6.96871168e-28]))","(array([-8.44607926e-27]), array([4.86382273e-27]))","(array([-1.20900133e-26]), array([6.91612731e-27]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))"
(5.806701086357649e-05+0j),[5.43915979e-14],[1.],[0.01523986],[1.],"(array([0.00155199]), array([0.00268812]))","(array([-7.31590645e-29]), array([6.84774885e-30]))","(array([2.65052591e-27]), array([-1.53467809e-27]))","(array([-1.85525909e-26]), array([-1.0561308e-26]))","(array([6.87179639e-27]), array([-4.18688976e-28]))","(array([1.06571496e-26]), array([-6.16774216e-27]))","(array([7.98626381e-27]), array([-4.60813328e-27]))","(array([-4.00234956e-27]), array([2.31357627e-27]))","(array([-5.28210377e-27]), array([3.05006312e-27]))","(array([-6.72224891e-27]), array([3.87005557e-27]))","(array([-1.60754135e-26]), array([9.22836068e-27]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))"
(8.616291512859716e-05+0j),[3.41510687e-14],[1.],[0.01856391],[1.],"(array([0.0019056]), array([0.00330059]))","(array([2.49864273e-27]), array([-1.50769592e-27]))","(array([-1.78102342e-26]), array([-1.00335434e-26]))","(array([6.28292631e-27]), array([-3.44092337e-28]))","(array([1.01954048e-26]), array([-5.93271729e-27]))","(array([7.72991248e-27]), array([-4.44087958e-27]))","(array([-4.03582486e-27]), array([2.30168746e-27]))","(array([-5.11069872e-27]), array([2.90592293e-27]))","(array([-6.5983527e-27]), array([3.78105642e-27]))","(array([-1.52470928e-26]), array([8.70898544e-27]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))"
(0.00012431655201026995+0j),[2.09636719e-14],[1.],[0.02229792],[1.],"(array([0.00230348]), array([0.00398974]))","(array([9.41639013e-26]), array([-2.68908467e-26]))","(array([7.01882291e-27]), array([-8.4364229e-28]))","(array([1.01943764e-26]), array([-6.49737692e-27]))","(array([7.97482234e-27]), array([-4.3767536e-27]))","(array([-4.18921394e-27]), array([2.08034175e-27]))","(array([-5.32857177e-27]), array([2.88628584e-27]))","(array([-6.69178085e-27]), array([3.47638945e-27]))","(array([-1.47576396e-26]), array([8.98751677e-27]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))"
(0.00016546483874390334+0j),[2.18781574e-14],[1.],[0.02572422],[1.],"(array([0.00270712]), array([0.00468887]))","(array([-9.87877193e-26]), array([5.36074285e-25]))","(array([-7.48861216e-25]), array([-5.54341208e-25]))","(array([4.7244542e-25]), array([-2.73526214e-25]))","(array([-5.90377803e-27]), array([3.67888787e-27]))","(array([-5.92549791e-25]), array([3.22164295e-25]))","(array([6.69514131e-26]), array([5.41382977e-25]))","(array([-2.67547364e-25]), array([-3.48181245e-25]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))"
(0.00020579342558907246+0j),[1.4287985e-14],[1.],[0.02868759],[1.],"(array([0.00306732]), array([0.00531275]))","(array([-6.39885904e-25]), array([-4.39718293e-25]))","(array([4.53337768e-25]), array([-2.61255225e-25]))","(array([-6.49287528e-27]), array([4.95148273e-27]))","(array([-5.71212739e-25]), array([3.10560968e-25]))","(array([6.21413539e-26]), array([5.17603839e-25]))","(array([-2.48365428e-25]), array([-3.3928044e-25]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))"
(0.00025483953412234854+0j),[1.64281457e-14],[1.],[0.03192262],[1.],"(array([0.00341674]), array([0.00591796]))","(array([-2.56954243e-25]), array([-4.57099374e-25]))","(array([4.05413338e-25]), array([7.30959541e-25]))","(array([-5.59250651e-25]), array([3.05150511e-25]))","(array([5.88318809e-26]), array([5.04892277e-25]))","(array([-2.31310513e-25]), array([-3.27710125e-25]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))"
