Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(7.984122856124983e-07+0j),[-9.1358313e-17],[1.],[0.00178708],[1.],"(array([0.00010074]), array([0.00017449]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00020148]), array([-6.50521303e-19]))"
(2.804032623640544e-06+0j),[8.53418147e-16],[1.],[0.00334904],[1.],"(array([0.00028953]), array([0.00050149]))","(array([1.38696888e-39]), array([-3.56756183e-39]))","(array([-1.41196736e-35]), array([-2.46360316e-35]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00020148]), array([1.08305021e-16]))","(array([0.00057907]), array([8.27246258e-17]))"
(5.314400151738633e-06+0j),[5.01870234e-15],[1.],[0.00461058],[1.],"(array([0.0004487]), array([0.00077718]))","(array([1.70573349e-30]), array([-9.58923537e-31]))","(array([-1.94539819e-28]), array([-3.7754631e-30]))","(array([5.75566224e-29]), array([-3.3212723e-29]))","(array([2.92621677e-29]), array([-1.69635607e-29]))","(array([-2.92558387e-29]), array([1.69066487e-29]))","(array([-6.6556574e-29]), array([1.90912593e-29]))","(array([-4.39317273e-29]), array([2.53584253e-29]))","(array([5.78733859e-29]), array([-3.35062441e-29]))","(array([2.79909995e-29]), array([-1.62188809e-29]))","(array([1.72272138e-29]), array([2.86624923e-29]))","(array([-4.26824664e-30]), array([2.45924836e-30]))","(array([-1.94750075e-31]), array([1.18881891e-31]))","(array([0.00020148]), array([-2.65819268e-16]))","(array([0.00057907]), array([7.18419465e-16]))","(array([0.0008974]), array([1.8941012e-15]))"
(9.899558252550787e-06+0j),[-7.05633152e-16],[1.],[0.00629268],[1.],"(array([0.00061464]), array([0.00106459]))","(array([-9.77505691e-29]), array([-6.69896645e-29]))","(array([6.81796399e-29]), array([3.30024623e-28]))","(array([-2.86897732e-28]), array([1.64766292e-28]))","(array([7.41007944e-28]), array([-4.27062041e-28]))","(array([-3.83011472e-28]), array([-5.17512561e-28]))","(array([-3.69356458e-28]), array([2.13666004e-28]))","(array([-4.2081776e-28]), array([1.19161146e-28]))","(array([-1.87319135e-28]), array([1.08376552e-28]))","(array([2.37574822e-28]), array([3.55700106e-28]))","(array([-9.01241151e-29]), array([5.21109272e-29]))","(array([-8.8214878e-30]), array([-2.56812105e-29]))","(array([0.00020148]), array([-3.67273486e-16]))","(array([0.00057907]), array([8.86768957e-16]))","(array([0.0008974]), array([9.72610664e-16]))","(array([0.00122928]), array([-9.00429904e-16]))"
(1.617424412299993e-05+0j),[-3.17573778e-16],[1.],[0.00804337],[1.],"(array([0.00080816]), array([0.00139977]))","(array([-7.8475343e-28]), array([-5.18661185e-28]))","(array([-1.58110198e-27]), array([-2.01225196e-27]))","(array([8.11976475e-28]), array([1.4817157e-27]))","(array([-6.53668737e-28]), array([2.32456552e-27]))","(array([-2.42503841e-27]), array([4.32814029e-27]))","(array([-1.04446611e-27]), array([-1.29935304e-28]))","(array([-1.2997475e-27]), array([-2.1754895e-27]))","(array([-1.23502412e-27]), array([1.19934309e-27]))","(array([2.5783464e-29]), array([3.56917804e-30]))","(array([1.8510162e-29]), array([-1.06632874e-29]))","(array([0.00020148]), array([-3.44227414e-16]))","(array([0.00057907]), array([8.47466628e-16]))","(array([0.0008974]), array([8.54920518e-16]))","(array([0.00122928]), array([-1.23870098e-15]))","(array([0.00161631]), array([-7.5872468e-16]))"
(2.300229641759583e-05+0j),[-5.29400779e-15],[1.],[0.00959202],[1.],"(array([0.00099415]), array([0.00172191]))","(array([5.70828747e-27]), array([-9.78503421e-28]))","(array([1.26001754e-26]), array([-5.37332451e-27]))","(array([3.44196691e-27]), array([-1.49723635e-26]))","(array([-2.26294584e-27]), array([7.39175403e-27]))","(array([-3.58061129e-28]), array([-5.8675914e-28]))","(array([-3.4849019e-27]), array([-4.43130802e-28]))","(array([-4.58222596e-27]), array([2.98744941e-27]))","(array([1.17951406e-27]), array([-6.64137526e-28]))","(array([2.3265513e-27]), array([-1.40854811e-27]))","(array([0.00020148]), array([-3.3123054e-16]))","(array([0.00057907]), array([8.64786758e-16]))","(array([0.0008974]), array([9.46047711e-16]))","(array([0.00122928]), array([-6.16423145e-16]))","(array([0.00161631]), array([-1.28559273e-15]))","(array([0.00198829]), array([-1.43233949e-15]))"
(3.186639948721783e-05+0j),[-8.18301419e-15],[1.],[0.01128986],[1.],"(array([0.00117716]), array([0.0020389]))","(array([5.21163797e-28]), array([7.03815931e-28]))","(array([3.49962283e-28]), array([-2.04006821e-26]))","(array([-2.50800153e-27]), array([7.28028839e-27]))","(array([-4.04258506e-28]), array([-5.23887137e-28]))","(array([-3.32812764e-27]), array([-4.01717558e-28]))","(array([-4.34544757e-27]), array([2.83030244e-27]))","(array([1.15561784e-27]), array([-6.65441831e-28]))","(array([2.2347333e-27]), array([-1.35120052e-27]))","(array([0.00020148]), array([-3.03359768e-16]))","(array([0.00057907]), array([9.59600238e-16]))","(array([0.0008974]), array([7.97620433e-16]))","(array([0.00122928]), array([-8.16078975e-16]))","(array([0.00161631]), array([-1.16367419e-15]))","(array([0.00198829]), array([-2.20613458e-15]))","(array([0.00235432]), array([-1.7268088e-15]))"
(3.692496553595155e-05+0j),[-1.44689562e-14],[1.],[0.01215292],[1.],"(array([0.00132152]), array([0.00228894]))","(array([-1.02694056e-26]), array([-1.80174763e-26]))","(array([-2.41758039e-27]), array([7.02280027e-27]))","(array([-4.15124879e-28]), array([-5.17292375e-28]))","(array([-3.18571844e-27]), array([-3.05461137e-28]))","(array([-4.22450162e-27]), array([2.73600994e-27]))","(array([1.11410245e-27]), array([-6.24409573e-28]))","(array([2.1702918e-27]), array([-1.29793628e-27]))","(array([0.00020148]), array([-2.66483341e-16]))","(array([0.00057907]), array([1.12846473e-15]))","(array([0.0008974]), array([8.32775689e-16]))","(array([0.00122928]), array([-1.13721966e-15]))","(array([0.00161631]), array([-1.29388687e-15]))","(array([0.00198829]), array([-1.90884634e-15]))","(array([0.00235432]), array([-3.28936097e-15]))","(array([0.00264305]), array([-3.07458052e-15]))"
(4.779113699386041e-05+0j),[-1.78150127e-14],[1.],[0.01382584],[1.],"(array([0.00146448]), array([0.00253656]))","(array([-2.14458564e-26]), array([-3.67131556e-26]))","(array([5.68222499e-27]), array([-4.23526268e-27]))","(array([-3.02778419e-27]), array([-6.51478148e-29]))","(array([-3.95044992e-27]), array([2.81668203e-27]))","(array([9.4702011e-28]), array([-6.85682075e-28]))","(array([1.59941019e-27]), array([-1.05229748e-27]))","(array([0.00020148]), array([-2.61170751e-16]))","(array([0.00057907]), array([1.15947291e-15]))","(array([0.0008974]), array([8.95279944e-16]))","(array([0.00122928]), array([-1.06544547e-15]))","(array([0.00161631]), array([-1.15467531e-15]))","(array([0.00198829]), array([-1.73152508e-15]))","(array([0.00235432]), array([-3.39821487e-15]))","(array([0.00264305]), array([-3.54035377e-15]))","(array([0.00292896]), array([-4.09470634e-15]))"
(6.245712209440936e-05+0j),[-4.06167597e-15],[1.],[0.01580539],[1.],"(array([0.00167038]), array([0.00289318]))","(array([5.37188429e-27]), array([-4.08139815e-27]))","(array([-2.78901339e-27]), array([8.39387269e-29]))","(array([-8.46481574e-26]), array([-1.18329768e-25]))","(array([2.03923469e-27]), array([-1.13087337e-27]))","(array([1.58436491e-27]), array([-1.09658414e-27]))","(array([0.00020148]), array([-2.75719389e-16]))","(array([0.00057907]), array([1.06064788e-15]))","(array([0.0008974]), array([7.45470309e-16]))","(array([0.00122928]), array([-1.11081934e-15]))","(array([0.00161631]), array([-9.6331363e-16]))","(array([0.00198829]), array([-1.72881457e-15]))","(array([0.00235432]), array([-3.96514419e-15]))","(array([0.00264305]), array([-3.8311368e-15]))","(array([0.00292896]), array([-2.06475462e-15]))","(array([0.00334076]), array([-1.22113691e-15]))"
