Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(4.731741484613694e-06+0j),[7.30802206e-17],[1.],[0.0043505],[1.],"(array([0.00024525]), array([0.00042478]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0004905]), array([3.7947076e-19]))"
(1.7875268129439547e-05+0j),[-3.37657864e-15],[1.],[0.00845575],[1.],"(array([0.00072192]), array([0.0012504]))","(array([-2.42696466e-30]), array([-4.94608334e-31]))","(array([5.50506113e-33]), array([9.45817367e-33]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-9.80891495e-31]), array([3.91528565e-31]))","(array([-2.83673487e-32]), array([-2.31404094e-31]))","(array([3.82490587e-43]), array([6.6381724e-43]))","(array([0.0004905]), array([-3.81029301e-16]))","(array([0.00144384]), array([-8.532129e-16]))"
(3.6817082492312145e-05+0j),[-1.51640986e-14],[1.],[0.01213518],[1.],"(array([0.00116076]), array([0.00201049]))","(array([-1.44119361e-30]), array([-6.33138484e-31]))","(array([-7.81527736e-31]), array([4.18703389e-31]))","(array([-1.68529449e-27]), array([9.71439957e-28]))","(array([3.05343417e-27]), array([-1.20155418e-27]))","(array([-2.08338874e-27]), array([1.57802126e-27]))","(array([-2.64061477e-30]), array([8.12773776e-31]))","(array([3.36792452e-27]), array([-1.95640567e-27]))","(array([0.0004905]), array([5.9258425e-16]))","(array([0.00144384]), array([-2.46645152e-15]))","(array([0.00232152]), array([-3.67479484e-15]))"
(6.535908794709042e-05+0j),[-1.41990666e-14],[1.],[0.01616843],[1.],"(array([0.00159554]), array([0.00276356]))","(array([1.05386048e-30]), array([2.92494069e-29]))","(array([9.53674157e-29]), array([1.99166791e-28]))","(array([-7.85729956e-27]), array([5.10776971e-27]))","(array([8.24654162e-27]), array([-4.45271556e-27]))","(array([-6.00489197e-27]), array([-2.90759916e-26]))","(array([-1.74236189e-26]), array([2.60731626e-26]))","(array([0.0004905]), array([5.43537654e-16]))","(array([0.00144384]), array([-2.38193796e-15]))","(array([0.00232152]), array([-3.6037796e-15]))","(array([0.00319108]), array([-3.04834283e-15]))"
(9.983658587439422e-05+0j),[-1.85918102e-14],[1.],[0.01998256],[1.],"(array([0.00203792]), array([0.00352977]))","(array([3.96710836e-29]), array([8.32841045e-29]))","(array([3.36355311e-28]), array([4.21651056e-28]))","(array([1.95197598e-29]), array([-2.27729901e-30]))","(array([1.95227474e-26]), array([-4.22999128e-26]))","(array([-2.62765766e-26]), array([3.0594752e-26]))","(array([0.0004905]), array([6.30788824e-16]))","(array([0.00144384]), array([-2.52602843e-15]))","(array([0.00232152]), array([-3.50002145e-15]))","(array([0.00319108]), array([-4.34873491e-15]))","(array([0.00407583]), array([-4.0118733e-15]))"
(0.00013971201555423954+0j),[-1.18741358e-14],[1.],[0.02363813],[1.],"(array([0.002459]), array([0.00425911]))","(array([1.31380161e-25]), array([-5.4318273e-26]))","(array([1.26770232e-25]), array([-2.99392041e-26]))","(array([2.14423027e-26]), array([-4.20036011e-26]))","(array([-2.46975782e-26]), array([2.91731041e-26]))","(array([0.0004905]), array([6.07586897e-16]))","(array([0.00144384]), array([-2.54435145e-15]))","(array([0.00232152]), array([-3.25098021e-15]))","(array([0.00319108]), array([-4.07887699e-15]))","(array([0.00407583]), array([-3.09387932e-15]))","(array([0.004918]), array([-2.35857341e-15]))"
(0.00018659014973692153+0j),[-2.95386958e-15],[1.],[0.02731672],[1.],"(array([0.00287244]), array([0.00497522]))","(array([1.24049164e-25]), array([-3.06936386e-26]))","(array([2.08083219e-26]), array([-3.87646371e-26]))","(array([-2.69149949e-26]), array([3.08554818e-26]))","(array([0.0004905]), array([5.70561393e-16]))","(array([0.00144384]), array([-2.65418113e-15]))","(array([0.00232152]), array([-3.15285992e-15]))","(array([0.00319108]), array([-3.87808275e-15]))","(array([0.00407583]), array([-3.29727565e-15]))","(array([0.004918]), array([-1.00028492e-15]))","(array([0.00574489]), array([-1.06728862e-15]))"
(0.00022049113300705712+0j),[-6.63723185e-16],[1.],[0.02969406],[1.],"(array([0.00321383]), array([0.00556651]))","(array([1.07417299e-24]), array([-4.2068487e-25]))","(array([-3.04296044e-25]), array([-4.79974601e-25]))","(array([0.0004905]), array([5.56588738e-16]))","(array([0.00144384]), array([-2.7323521e-15]))","(array([0.00232152]), array([-3.08726569e-15]))","(array([0.00319108]), array([-3.5018646e-15]))","(array([0.00407583]), array([-2.88137569e-15]))","(array([0.004918]), array([-9.79468243e-16]))","(array([0.00574489]), array([-8.91647867e-16]))","(array([0.00642766]), array([2.14238349e-16]))"
(0.0002707402956095868+0j),[-3.51985083e-15],[1.],[0.03290312],[1.],"(array([0.00352875]), array([0.00611197]))","(array([-2.45104209e-24]), array([-2.13535352e-24]))","(array([0.0004905]), array([5.63758025e-16]))","(array([0.00144384]), array([-2.71012596e-15]))","(array([0.00232152]), array([-3.07024371e-15]))","(array([0.00319108]), array([-3.56756725e-15]))","(array([0.00407583]), array([-2.8969882e-15]))","(array([0.004918]), array([-8.13802151e-16]))","(array([0.00574489]), array([-8.13151629e-16]))","(array([0.00642766]), array([-2.47198095e-17]))","(array([0.0070575]), array([-1.43223107e-15]))"
(0.0003315712032532298+0j),[-6.36632574e-15],[1.],[0.03641102],[1.],"(array([0.0039074]), array([0.00676781]))","(array([0.0004905]), array([5.57008866e-16]))","(array([0.00144384]), array([-2.73625523e-15]))","(array([0.00232152]), array([-3.12098437e-15]))","(array([0.00319108]), array([-3.53829379e-15]))","(array([0.00407583]), array([-2.77946069e-15]))","(array([0.004918]), array([-6.32089867e-16]))","(array([0.00574489]), array([-6.67868538e-16]))","(array([0.00642766]), array([-1.25333771e-16]))","(array([0.0070575]), array([-1.85463624e-15]))","(array([0.0078148]), array([-1.63432635e-15]))"
