Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(4.731741484613694e-06+0j),[7.30802206e-17],[1.],[0.0043505],[1.],"(array([0.00024525]), array([0.00042478]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0004905]), array([3.7947076e-19]))"
(1.7875268129439547e-05+0j),[-4.00683761e-15],[1.],[0.00845575],[1.],"(array([0.00072192]), array([0.0012504]))","(array([7.85377478e-38]), array([1.36237753e-37]))","(array([-3.8534175e-32]), array([-6.68107497e-32]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([5.12968318e-31]), array([-1.51167086e-32]))","(array([5.68360665e-44]), array([9.78415533e-44]))","(array([0.]), array([0.]))","(array([0.0004905]), array([-4.55107414e-16]))","(array([0.00144384]), array([-9.92858139e-16]))"
(3.681708249231214e-05+0j),[-2.39690081e-14],[1.],[0.01213518],[1.],"(array([0.00116076]), array([0.00201049]))","(array([-5.96861215e-31]), array([-1.02868809e-30]))","(array([-5.61597766e-28]), array([3.23504013e-28]))","(array([-5.6205557e-28]), array([3.24510174e-28]))","(array([-2.32783331e-30]), array([1.35727556e-30]))","(array([-1.68581235e-27]), array([9.74132472e-28]))","(array([8.43098833e-28]), array([-4.86727163e-28]))","(array([-5.61974842e-28]), array([3.24649887e-28]))","(array([5.63455325e-28]), array([-3.25670661e-28]))","(array([2.8110202e-28]), array([-1.6212516e-28]))","(array([1.68807698e-27]), array([-9.71999697e-28]))","(array([-1.12295923e-27]), array([6.49215053e-28]))","(array([1.09032115e-27]), array([-7.07602211e-28]))","(array([0.0004905]), array([9.2303552e-16]))","(array([0.00144384]), array([-3.27645897e-15]))","(array([0.00232152]), array([-5.49451977e-15]))"
(6.535908794709403e-05+0j),[-2.05122556e-14],[1.],[0.01616843],[1.],"(array([0.00159554]), array([0.00276356]))","(array([-1.14561874e-28]), array([3.95248394e-28]))","(array([1.30422915e-28]), array([-7.33930131e-29]))","(array([8.03226298e-27]), array([-4.87637123e-27]))","(array([3.20556102e-26]), array([-1.95519852e-26]))","(array([8.10818481e-27]), array([-4.74115602e-27]))","(array([-9.77914342e-28]), array([5.61799834e-28]))","(array([9.1351642e-27]), array([-2.16207209e-26]))","(array([-3.48890748e-26]), array([1.46584882e-26]))","(array([1.92708832e-26]), array([5.07492765e-27]))","(array([-1.17681777e-27]), array([-2.03075679e-27]))","(array([6.32889577e-27]), array([2.89420956e-26]))","(array([0.0004905]), array([1.06723441e-15]))","(array([0.00144384]), array([-3.49855778e-15]))","(array([0.00232152]), array([-4.99383521e-15]))","(array([0.00319108]), array([-4.761057e-15]))"
(9.983658587439422e-05+0j),[-1.91953998e-14],[1.],[0.01998256],[1.],"(array([0.00203792]), array([0.00352977]))","(array([3.53934778e-28]), array([-5.60115507e-30]))","(array([9.40922969e-26]), array([1.35416984e-26]))","(array([-1.64687781e-25]), array([9.43615401e-26]))","(array([1.41255581e-26]), array([-5.19243876e-26]))","(array([1.63851651e-26]), array([-9.57243474e-27]))","(array([5.20138138e-26]), array([1.35890069e-26]))","(array([6.35631875e-26]), array([-4.14458218e-26]))","(array([3.85663332e-26]), array([6.56693723e-26]))","(array([5.18851002e-26]), array([1.41571076e-26]))","(array([6.98823781e-26]), array([1.79118081e-25]))","(array([0.0004905]), array([1.1519377e-15]))","(array([0.00144384]), array([-3.63034255e-15]))","(array([0.00232152]), array([-4.98234266e-15]))","(array([0.00319108]), array([-4.42538801e-15]))","(array([0.00407583]), array([-5.09097972e-15]))"
(0.0001397120155542396+0j),[-3.52205857e-14],[1.],[0.02363813],[1.],"(array([0.002459]), array([0.00425911]))","(array([9.00635245e-26]), array([1.303629e-26]))","(array([-1.55920995e-25]), array([8.94822419e-26]))","(array([1.44857188e-26]), array([-4.99453049e-26]))","(array([1.65021976e-26]), array([-9.38225896e-27]))","(array([4.87365755e-26]), array([1.38263381e-26]))","(array([6.1039239e-26]), array([-4.0067152e-26]))","(array([3.80280923e-26]), array([6.2868663e-26]))","(array([5.11003665e-26]), array([1.24866957e-26]))","(array([6.68043924e-26]), array([1.70796374e-25]))","(array([0.0004905]), array([1.22983763e-15]))","(array([0.00144384]), array([-3.57065722e-15]))","(array([0.00232152]), array([-5.49256821e-15]))","(array([0.00319108]), array([-3.94920641e-15]))","(array([0.00407583]), array([-8.03654018e-15]))","(array([0.004918]), array([-8.30303708e-15]))"
(0.00018659014973691543+0j),[-3.26332578e-14],[1.],[0.02731672],[1.],"(array([0.00287244]), array([0.00497522]))","(array([-8.48646568e-26]), array([3.79501556e-25]))","(array([4.426908e-25]), array([6.93606627e-25]))","(array([4.43784556e-25]), array([3.46517549e-25]))","(array([-7.56710157e-26]), array([-2.63096278e-25]))","(array([9.33610913e-25]), array([1.35196252e-24]))","(array([5.42460421e-26]), array([5.11084094e-26]))","(array([5.18655073e-26]), array([1.06918049e-26]))","(array([6.5378456e-26]), array([1.24498503e-25]))","(array([0.0004905]), array([1.23283274e-15]))","(array([0.00144384]), array([-3.56290518e-15]))","(array([0.00232152]), array([-5.56076452e-15]))","(array([0.00319108]), array([-4.04201412e-15]))","(array([0.00407583]), array([-7.8870287e-15]))","(array([0.004918]), array([-8.57647287e-15]))","(array([0.00574489]), array([-7.78327056e-15]))"
(0.0002204911330070571+0j),[-1.84106017e-14],[1.],[0.02969406],[1.],"(array([0.00321383]), array([0.00556651]))","(array([9.7440688e-25]), array([-2.41049529e-26]))","(array([5.64157828e-25]), array([5.79363767e-25]))","(array([-7.56687153e-26]), array([-2.4816813e-25]))","(array([8.91765782e-25]), array([1.28989034e-24]))","(array([5.74260127e-26]), array([5.25227562e-26]))","(array([5.4755349e-26]), array([1.02932555e-26]))","(array([6.34323103e-26]), array([1.17478521e-25]))","(array([0.0004905]), array([1.1859681e-15]))","(array([0.00144384]), array([-3.75426686e-15]))","(array([0.00232152]), array([-5.68295411e-15]))","(array([0.00319108]), array([-3.92784763e-15]))","(array([0.00407583]), array([-8.27831727e-15]))","(array([0.004918]), array([-9.13158438e-15]))","(array([0.00574489]), array([-5.61334833e-15]))","(array([0.00642766]), array([-4.21364332e-15]))"
(0.0002707402956095868+0j),[-1.24663539e-14],[1.],[0.03290312],[1.],"(array([0.00352875]), array([0.00611197]))","(array([-3.45703139e-24]), array([1.65252216e-25]))","(array([-5.72665052e-25]), array([5.11257294e-26]))","(array([8.5551241e-25]), array([1.23628802e-24]))","(array([6.59721963e-26]), array([4.54987455e-26]))","(array([5.9184308e-26]), array([1.04325101e-26]))","(array([5.86509358e-26]), array([1.1834899e-25]))","(array([0.0004905]), array([1.168526e-15]))","(array([0.00144384]), array([-3.82755893e-15]))","(array([0.00232152]), array([-5.76730504e-15]))","(array([0.00319108]), array([-3.91668035e-15]))","(array([0.00407583]), array([-8.28265408e-15]))","(array([0.004918]), array([-9.26906121e-15]))","(array([0.00574489]), array([-5.66690792e-15]))","(array([0.00642766]), array([-3.50305722e-15]))","(array([0.0070575]), array([-3.18104917e-15]))"
(0.0003315712032532298+0j),[-1.84342314e-15],[1.],[0.03641102],[1.],"(array([0.0039074]), array([0.00676781]))","(array([1.543353e-24]), array([-2.36433607e-24]))","(array([7.60034653e-25]), array([1.23404075e-24]))","(array([7.26813662e-26]), array([2.66821622e-26]))","(array([6.9397245e-26]), array([4.3539767e-26]))","(array([5.25168063e-26]), array([1.15643054e-25]))","(array([0.0004905]), array([1.13290996e-15]))","(array([0.00144384]), array([-4.04748934e-15]))","(array([0.00232152]), array([-6.08714468e-15]))","(array([0.00319108]), array([-3.87537225e-15]))","(array([0.00407583]), array([-7.87022357e-15]))","(array([0.004918]), array([-9.06609857e-15]))","(array([0.00574489]), array([-6.14829368e-15]))","(array([0.00642766]), array([-3.80099598e-15]))","(array([0.0070575]), array([-1.66229877e-15]))","(array([0.0078148]), array([-2.01227923e-16]))"
(0.0003927048308936207+0j),[-4.54773952e-15],[1.],[0.0396242],[1.],"(array([0.00428628]), array([0.00742406]))","(array([8.2011728e-24]), array([2.97974143e-24]))","(array([1.45067625e-25]), array([-7.17778135e-26]))","(array([2.36112049e-26]), array([1.84751515e-26]))","(array([1.5370965e-25]), array([7.53286859e-26]))","(array([0.0004905]), array([1.13654203e-15]))","(array([0.00144384]), array([-4.00661492e-15]))","(array([0.00232152]), array([-6.01743048e-15]))","(array([0.00319108]), array([-3.84913455e-15]))","(array([0.00407583]), array([-7.86686254e-15]))","(array([0.004918]), array([-9.11206874e-15]))","(array([0.00574489]), array([-6.1999017e-15]))","(array([0.00642766]), array([-3.81205484e-15]))","(array([0.0070575]), array([-1.64733678e-15]))","(array([0.0078148]), array([-6.43148729e-16]))","(array([0.00857256]), array([-6.7372323e-16]))"
(0.0004482150187639174+0j),[-3.27272896e-15],[1.],[0.04233054],[1.],"(array([0.00461998]), array([0.00800203]))","(array([7.20208992e-24]), array([4.22130963e-24]))","(array([9.83673694e-26]), array([-2.16161321e-26]))","(array([2.42015302e-25]), array([9.64712647e-26]))","(array([0.0004905]), array([1.12849183e-15]))","(array([0.00144384]), array([-4.05979503e-15]))","(array([0.00232152]), array([-6.10362455e-15]))","(array([0.00319108]), array([-3.86095236e-15]))","(array([0.00407583]), array([-7.80159357e-15]))","(array([0.004918]), array([-8.99584227e-15]))","(array([0.00574489]), array([-6.18493971e-15]))","(array([0.00642766]), array([-3.89640577e-15]))","(array([0.0070575]), array([-1.8646109e-15]))","(array([0.0078148]), array([-6.66784336e-16]))","(array([0.00857256]), array([-3.23309088e-16]))","(array([0.00923995]), array([-5.79831322e-16]))"
(0.0005099131712257204+0j),[-4.07260668e-16],[1.],[0.0451482],[1.],"(array([0.00493138]), array([0.0085414]))","(array([1.20563129e-23]), array([-1.6068165e-23]))","(array([-4.99564819e-24]), array([3.60312026e-24]))","(array([0.0004905]), array([1.11507483e-15]))","(array([0.00144384]), array([-4.14230282e-15]))","(array([0.00232152]), array([-6.30170829e-15]))","(array([0.00319108]), array([-4.10706625e-15]))","(array([0.00407583]), array([-8.01561508e-15]))","(array([0.004918]), array([-9.03010305e-15]))","(array([0.00574489]), array([-6.10427507e-15]))","(array([0.00642766]), array([-3.85217032e-15]))","(array([0.0070575]), array([-1.94137241e-15]))","(array([0.0078148]), array([-7.81059245e-16]))","(array([0.00857256]), array([-1.58510358e-16]))","(array([0.00923995]), array([7.63278329e-17]))","(array([0.00986275]), array([1.30971622e-16]))"
