Es,Sx,Sxx,Sy,Syy,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(4.731741484613694e-06+0j),[7.30802206e-17],[1.],[0.0043505],[1.],"(array([0.00024525]), array([0.00042478]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0004905]), array([3.7947076e-19]))"
(1.7875268129439547e-05+0j),[-5.1353603e-15],[1.],[0.00845575],[1.],"(array([0.00072192]), array([0.0012504]))","(array([6.49246207e-38]), array([-9.7337625e-38]))","(array([-7.3944394e-34]), array([-1.28912791e-33]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-2.21909354e-27]), array([1.27601722e-27]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-1.0189665e-30]), array([7.35907595e-32]))","(array([1.13506453e-30]), array([-6.83682406e-32]))","(array([-1.99141172e-226]), array([-3.45635239e-226]))","(array([0.0004905]), array([-6.14959472e-16]))","(array([0.00144384]), array([-1.15868686e-15]))"
(3.6817082492312145e-05+0j),[-3.34468118e-15],[1.],[0.01213518],[1.],"(array([0.00116076]), array([0.00201049]))","(array([2.04452495e-30]), array([-1.00547206e-30]))","(array([2.2552323e-27]), array([-1.27853957e-27]))","(array([-1.29180973e-27]), array([-2.25215096e-27]))","(array([-3.35940043e-28]), array([-5.5531679e-28]))","(array([-2.43996504e-27]), array([-1.57263157e-27]))","(array([7.32499154e-28]), array([2.57394368e-27]))","(array([3.0729753e-27]), array([-2.47681732e-27]))","(array([-1.13850172e-27]), array([6.69435759e-28]))","(array([-7.08044357e-29]), array([4.13747318e-29]))","(array([-3.9089507e-29]), array([-6.52549601e-29]))","(array([-2.90019464e-27]), array([1.78115994e-28]))","(array([-8.49132453e-28]), array([-5.47972054e-27]))","(array([1.28243586e-27]), array([-3.72178236e-28]))","(array([-8.08837963e-30]), array([-1.39916178e-29]))","(array([-3.37352418e-27]), array([1.93957956e-27]))","(array([1.59119886e-27]), array([-2.42922377e-27]))","(array([-5.79661194e-27]), array([3.38847228e-28]))","(array([0.0004905]), array([-6.56782571e-16]))","(array([0.00144384]), array([-1.08935213e-15]))","(array([0.00232152]), array([-8.71264866e-16]))"
(6.535908794709044e-05+0j),[6.2253212e-15],[1.],[0.01616843],[1.],"(array([0.00159554]), array([0.00276356]))","(array([2.15427831e-27]), array([-1.13199834e-27]))","(array([-9.36423214e-27]), array([2.55888654e-27]))","(array([-1.8607531e-26]), array([5.33187261e-27]))","(array([-3.26915508e-27]), array([-9.53304121e-28]))","(array([1.2875331e-26]), array([3.28308869e-27]))","(array([8.21404734e-27]), array([-4.60864993e-27]))","(array([3.13084742e-26]), array([-2.07627134e-26]))","(array([-4.06422777e-26]), array([2.35035674e-26]))","(array([-8.85034837e-27]), array([-5.64348405e-27]))","(array([-1.68986189e-26]), array([8.34619127e-27]))","(array([-4.6361957e-27]), array([-8.21100982e-27]))","(array([-8.00042373e-27]), array([4.89908559e-27]))","(array([4.06930996e-27]), array([-2.34640679e-27]))","(array([-8.15654395e-27]), array([4.71061073e-27]))","(array([-8.73129802e-27]), array([3.6106188e-27]))","(array([-5.53574215e-27]), array([3.25835385e-28]))","(array([0.0004905]), array([-3.32714542e-16]))","(array([0.00144384]), array([-1.63871737e-15]))","(array([0.00232152]), array([6.0390061e-16]))","(array([0.00319108]), array([1.54347021e-15]))"
(9.983658587438979e-05+0j),[8.2178803e-15],[1.],[0.01998256],[1.],"(array([0.00203792]), array([0.00352977]))","(array([-3.17709269e-26]), array([2.09306133e-26]))","(array([5.53509283e-26]), array([-5.60834942e-26]))","(array([2.29321606e-25]), array([1.30530605e-25]))","(array([2.96305177e-26]), array([7.0756543e-26]))","(array([-9.38421895e-26]), array([6.52584736e-26]))","(array([-5.67475306e-26]), array([-9.88967558e-26]))","(array([2.13668145e-26]), array([7.54602013e-26]))","(array([-9.59013906e-27]), array([-1.64587858e-26]))","(array([2.36647878e-26]), array([1.17854008e-25]))","(array([7.16670855e-26]), array([4.52850995e-26]))","(array([-2.08716933e-25]), array([1.71846008e-25]))","(array([5.95352283e-27]), array([-4.72140297e-26]))","(array([-1.88741213e-25]), array([-2.29028217e-26]))","(array([4.69022209e-26]), array([-7.08688666e-26]))","(array([4.21826548e-26]), array([-2.60016056e-27]))","(array([0.0004905]), array([-4.00097707e-16]))","(array([0.00144384]), array([-1.52281616e-15]))","(array([0.00232152]), array([2.73869469e-16]))","(array([0.00319108]), array([1.63703686e-15]))","(array([0.00407583]), array([2.93710369e-15]))"
(0.00013971201555423429+0j),[-9.47071766e-15],[1.],[0.02363813],[1.],"(array([0.002459]), array([0.00425911]))","(array([1.01154838e-25]), array([-1.09948916e-25]))","(array([2.19739607e-25]), array([1.2386121e-25]))","(array([2.65746737e-26]), array([6.91335446e-26]))","(array([-9.06426994e-26]), array([6.37181362e-26]))","(array([-5.46851336e-26]), array([-9.38175448e-26]))","(array([2.17272568e-26]), array([7.09591995e-26]))","(array([-9.95071392e-27]), array([-1.44676975e-26]))","(array([2.31825037e-26]), array([1.12273239e-25]))","(array([6.84802876e-26]), array([4.28886653e-26]))","(array([-1.98730356e-25]), array([1.63393107e-25]))","(array([5.16651886e-27]), array([-4.48037855e-26]))","(array([-1.79530079e-25]), array([-2.26195944e-26]))","(array([4.49937617e-26]), array([-6.78956096e-26]))","(array([3.90747598e-26]), array([-2.06271526e-27]))","(array([0.0004905]), array([-3.20571477e-16]))","(array([0.00144384]), array([-1.45255986e-15]))","(array([0.00232152]), array([-4.77048956e-17]))","(array([0.00319108]), array([2.5972063e-15]))","(array([0.00407583]), array([-1.9981846e-16]))","(array([0.004918]), array([-1.61502756e-15]))"
(0.00018659014973690938+0j),[-5.50846315e-15],[1.],[0.02731672],[1.],"(array([0.00287244]), array([0.00497522]))","(array([2.12037351e-25]), array([9.6715893e-26]))","(array([3.25398394e-26]), array([6.25900671e-26]))","(array([-9.12963817e-26]), array([6.40099432e-26]))","(array([7.90541891e-26]), array([-1.75502979e-25]))","(array([1.73714997e-25]), array([2.57370302e-25]))","(array([-1.85103438e-26]), array([-7.631233e-27]))","(array([2.1045607e-26]), array([1.0696753e-25]))","(array([6.05989137e-26]), array([4.40187529e-26]))","(array([-1.8952509e-25]), array([1.54954214e-25]))","(array([4.68316893e-27]), array([-4.64936216e-26]))","(array([-1.68317616e-25]), array([-2.31488584e-26]))","(array([4.56950047e-26]), array([-6.80922106e-26]))","(array([3.49307365e-26]), array([-6.13594645e-28]))","(array([0.0004905]), array([-3.39951591e-16]))","(array([0.00144384]), array([-1.51365465e-15]))","(array([0.00232152]), array([-2.60208521e-17]))","(array([0.00319108]), array([2.7371768e-15]))","(array([0.00407583]), array([-1.08420217e-16]))","(array([0.004918]), array([-1.00483857e-15]))","(array([0.00574489]), array([-1.16573418e-15]))"
(0.00022049113300705715+0j),[-9.84560056e-15],[1.],[0.02969406],[1.],"(array([0.00321383]), array([0.00556651]))","(array([2.90015799e-25]), array([4.96502488e-25]))","(array([-5.53340141e-25]), array([-6.66894176e-25]))","(array([5.61137364e-25]), array([6.57172891e-25]))","(array([8.84867182e-25]), array([1.4656396e-24]))","(array([-2.00202616e-26]), array([9.80858242e-27]))","(array([2.57806048e-26]), array([9.82862309e-26]))","(array([5.58399591e-26]), array([4.50742827e-26]))","(array([-2.01512397e-25]), array([1.39571763e-25]))","(array([5.44073779e-27]), array([-4.49640311e-26]))","(array([-1.60395076e-25]), array([-2.1493323e-26]))","(array([4.96279156e-26]), array([-7.09296081e-26]))","(array([2.87174079e-26]), array([7.62927757e-27]))","(array([0.0004905]), array([-3.34842288e-16]))","(array([0.00144384]), array([-1.47993597e-15]))","(array([0.00232152]), array([6.37510877e-17]))","(array([0.00319108]), array([3.02069567e-15]))","(array([0.00407583]), array([5.30391703e-16]))","(array([0.004918]), array([-5.87203897e-16]))","(array([0.00574489]), array([-2.17035591e-15]))","(array([0.00642766]), array([-1.81256919e-15]))"
(0.0002707402956096014+0j),[-3.25280031e-15],[1.],[0.03290312],[1.],"(array([0.00352875]), array([0.00611197]))","(array([-3.90793976e-26]), array([-1.58720188e-24]))","(array([5.26907617e-25]), array([6.22246809e-25]))","(array([8.49103399e-25]), array([1.39819817e-24]))","(array([-2.77036489e-26]), array([1.83236315e-26]))","(array([1.35945121e-26]), array([9.6968705e-26]))","(array([5.28851833e-26]), array([4.90422565e-26]))","(array([-2.09458576e-25]), array([1.28153962e-25]))","(array([9.73075e-27]), array([-2.98150256e-26]))","(array([-1.53387841e-25]), array([-2.14549516e-26]))","(array([4.82761961e-26]), array([-8.53813584e-26]))","(array([5.58204974e-26]), array([-1.22466504e-26]))","(array([0.0004905]), array([-3.72477656e-16]))","(array([0.00144384]), array([-1.65801617e-15]))","(array([0.00232152]), array([-1.06902334e-16]))","(array([0.00319108]), array([3.17345976e-15]))","(array([0.00407583]), array([9.73505131e-16]))","(array([0.004918]), array([-4.90059382e-16]))","(array([0.00574489]), array([-2.21133875e-15]))","(array([0.00642766]), array([-7.00828284e-16]))","(array([0.0070575]), array([-7.21861806e-16]))"
(0.00033157120325324606+0j),[1.54767895e-14],[1.],[0.03641102],[1.],"(array([0.0039074]), array([0.00676781]))","(array([-1.34007206e-24]), array([1.09217271e-24]))","(array([7.97558192e-25]), array([1.33963724e-24]))","(array([-3.33245436e-26]), array([2.0843101e-26]))","(array([1.09453633e-26]), array([8.8655582e-26]))","(array([2.79049588e-26]), array([4.85528085e-26]))","(array([-1.99723956e-25]), array([1.20351661e-25]))","(array([2.52524789e-27]), array([-3.12548914e-26]))","(array([-1.35776875e-25]), array([-8.96751942e-27]))","(array([5.04720281e-26]), array([-1.01169413e-25]))","(array([3.47593134e-26]), array([-2.38329932e-26]))","(array([0.0004905]), array([-4.19477821e-16]))","(array([0.00144384]), array([-1.93963769e-15]))","(array([0.00232152]), array([-4.74880552e-16]))","(array([0.00319108]), array([3.19265014e-15]))","(array([0.00407583]), array([1.43288159e-15]))","(array([0.004918]), array([-5.04370851e-16]))","(array([0.00574489]), array([-3.19492696e-15]))","(array([0.00642766]), array([-9.40653805e-16]))","(array([0.0070575]), array([2.74606726e-15]))","(array([0.0078148]), array([3.51736869e-15]))"
