Es,Sx,Sxx,Sy,Syy,PQ-25,PQ-24,PQ-23,PQ-22,PQ-21,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(4.731741484613694e-06+0j),[7.30802206e-17],[1.],[0.0043505],[1.],"(array([0.00024525]), array([0.00042478]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0004905]), array([3.7947076e-19]))"
(1.7875268129439547e-05+0j),[-7.97903473e-15],[1.],[0.00845575],[1.],"(array([0.00072192]), array([0.0012504]))","(array([-1.02911958e-37]), array([-1.782545e-37]))","(array([-3.178243e-38]), array([-5.48792532e-38]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-4.63123295e-30]), array([-1.02938102e-30]))","(array([-4.83731287e-40]), array([-8.36539556e-40]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-1.74662616e-30]), array([6.93502988e-31]))","(array([2.06310397e-42]), array([3.58076452e-42]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([-4.93180922e-31]), array([1.45259508e-32]))","(array([0.0004905]), array([-9.57486044e-16]))","(array([0.00144384]), array([-1.8415716e-15]))"
(3.681708249231214e-05+0j),[-8.02361291e-15],[1.],[0.01213518],[1.],"(array([0.00116076]), array([0.00201049]))","(array([-1.46157202e-30]), array([-2.05446371e-30]))","(array([-1.44952151e-27]), array([7.02679934e-29]))","(array([1.28584219e-27]), array([-3.69804679e-28]))","(array([-4.50814671e-27]), array([2.58159343e-27]))","(array([-3.61094739e-27]), array([-2.43289553e-27]))","(array([-6.70365508e-27]), array([3.96300145e-27]))","(array([1.27388869e-27]), array([-2.9870025e-27]))","(array([5.76370306e-28]), array([1.16591892e-27]))","(array([1.1270422e-27]), array([-6.52901413e-28]))","(array([1.16036226e-27]), array([-5.8005287e-28]))","(array([-6.53983384e-28]), array([-1.12123482e-27]))","(array([5.66707423e-28]), array([-3.21799317e-28]))","(array([1.56114985e-27]), array([-2.44494938e-27]))","(array([-4.16844835e-27]), array([-2.12552161e-27]))","(array([-5.61999048e-28]), array([3.26466936e-28]))","(array([3.36791991e-27]), array([-1.95109943e-27]))","(array([1.77444138e-27]), array([4.72527297e-28]))","(array([3.10796659e-30]), array([-1.79622755e-30]))","(array([-9.52546102e-30]), array([-1.79184386e-29]))","(array([8.25304584e-28]), array([-1.196658e-27]))","(array([5.59327789e-28]), array([-3.23849037e-28]))","(array([1.44607276e-27]), array([-8.83575036e-29]))","(array([0.0004905]), array([-8.83529903e-16]))","(array([0.00144384]), array([-1.96349013e-15]))","(array([0.00232152]), array([-2.23508278e-15]))"
(6.535908794709042e-05+0j),[1.75103703e-14],[1.],[0.01616843],[1.],"(array([0.00159554]), array([0.00276356]))","(array([-1.43233135e-27]), array([-1.49610766e-29]))","(array([1.61857061e-28]), array([2.61955467e-28]))","(array([-2.91166766e-26]), array([5.98911023e-27]))","(array([7.51654122e-27]), array([-5.7272417e-27]))","(array([-2.44060629e-26]), array([1.4182639e-26]))","(array([7.22030482e-27]), array([-6.31509017e-27]))","(array([-1.69571418e-27]), array([6.42903201e-27]))","(array([7.48345616e-30]), array([-4.09599864e-30]))","(array([8.14605071e-27]), array([-4.68476466e-27]))","(array([-4.07070094e-27]), array([2.34027432e-27]))","(array([-4.05822429e-27]), array([2.34952404e-27]))","(array([-3.84221594e-26]), array([-1.04731859e-26]))","(array([2.15757411e-27]), array([-1.48848902e-26]))","(array([-1.98072362e-26]), array([3.19048906e-27]))","(array([-6.39248692e-27]), array([-1.70919853e-27]))","(array([4.190676e-26]), array([-2.74431485e-27]))","(array([-3.08775823e-26]), array([2.16601111e-26]))","(array([3.1653805e-28]), array([5.23862238e-27]))","(array([1.51614849e-26]), array([7.52502246e-27]))","(array([8.12499713e-27]), array([-4.71114785e-27]))","(array([-1.78932637e-26]), array([1.57376754e-26]))","(array([0.0004905]), array([3.22550146e-18]))","(array([0.00144384]), array([-3.45264182e-15]))","(array([0.00232152]), array([1.27437123e-15]))","(array([0.00319108]), array([3.97663673e-15]))"
(9.983658587438977e-05+0j),[2.02169738e-14],[1.],[0.01998256],[1.],"(array([0.00203792]), array([0.00352977]))","(array([1.52258933e-26]), array([-3.05830921e-26]))","(array([-1.40747931e-26]), array([5.20633943e-26]))","(array([-6.63982981e-26]), array([3.68056139e-26]))","(array([3.78025359e-26]), array([6.5947561e-26]))","(array([6.11784053e-26]), array([-4.61811958e-26]))","(array([1.2394517e-27]), array([4.44635263e-27]))","(array([-6.61375172e-26]), array([3.77862627e-26]))","(array([3.29282183e-26]), array([-1.91186341e-26]))","(array([-2.07103833e-27]), array([1.15780637e-27]))","(array([-8.83478965e-26]), array([-8.14139813e-26]))","(array([1.89463161e-26]), array([-4.20549448e-26]))","(array([-5.19262884e-26]), array([-1.43211648e-26]))","(array([2.37273914e-27]), array([4.24396289e-26]))","(array([-1.88341199e-25]), array([5.36365839e-26]))","(array([2.92293096e-25]), array([-1.02250678e-25]))","(array([-6.48014084e-26]), array([4.03224611e-26]))","(array([-1.54884589e-26]), array([5.14710477e-26]))","(array([1.03307833e-25]), array([-1.25325396e-25]))","(array([3.41598731e-26]), array([-1.72103341e-26]))","(array([1.6440271e-25]), array([2.09890104e-25]))","(array([0.0004905]), array([-9.00158854e-17]))","(array([0.00144384]), array([-3.28551205e-15]))","(array([0.00232152]), array([9.79468243e-16]))","(array([0.00319108]), array([4.40988392e-15]))","(array([0.00407583]), array([4.12809977e-15]))"
(0.0001397120155542396+0j),[3.76092774e-14],[1.],[0.02363813],[1.],"(array([0.002459]), array([0.00425911]))","(array([1.18843776e-25]), array([-1.33633132e-25]))","(array([-9.18120662e-26]), array([-4.52598547e-26]))","(array([3.4954571e-26]), array([6.35946833e-26]))","(array([5.80654958e-26]), array([-4.3408645e-26]))","(array([1.01445801e-27]), array([4.52730884e-27]))","(array([8.23649348e-26]), array([2.21299251e-25]))","(array([-2.46802398e-25]), array([-5.13323599e-25]))","(array([-8.71090384e-26]), array([-1.46369533e-25]))","(array([3.23686267e-26]), array([1.12849315e-25]))","(array([6.99885396e-26]), array([5.83226141e-26]))","(array([-4.89451438e-26]), array([-1.37903698e-26]))","(array([1.61445664e-27]), array([4.07579166e-26]))","(array([-1.78924764e-25]), array([5.03952748e-26]))","(array([2.78298653e-25]), array([-9.6947529e-26]))","(array([-6.11815579e-26]), array([3.77351064e-26]))","(array([-1.55933373e-26]), array([4.96793258e-26]))","(array([9.95325202e-26]), array([-1.19454057e-25]))","(array([3.60777994e-26]), array([-1.85462211e-26]))","(array([1.55495469e-25]), array([1.99874297e-25]))","(array([0.0004905]), array([-1.46042033e-16]))","(array([0.00144384]), array([-3.38309025e-15]))","(array([0.00232152]), array([9.36425416e-16]))","(array([0.00319108]), array([3.35094365e-15]))","(array([0.00407583]), array([7.12299143e-15]))","(array([0.004918]), array([9.02966937e-15]))"
(0.00018659014973691543+0j),[4.73608863e-14],[1.],[0.02731672],[1.],"(array([0.00287244]), array([0.00497522]))","(array([-5.21363571e-25]), array([-6.4510044e-25]))","(array([1.20045664e-25]), array([2.56505303e-25]))","(array([5.07571596e-26]), array([-3.86916402e-26]))","(array([6.05773918e-27]), array([9.49266988e-27]))","(array([7.83733777e-26]), array([2.12962249e-25]))","(array([-2.33873296e-25]), array([-4.91964903e-25]))","(array([-8.14032583e-26]), array([-1.41327276e-25]))","(array([2.30025163e-26]), array([1.11990872e-25]))","(array([6.78462952e-26]), array([5.84591684e-26]))","(array([-4.58837486e-26]), array([-1.35798444e-26]))","(array([2.12698655e-27]), array([3.88741615e-26]))","(array([-2.50403507e-24]), array([-6.21380486e-25]))","(array([3.49173111e-25]), array([2.25803997e-25]))","(array([-6.65016618e-26]), array([5.76061999e-26]))","(array([8.05456424e-26]), array([1.90865643e-25]))","(array([9.52491085e-26]), array([-1.10294073e-25]))","(array([3.54340921e-26]), array([-2.0062122e-26]))","(array([1.49416407e-25]), array([1.90269599e-25]))","(array([0.0004905]), array([-2.0105174e-16]))","(array([0.00144384]), array([-3.54279323e-15]))","(array([0.00232152]), array([1.13841228e-15]))","(array([0.00319108]), array([3.44624503e-15]))","(array([0.00407583]), array([6.24402873e-15]))","(array([0.004918]), array([1.10961587e-14]))","(array([0.00574489]), array([1.11000618e-14]))"
(0.00022049113300706374+0j),[4.42421448e-14],[1.],[0.02969406],[1.],"(array([0.00321383]), array([0.00556651]))","(array([-2.77817354e-25]), array([-4.82112948e-25]))","(array([-3.33048692e-25]), array([-1.12719577e-24]))","(array([3.78744654e-25]), array([7.77381149e-25]))","(array([-5.89482618e-26]), array([4.07539393e-26]))","(array([5.66062604e-25]), array([9.815309e-25]))","(array([1.43762904e-26]), array([-1.06238019e-26]))","(array([6.76346092e-28]), array([1.20620601e-25]))","(array([5.68374802e-26]), array([6.45563244e-26]))","(array([-3.36957437e-26]), array([-1.4768664e-26]))","(array([-1.78579655e-27]), array([2.79102691e-26]))","(array([-2.3918648e-24]), array([-5.92460261e-25]))","(array([3.22661384e-25]), array([2.2516151e-25]))","(array([-5.76988387e-26]), array([5.30576289e-26]))","(array([7.53542943e-26]), array([1.90696677e-25]))","(array([1.66569988e-25]), array([-1.49159008e-25]))","(array([3.60439896e-26]), array([-2.55570096e-26]))","(array([1.49626957e-25]), array([1.77842986e-25]))","(array([0.0004905]), array([-2.11649817e-16]))","(array([0.00144384]), array([-3.58323397e-15]))","(array([0.00232152]), array([1.17310675e-15]))","(array([0.00319108]), array([3.75264056e-15]))","(array([0.00407583]), array([6.61471745e-15]))","(array([0.004918]), array([1.12893635e-14]))","(array([0.00574489]), array([1.09500083e-14]))","(array([0.00642766]), array([1.0916398e-14]))"
(0.0002707402956096014+0j),[4.34067388e-14],[1.],[0.03290312],[1.],"(array([0.00352875]), array([0.00611197]))","(array([-1.39553607e-24]), array([-3.98316356e-25]))","(array([3.86219368e-25]), array([-1.39812615e-24]))","(array([9.49134458e-25]), array([-6.59400829e-25]))","(array([8.02597494e-25]), array([6.28092049e-25]))","(array([6.83385992e-25]), array([-3.77965004e-25]))","(array([-1.21542705e-26]), array([1.24139485e-25]))","(array([-4.46605591e-27]), array([8.77556577e-26]))","(array([-6.48106751e-26]), array([-3.32047222e-26]))","(array([1.60745448e-24]), array([-1.34462172e-24]))","(array([-3.3362179e-24]), array([-2.50181569e-24]))","(array([-5.42439629e-25]), array([-8.6638026e-25]))","(array([-5.74134567e-26]), array([6.00212776e-26]))","(array([8.71533201e-26]), array([1.90973591e-25]))","(array([1.68793552e-25]), array([-1.48897782e-25]))","(array([4.14667119e-26]), array([-2.93764179e-26]))","(array([1.45600995e-25]), array([1.73728775e-25]))","(array([0.0004905]), array([-2.10226801e-16]))","(array([0.00144384]), array([-3.58323397e-15]))","(array([0.00232152]), array([1.19186345e-15]))","(array([0.00319108]), array([3.67230118e-15]))","(array([0.00407583]), array([6.48255321e-15]))","(array([0.004918]), array([1.11828949e-14]))","(array([0.00574489]), array([1.09506588e-14]))","(array([0.00642766]), array([1.09671387e-14]))","(array([0.0070575]), array([9.69840527e-15]))"
(0.00033157120325325414+0j),[3.24343151e-14],[1.],[0.03641102],[1.],"(array([0.0039074]), array([0.00676781]))","(array([8.25786692e-25]), array([-1.99989373e-24]))","(array([8.81442273e-25]), array([-5.91444029e-25]))","(array([7.71050179e-25]), array([6.10577353e-25]))","(array([6.87738771e-25]), array([-3.93539699e-25]))","(array([-2.37803573e-26]), array([1.31565939e-25]))","(array([-3.27884664e-26]), array([1.55812408e-25]))","(array([-2.85335528e-26]), array([-2.95331029e-26]))","(array([1.55322332e-24]), array([-1.29729808e-24]))","(array([-3.19053253e-24]), array([-2.4149494e-24]))","(array([-5.71606251e-25]), array([-8.47811031e-25]))","(array([-4.43822023e-26]), array([5.30769704e-26]))","(array([7.8493612e-26]), array([1.6589685e-25]))","(array([1.59901361e-25]), array([-1.26757055e-25]))","(array([3.96921247e-26]), array([-3.11940366e-26]))","(array([1.47198897e-25]), array([2.14889932e-25]))","(array([0.0004905]), array([-1.84368579e-16]))","(array([0.00144384]), array([-3.44857606e-15]))","(array([0.00232152]), array([1.37650308e-15]))","(array([0.00319108]), array([3.73269124e-15]))","(array([0.00407583]), array([6.31005664e-15]))","(array([0.004918]), array([1.11087355e-14]))","(array([0.00574489]), array([1.12583554e-14]))","(array([0.00642766]), array([1.09931595e-14]))","(array([0.0070575]), array([8.12717948e-15]))","(array([0.0078148]), array([8.24969433e-15]))"
