Es,Sx,Sxx,Sy,Syy,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(4.731741484613694e-06+0j),[7.30802206e-17],[1.],[0.0043505],[1.],"(array([0.00024525]), array([0.00042478]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0004905]), array([1.08420217e-18]))"
(1.7875268129439547e-05+0j),[-7.05527063e-16],[1.],[0.00845575],[1.],"(array([0.00072192]), array([0.0012504]))","(array([5.48823282e-31]), array([2.77392165e-31]))","(array([-4.48712945e-42]), array([-7.77193619e-42]))","(array([0.]), array([0.]))","(array([0.0004905]), array([-9.3092309e-17]))","(array([0.00144384]), array([-2.81675724e-16]))"
(3.681708249231214e-05+0j),[-2.48010784e-15],[1.],[0.01213518],[1.],"(array([0.00116076]), array([0.00201049]))","(array([1.85752172e-30]), array([-2.87873054e-31]))","(array([-5.63102021e-27]), array([3.23591982e-27]))","(array([0.0004905]), array([3.65240607e-17]))","(array([0.00144384]), array([-4.95534603e-16]))","(array([0.00232152]), array([-4.11454724e-16]))"
(6.535908794709403e-05+0j),[-5.09902694e-15],[1.],[0.01616843],[1.],"(array([0.00159554]), array([0.00276356]))","(array([-5.37536197e-27]), array([3.11969194e-27]))","(array([0.0004905]), array([1.28762561e-16]))","(array([0.00144384]), array([-6.46292915e-16]))","(array([0.00232152]), array([-7.80083463e-16]))","(array([0.00319108]), array([-1.10816304e-15]))"
(9.983658587439866e-05+0j),[-7.35293612e-15],[1.],[0.01998256],[1.],"(array([0.00203792]), array([0.00352977]))","(array([0.0004905]), array([1.8978959e-16]))","(array([0.00144384]), array([-7.48207919e-16]))","(array([0.00232152]), array([-1.06566232e-15]))","(array([0.00319108]), array([-1.45966138e-15]))","(array([0.00407583]), array([-1.76768322e-15]))"
(0.00013907751513737038+0j),[9.33890001e-05],[1.],[0.02358421],[1.],"(array([0.00293734]), array([0.00425911]))","(array([0.00144384]), array([-1.07178806e-15]))","(array([0.00232152]), array([-8.81347946e-16]))","(array([0.00319108]), array([-1.62847166e-15]))","(array([0.00407583]), array([-2.24017853e-15]))","(array([0.00491192]), array([1.05292172e-05]))"
(0.00018376582656660332+0j),[0.00036365],[1.],[0.02710678],[1.],"(array([0.00425678]), array([0.00497522]))","(array([0.00232152]), array([-5.07005462e-15]))","(array([0.00319108]), array([-3.45914703e-15]))","(array([0.00407583]), array([-7.73144569e-16]))","(array([0.00491192]), array([1.05292172e-05]))","(array([0.00571514]), array([5.15288409e-05]))"
(0.00021394455672375573+0j),[0.00078759],[1.],[0.0292394],[1.],"(array([0.00538547]), array([0.00556652]))","(array([0.00319108]), array([-2.76699236e-14]))","(array([0.00407583]), array([-4.55950382e-15]))","(array([0.00491192]), array([1.05292172e-05]))","(array([0.00571514]), array([5.15288409e-05]))","(array([0.00635272]), array([0.0001298]))"
(0.00025846849603108874+0j),[0.00135605],[1.],[0.03212033],[1.],"(array([0.00644076]), array([0.00611199]))","(array([0.00407583]), array([-3.01703107e-14]))","(array([0.00491192]), array([1.05292172e-05]))","(array([0.00571514]), array([5.15288409e-05]))","(array([0.00635272]), array([0.0001298]))","(array([0.00691798]), array([0.00024169]))"
(0.00031128137274172773+0j),[0.00206474],[1.],[0.03521923],[1.],"(array([0.00753791]), array([0.00676785]))","(array([0.00491192]), array([1.05292171e-05]))","(array([0.00571514]), array([5.15288408e-05]))","(array([0.00635272]), array([0.0001298]))","(array([0.00691798]), array([0.00024169]))","(array([0.00759217]), array([0.00038568]))"
(0.0003623069032023496+0j),[0.00289626],[1.],[0.03794988],[1.],"(array([0.00855224]), array([0.0074344]))","(array([0.00571514]), array([5.15288408e-05]))","(array([0.00635272]), array([0.0001298]))","(array([0.00691798]), array([0.00024169]))","(array([0.00759217]), array([0.00038568]))","(array([0.00824942]), array([0.00055933]))"
(0.00040591975136767037+0j),[0.00383491],[1.],[0.04010164],[1.],"(array([0.00945785]), array([0.0080519]))","(array([0.00635272]), array([0.0001298]))","(array([0.00691798]), array([0.00024169]))","(array([0.00759217]), array([0.00038568]))","(array([0.00824942]), array([0.00055933]))","(array([0.00879988]), array([0.0007589]))"
(0.00045359901699550185+0j),[0.00483975],[1.],[0.04230739],[1.],"(array([0.01015132]), array([0.0086652]))","(array([0.00691798]), array([0.00024169]))","(array([0.00759217]), array([0.00038568]))","(array([0.00824942]), array([0.00055933]))","(array([0.00879988]), array([0.0007589]))","(array([0.00929117]), array([0.00097802]))"
(0.0005011989474713843+0j),[0.00589002],[1.],[0.04437103],[1.],"(array([0.01075658]), array([0.0093098]))","(array([0.00759217]), array([0.00038568]))","(array([0.00824942]), array([0.00055933]))","(array([0.00879988]), array([0.0007589]))","(array([0.00929117]), array([0.00097802]))","(array([0.00977252]), array([0.00120972]))"
(0.00052881373318936+0j),[0.00700069],[1.],[0.04543931],[1.],"(array([0.01139634]), array([0.0098814]))","(array([0.00824942]), array([0.00055933]))","(array([0.00879988]), array([0.0007589]))","(array([0.00929117]), array([0.00097802]))","(array([0.00977252]), array([0.00120972]))","(array([0.01012562]), array([0.00145336]))"
(0.0005122758999236263+0j),[0.00816236],[1.],[0.04450791],[1.],"(array([0.01183943]), array([0.01019651]))","(array([0.00879988]), array([0.0007589]))","(array([0.00929117]), array([0.00097802]))","(array([0.00977252]), array([0.00120972]))","(array([0.01012562]), array([0.00145336]))","(array([0.01014105]), array([0.00170955]))"
