Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00038155366311294056+0j),[4.4427565e-16],[1.],[0.03905926],[1.],"(array([0.00220214]), array([0.00381422]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00220214]), array([0.00381422]))"
(0.0014175863149462008+0j),[-4.91608489e-15],[1.],[0.07524639],[1.],"(array([0.0064444]), array([0.01116202]))","(array([-9.26742817e-32]), array([1.34487897e-32]))","(array([-8.17984858e-33]), array([-1.23947945e-32]))","(array([-3.01963712e-33]), array([-6.1621255e-33]))","(array([-1.87841193e-26]), array([-3.1676247e-26]))","(array([-2.143818e-33]), array([-5.49056501e-33]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([4.31151619e-34]), array([7.76670424e-34]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))"
(0.003033250711821535+0j),[4.06605858e-15],[1.],[0.10997313],[1.],"(array([0.01044236]), array([0.0180867]))","(array([-2.44812745e-29]), array([2.86839201e-30]))","(array([-3.53790185e-24]), array([2.12609727e-24]))","(array([3.53283659e-24]), array([-2.12915822e-24]))","(array([-6.80640792e-24]), array([4.69663295e-24]))","(array([-1.42479819e-23]), array([8.31755865e-24]))","(array([6.54200987e-24]), array([1.05156213e-23]))","(array([8.24170317e-26]), array([-5.06085691e-26]))","(array([1.0696273e-25]), array([-7.35684785e-26]))","(array([-1.8982278e-23]), array([-8.06005767e-24]))","(array([2.42533831e-26]), array([4.10303363e-26]))","(array([3.58358898e-24]), array([-2.04250341e-24]))","(array([3.23444951e-26]), array([-4.52075038e-27]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))"
(0.005103909389681252+0j),[2.47136686e-14],[1.],[0.14248934],[1.],"(array([0.01423325]), array([0.02465272]))","(array([-2.48448968e-24]), array([1.05793137e-24]))","(array([-4.54234571e-26]), array([-1.5029946e-25]))","(array([-2.62898554e-23]), array([1.61526688e-23]))","(array([-5.32026589e-23]), array([3.13844378e-23]))","(array([-7.52899313e-24]), array([-1.32805631e-23]))","(array([8.43650486e-26]), array([1.56051368e-25]))","(array([1.17671276e-25]), array([2.07209344e-25]))","(array([-1.78168747e-23]), array([-7.94488895e-24]))","(array([-1.0656995e-22]), array([6.18185007e-23]))","(array([3.15226189e-24]), array([-1.87362333e-24]))","(array([5.18135942e-23]), array([-3.33232115e-23]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))"
(0.007616878669055153+0j),[3.10411187e-14],[1.],[0.17381735],[1.],"(array([0.01783256]), array([0.0308869]))","(array([-1.06612235e-22]), array([6.03161761e-23]))","(array([-9.57748305e-24]), array([6.175058e-24]))","(array([-5.2863918e-23]), array([3.04997363e-23]))","(array([-1.76542628e-23]), array([-6.75063791e-24]))","(array([-9.41343384e-24]), array([6.02908432e-24]))","(array([-6.29970069e-24]), array([4.19279441e-24]))","(array([-1.03956186e-23]), array([-1.02064735e-23]))","(array([-9.75493643e-23]), array([5.45054232e-23]))","(array([6.37375182e-24]), array([-3.97979805e-24]))","(array([5.27498379e-23]), array([-3.23414117e-23]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))"
(0.010548184351001829+0j),[3.26794384e-14],[1.],[0.20419382],[1.],"(array([0.02131123]), array([0.03691214]))","(array([7.52652085e-24]), array([-2.24380312e-23]))","(array([-7.05203658e-23]), array([2.79124119e-23]))","(array([-2.1790542e-23]), array([-1.11422473e-23]))","(array([-1.81957166e-23]), array([1.14960982e-23]))","(array([-3.03725648e-23]), array([1.81790729e-23]))","(array([-1.93380175e-23]), array([1.0331705e-23]))","(array([-5.92255152e-23]), array([1.19249868e-23]))","(array([-1.94552817e-23]), array([2.16483364e-23]))","(array([4.79868338e-23]), array([-1.80572929e-23]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))"
(0.013725255616166313+0j),[2.30582025e-14],[1.],[0.23247173],[1.],"(array([0.02461776]), array([0.04263922]))","(array([-6.08255159e-22]), array([-2.49846366e-22]))","(array([-8.48514024e-23]), array([1.65189941e-23]))","(array([8.55295269e-23]), array([-6.92290404e-23]))","(array([-1.33290385e-22]), array([4.89214738e-23]))","(array([-3.97976921e-23]), array([4.89773695e-23]))","(array([-1.25100649e-22]), array([6.69655821e-24]))","(array([-9.25486549e-23]), array([7.5884577e-23]))","(array([1.94060402e-22]), array([-7.42369875e-23]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))"
(0.017234573709170947+0j),[8.77924794e-15],[1.],[0.25992926],[1.],"(array([0.02775987]), array([0.0480815]))","(array([-1.19373966e-22]), array([7.97942256e-23]))","(array([1.34953856e-22]), array([-1.30686e-22]))","(array([-3.91150914e-22]), array([1.885304e-22]))","(array([-1.42280744e-23]), array([6.56312684e-23]))","(array([2.02987038e-22]), array([-2.33242051e-22]))","(array([-6.59285218e-23]), array([7.38831171e-23]))","(array([2.65613886e-22]), array([-1.09727519e-22]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))"
(0.020899286028195505+0j),[1.06902631e-14],[1.],[0.28555294],[1.],"(array([0.03075215]), array([0.05326428]))","(array([7.73684849e-21]), array([3.077581e-21]))","(array([-3.42919586e-22]), array([1.66823713e-22]))","(array([-8.94362015e-23]), array([4.4591509e-23]))","(array([5.81012739e-22]), array([-5.13293747e-22]))","(array([3.08980689e-22]), array([-1.61802493e-22]))","(array([3.30982973e-23]), array([1.32987526e-22]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))"
(0.024730532446493054+0j),[-3.69954892e-15],[1.],[0.30983004],[1.],"(array([0.03356516]), array([0.05813656]))","(array([2.5824221e-21]), array([-3.02745529e-21]))","(array([-1.5971915e-21]), array([1.00180062e-21]))","(array([2.42743901e-21]), array([-1.79855592e-21]))","(array([1.4493814e-21]), array([-6.91662361e-22]))","(array([-5.06041476e-22]), array([3.67152976e-22]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813656]))"
