Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.001632158364887455+0j),[-1.17450371e-16],[1.],[0.08073325],[1.],"(array([0.00910725]), array([-3.02993016e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00455362]), array([-0.00788711]))"
(0.007161252572831883+0j),[5.34781286e-15],[1.],[0.16862152],[1.],"(array([0.02813236]), array([1.28793097e-15]))","(array([5.13025245e-30]), array([-1.27400326e-29]))","(array([-4.8375331e-23]), array([4.40401306e-25]))","(array([3.25316487e-32]), array([4.12632932e-30]))","(array([-6.70160958e-25]), array([1.82927074e-26]))","(array([4.72198599e-34]), array([2.94923268e-30]))","(array([1.88697469e-32]), array([2.36235957e-30]))","(array([1.40909079e-32]), array([1.77333091e-30]))","(array([5.18568244e-34]), array([1.1844272e-30]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))"
(0.017526464940542476+0j),[1.44588538e-14],[1.],[0.26232602],[1.],"(array([0.04862622]), array([3.00812622e-15]))","(array([-1.43428004e-22]), array([-4.91679663e-24]))","(array([-4.71575503e-23]), array([3.64628289e-23]))","(array([-1.79623485e-23]), array([-7.62776548e-22]))","(array([-1.44718258e-22]), array([3.80868933e-22]))","(array([-1.02453102e-24]), array([-1.90746605e-22]))","(array([1.5463058e-24]), array([-2.38489056e-23]))","(array([6.13448607e-27]), array([-3.74308534e-25]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))"
(0.033396812636779225+0j),[1.99863694e-14],[1.],[0.35892111],[1.],"(array([0.070107]), array([4.96903613e-15]))","(array([-2.77772193e-23]), array([1.28119013e-22]))","(array([1.82861234e-23]), array([-7.41117136e-22]))","(array([-1.37477368e-22]), array([6.66703096e-22]))","(array([-4.08981828e-24]), array([-1.80857176e-22]))","(array([4.38396276e-24]), array([5.52556559e-23]))","(array([1.16851673e-24]), array([1.13292053e-24]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))","(array([0.0350535]), array([-0.06071444]))"
(0.054965815658976534+0j),[1.26395959e-14],[1.],[0.45470767],[1.],"(array([0.09182485]), array([2.88179725e-15]))","(array([-6.53218043e-22]), array([-1.13808967e-21]))","(array([-8.81079159e-22]), array([2.01898921e-21]))","(array([-7.23709717e-22]), array([-6.24795031e-23]))","(array([3.1064302e-22]), array([4.24333973e-22]))","(array([-1.88979908e-23]), array([-3.4148073e-23]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))","(array([0.0350535]), array([-0.06071444]))","(array([0.04591242]), array([-0.07952265]))"
(0.0818967541974528+0j),[5.38970782e-15],[1.],[0.54592663],[1.],"(array([0.11293504]), array([1.36373846e-15]))","(array([2.45013113e-21]), array([1.52806371e-20]))","(array([-2.55015589e-21]), array([3.3147505e-21]))","(array([1.2121845e-21]), array([-2.28811778e-21]))","(array([-6.85705156e-22]), array([-6.2306186e-21]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))","(array([0.0350535]), array([-0.06071444]))","(array([0.04591242]), array([-0.07952265]))","(array([0.05646752]), array([-0.09780461]))"
(0.1133784794160831+0j),[6.77108068e-15],[1.],[0.62924956],[1.],"(array([0.1326348]), array([2.0859663e-15]))","(array([1.34135585e-20]), array([4.16582127e-20]))","(array([1.65384386e-20]), array([5.59910015e-21]))","(array([1.91720174e-21]), array([-2.11639033e-20]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))","(array([0.0350535]), array([-0.06071444]))","(array([0.04591242]), array([-0.07952265]))","(array([0.05646752]), array([-0.09780461]))","(array([0.0663174]), array([-0.1148651]))"
(0.14824229904301015+0j),[1.60842104e-15],[1.],[0.70206868],[1.],"(array([0.15025206]), array([-3.45513504e-16]))","(array([2.74360563e-20]), array([-2.16768811e-21]))","(array([-4.48316771e-22]), array([1.21122823e-20]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))","(array([0.0350535]), array([-0.06071444]))","(array([0.04591242]), array([-0.07952265]))","(array([0.05646752]), array([-0.09780461]))","(array([0.0663174]), array([-0.1148651]))","(array([0.07512603]), array([-0.1301221]))"
(0.18510399810621864+0j),[1.77777922e-15],[1.],[0.76263658],[1.],"(array([0.16529424]), array([-2.77289835e-16]))","(array([1.00262469e-20]), array([-9.52625498e-19]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211154]))","(array([0.0350535]), array([-0.06071445]))","(array([0.04591243]), array([-0.07952266]))","(array([0.05646752]), array([-0.09780462]))","(array([0.0663174]), array([-0.11486511]))","(array([0.07512603]), array([-0.1301221]))","(array([0.08264712]), array([-0.14314901]))"
(0.22251032439928253+0j),[-8.21591616e-16],[1.],[0.81009701],[1.],"(array([0.17746759]), array([-8.46851801e-16]))","(array([0.00455362]), array([-0.00788711]))","(array([0.01406618]), array([-0.02436334]))","(array([0.02431311]), array([-0.04211155]))","(array([0.03505351]), array([-0.06071446]))","(array([0.04591243]), array([-0.07952267]))","(array([0.05646753]), array([-0.09780463]))","(array([0.06631741]), array([-0.11486512]))","(array([0.07512604]), array([-0.13012211]))","(array([0.08264713]), array([-0.14314902]))","(array([0.0887338]), array([-0.15369144]))"
