Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0007177065508972932+0j),[1.93357945e-16],[1.],[0.05356065],[1.],"(array([0.00604013]), array([6.07344636e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00302007]), array([-0.00523091]))"
(0.003154970305793829+0j),[4.85547402e-15],[1.],[0.11215514],[1.],"(array([0.0186891]), array([1.11550681e-15]))","(array([0.]), array([0.]))","(array([1.4527491e-31]), array([-3.03811571e-32]))","(array([6.51883628e-25]), array([7.39463881e-27]))","(array([8.43874396e-32]), array([-3.1294307e-32]))","(array([1.00543657e-31]), array([-1.18804106e-31]))","(array([-2.0825153e-23]), array([-1.18115012e-25]))","(array([7.07946852e-32]), array([-3.20229854e-32]))","(array([-3.41158922e-33]), array([-3.86785283e-32]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))"
(0.007743921810806396+0j),[2.25224003e-15],[1.],[0.17528179],[1.],"(array([0.03241847]), array([5.2739334e-16]))","(array([-5.78755402e-24]), array([7.38534989e-23]))","(array([-4.40618407e-23]), array([1.41155586e-22]))","(array([-1.27227316e-22]), array([-6.82281171e-23]))","(array([4.01460036e-23]), array([-3.34910217e-23]))","(array([-1.77332613e-23]), array([5.84414812e-24]))","(array([1.95110593e-23]), array([-7.13164394e-23]))","(array([-2.86059967e-25]), array([1.09376519e-24]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))"
(0.014817787763760464+0j),[-1.35187955e-15],[1.],[0.24152399],[1.],"(array([0.04701175]), array([-5.85592056e-16]))","(array([-3.57778575e-23]), array([1.34602456e-22]))","(array([-1.17091445e-22]), array([-9.77505413e-23]))","(array([3.87412583e-23]), array([-2.39619924e-23]))","(array([-1.67067367e-23]), array([9.7294851e-24]))","(array([2.18201721e-23]), array([-7.41623932e-23]))","(array([7.23098463e-25]), array([9.99325058e-24]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))"
(0.02452635012977757+0j),[-8.01372372e-15],[1.],[0.30902748],[1.],"(array([0.0620994]), array([-2.07224243e-15]))","(array([-1.15932407e-22]), array([-1.36754832e-22]))","(array([2.37271877e-23]), array([2.10021038e-23]))","(array([4.16790676e-23]), array([-3.41272764e-23]))","(array([1.66296719e-23]), array([-1.17279533e-22]))","(array([8.75089467e-24]), array([4.20049319e-23]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377965]))"
(0.03681217527369313+0j),[-8.97473162e-15],[1.],[0.37587869],[1.],"(array([0.07725557]), array([-2.4492175e-15]))","(array([-2.52816437e-22]), array([-6.50122621e-22]))","(array([-6.67968598e-23]), array([-1.06342124e-21]))","(array([2.51952593e-22]), array([6.80868615e-22]))","(array([1.65915241e-22]), array([5.45399727e-22]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377965]))","(array([0.03862779]), array([-0.06690529]))"
(0.05142857478157388+0j),[-1.11585654e-14],[1.],[0.44033303],[1.],"(array([0.09206683]), array([-2.23416478e-15]))","(array([-5.05722032e-21]), array([7.42841307e-23]))","(array([1.22136853e-21]), array([-2.86917732e-21]))","(array([5.30713378e-22]), array([1.97101537e-21]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377965]))","(array([0.03862779]), array([-0.06690529]))","(array([0.04603342]), array([-0.07973221]))"
(0.06797845525930005+0j),[-1.66340483e-14],[1.],[0.50092992],[1.],"(array([0.10617099]), array([-3.78042556e-15]))","(array([5.1962735e-21]), array([-1.54301243e-20]))","(array([3.46137094e-21]), array([1.19476231e-21]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377965]))","(array([0.03862779]), array([-0.06690529]))","(array([0.04603342]), array([-0.07973221]))","(array([0.0530855]), array([-0.09194678]))"
(0.08596081163558386+0j),[-1.21870107e-14],[1.],[0.55654051],[1.],"(array([0.1192756]), array([-2.37538565e-15]))","(array([4.12142919e-21]), array([7.61045024e-21]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377965]))","(array([0.03862779]), array([-0.06690529]))","(array([0.04603342]), array([-0.07973221]))","(array([0.0530855]), array([-0.09194678]))","(array([0.0596378]), array([-0.1032957]))"
(0.10481921169643446+0j),[-1.35544345e-14],[1.],[0.60638042],[1.],"(array([0.13116473]), array([-2.91999093e-15]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377966]))","(array([0.03862779]), array([-0.06690529]))","(array([0.04603342]), array([-0.07973222]))","(array([0.0530855]), array([-0.09194678]))","(array([0.0596378]), array([-0.1032957]))","(array([0.06558236]), array([-0.11359198]))"
(0.12377352238712214+0j),[0.00089443],[1.],[0.64950683],[1.],"(array([0.14466271]), array([-0.00512945]))","(array([0.00934455]), array([-0.01618523]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071337]))","(array([0.0310497]), array([-0.05377966]))","(array([0.03862779]), array([-0.06690529]))","(array([0.04603342]), array([-0.07973222]))","(array([0.0530855]), array([-0.09194678]))","(array([0.0596378]), array([-0.1032957]))","(array([0.06558236]), array([-0.11359199]))","(array([0.07090919]), array([-0.1226154]))"
(0.14202019487653783+0j),[0.00351912],[1.],[0.68537029],[1.],"(array([0.15988595]), array([-0.01568584]))","(array([0.01620924]), array([-0.02807522]))","(array([0.02350588]), array([-0.04071338]))","(array([0.0310497]), array([-0.05377967]))","(array([0.03862779]), array([-0.0669053]))","(array([0.04603342]), array([-0.07973223]))","(array([0.05308551]), array([-0.09194679]))","(array([0.05963781]), array([-0.10329571]))","(array([0.06558237]), array([-0.113592]))","(array([0.07090919]), array([-0.1226154]))","(array([0.07570319]), array([-0.13012299]))"
(0.15903538746131315+0j),[0.00783131],[1.],[0.71423482],[1.],"(array([0.17403982]), array([-0.02679265]))","(array([0.02350588]), array([-0.04071338]))","(array([0.03104971]), array([-0.05377967]))","(array([0.0386278]), array([-0.06690531]))","(array([0.04603343]), array([-0.07973224]))","(array([0.05308551]), array([-0.0919468]))","(array([0.05963781]), array([-0.10329572]))","(array([0.06558238]), array([-0.11359201]))","(array([0.0709092]), array([-0.12261542]))","(array([0.0757032]), array([-0.130123]))","(array([0.08002604]), array([-0.13604404]))"
(0.17443953714432542+0j),[0.01377321],[1.],[0.73660105],[1.],"(array([0.18710316]), array([-0.03827378]))","(array([0.03104971]), array([-0.05377968]))","(array([0.0386278]), array([-0.06690532]))","(array([0.04603344]), array([-0.07973225]))","(array([0.05308552]), array([-0.09194682]))","(array([0.05963783]), array([-0.10329575]))","(array([0.0655824]), array([-0.11359204]))","(array([0.07090922]), array([-0.12261545]))","(array([0.07570321]), array([-0.13012303]))","(array([0.08002606]), array([-0.13604407]))","(array([0.08391141]), array([-0.14045966]))"
(0.18803109201575643+0j),[0.02125471],[1.],[0.75316395],[1.],"(array([0.19902683]), array([-0.04982589]))","(array([0.03862781]), array([-0.06690533]))","(array([0.04603345]), array([-0.07973227]))","(array([0.05308554]), array([-0.09194685]))","(array([0.05963785]), array([-0.10329579]))","(array([0.06558242]), array([-0.11359209]))","(array([0.07090924]), array([-0.12261549]))","(array([0.07570324]), array([-0.13012307]))","(array([0.08002608]), array([-0.13604411]))","(array([0.08391144]), array([-0.1404597]))","(array([0.08741267]), array([-0.14349567]))"
