Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0007177065508972932+0j),[1.93357945e-16],[1.],[0.05356065],[1.],"(array([0.00604013]), array([6.07344636e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00302007]), array([-0.00523091]))"
(0.0027282384000546166+0j),[-4.53597585e-16],[1.],[0.10431745],[1.],"(array([0.01780386]), array([-1.2080716e-16]))","(array([-1.75794085e-31]), array([-3.08500345e-30]))","(array([1.14969356e-31]), array([-5.19474347e-32]))","(array([-1.79267486e-37]), array([4.66095464e-37]))","(array([2.98267904e-32]), array([-9.6895635e-32]))","(array([8.23324408e-32]), array([7.64595036e-33]))","(array([8.58856835e-36]), array([-4.71534314e-36]))","(array([2.80923903e-32]), array([-2.25502224e-31]))","(array([1.26518216e-32]), array([-6.50940713e-32]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))"
(0.006449125091980647+0j),[-5.17151709e-15],[1.],[0.16006685],[1.],"(array([0.02981614]), array([-1.20065683e-15]))","(array([-1.25689822e-23]), array([-2.96237096e-23]))","(array([4.14084861e-25]), array([-1.20527505e-22]))","(array([3.91672366e-24]), array([3.00059103e-23]))","(array([-4.93457763e-23]), array([8.81863786e-23]))","(array([-1.22587042e-25]), array([-1.50643028e-23]))","(array([1.26949913e-24]), array([-1.20508244e-22]))","(array([-2.70691519e-27]), array([-1.98078181e-25]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))"
(0.011430849268926+0j),[-5.96492971e-15],[1.],[0.21251459],[1.],"(array([0.04201723]), array([-1.40976927e-15]))","(array([-9.7856878e-26]), array([-1.16767917e-22]))","(array([6.0291476e-24]), array([4.24842721e-23]))","(array([-6.11481548e-23]), array([7.72333759e-23]))","(array([-1.84303807e-23]), array([-2.18811612e-23]))","(array([2.05576452e-24]), array([-1.11192542e-22]))","(array([1.49897121e-24]), array([-1.1561577e-23]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))"
(0.01850832892707985+0j),[-7.67396222e-15],[1.],[0.26933759],[1.],"(array([0.05434308]), array([-1.65136161e-15]))","(array([-1.63027841e-24]), array([1.00396297e-22]))","(array([-3.49087094e-22]), array([3.80966349e-23]))","(array([-1.48992476e-22]), array([-1.39608331e-22]))","(array([2.79099954e-24]), array([-1.13501379e-22]))","(array([-7.27187997e-23]), array([-9.55859582e-23]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706248]))"
(0.026757924822046517+0j),[-1.20635138e-14],[1.],[0.32227601],[1.],"(array([0.06672017]), array([-2.83987054e-15]))","(array([-1.45485436e-21]), array([3.61965116e-24]))","(array([-6.56764289e-22]), array([-2.86420996e-22]))","(array([-6.3183076e-22]), array([3.33164255e-23]))","(array([-3.13255467e-22]), array([-1.71943841e-22]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706248]))","(array([0.03336009]), array([-0.05778136]))"
(0.03728693674354304+0j),[-1.8270125e-14],[1.],[0.37804063],[1.],"(array([0.07898314]), array([-4.29052563e-15]))","(array([1.64311264e-21]), array([-7.08379977e-23]))","(array([-1.93539748e-21]), array([-2.32386418e-21]))","(array([-5.79253242e-22]), array([1.12449415e-21]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706248]))","(array([0.03336009]), array([-0.05778136]))","(array([0.03949157]), array([-0.06840141]))"
(0.048796635452668415+0j),[-1.75268353e-14],[1.],[0.42934767],[1.],"(array([0.09105614]), array([-4.04020858e-15]))","(array([-1.11609412e-20]), array([4.09395656e-20]))","(array([1.03477091e-19]), array([-1.42890227e-20]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706248]))","(array([0.03336009]), array([-0.05778136]))","(array([0.03949157]), array([-0.06840141]))","(array([0.04552807]), array([-0.07885693]))"
(0.06248011192035164+0j),[-1.92027208e-14],[1.],[0.48157416],[1.],"(array([0.10273607]), array([-4.30187206e-15]))","(array([4.50099862e-20]), array([-1.29847079e-20]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706248]))","(array([0.03336009]), array([-0.05778136]))","(array([0.03949157]), array([-0.06840141]))","(array([0.04552807]), array([-0.07885693]))","(array([0.05136803]), array([-0.08897204]))"
(0.07684526348786686+0j),[-1.36318941e-14],[1.],[0.52888736],[1.],"(array([0.11395856]), array([-2.69269347e-15]))","(array([0.00302007]), array([-0.00523091]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100861]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706248]))","(array([0.03336009]), array([-0.05778136]))","(array([0.03949157]), array([-0.06840141]))","(array([0.04552807]), array([-0.07885693]))","(array([0.05136803]), array([-0.08897204]))","(array([0.05697928]), array([-0.098691]))"
